"VARIABLE"      , "GRADIENT"      , "FINDIFF_STEP"  
0               , -0.341948       , 0.001           
1               , -0.194907       , 0.001           
2               , -0.0584744      , 0.001           
3               , 0.0459212       , 0.001           
4               , 0.109528        , 0.001           
5               , 0.129097        , 0.001           
6               , 0.107429        , 0.001           
7               , 0.0545904       , 0.001           
8               , -0.0124212      , 0.001           
9               , -0.072812       , 0.001           
10              , -0.10814        , 0.001           
11              , -0.109851       , 0.001           
12              , -0.0843172      , 0.001           
13              , -0.0503942      , 0.001           
14              , -0.027607       , 0.001           
15              , -0.0223086      , 0.001           
16              , -0.0266846      , 0.001           
17              , -0.031881       , 0.001           
18              , -0.0384359      , 0.001           
19              , -0.0836038      , 0.001           
20              , -0.0720308      , 0.001           
21              , -0.205217       , 0.001           
22              , -0.330531       , 0.001           
23              , -0.391331       , 0.001           
24              , -0.378579       , 0.001           
25              , -0.308058       , 0.001           
26              , -0.206224       , 0.001           
27              , -0.100335       , 0.001           
28              , -0.0117312      , 0.001           
29              , 0.0477321       , 0.001           
30              , 0.0759905       , 0.001           
31              , 0.0785308       , 0.001           
32              , 0.0653689       , 0.001           
33              , 0.0484423       , 0.001           
34              , 0.0375523       , 0.001           
35              , 0.0337435       , 0.001           
36              , 0.0316363       , 0.001           
37              , 0.0381039       , 0.001           
