"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,    "RefForce"    ,       "CD"       ,       "CL"       ,       "CSF"      ,       "CMx"      ,       "CMy"      ,       "CMz"      ,       "CFx"      ,       "CFy"      ,       "CFz"      ,      "CEff"      
          0,           0,           0,      -3.581346632,      -3.698349656,      -4.145839485,      -2.984969488,             0.448,      0.2407162764,      0.1401739534,                 0,                 0,                 0,     0.01642535768,      0.2376011138,      0.1453917937,                 0,      0.5823202132
          0,           0,           1,      -3.833736453,      -3.708488351,      -3.735662346,      -3.222809691,             0.448,     0.09245166468,       0.030093443,                 0,                 0,                 0,   -0.006982717798,     0.09177317869,     0.03210310402,                 0,      0.3255046094
          0,           0,           2,        -3.7685914,      -3.680329827,      -3.700696364,      -3.170203414,             0.448,     0.06811452574,     0.03872367975,                 0,                 0,                 0,   -0.008467950752,     0.06725356371,     0.04020037512,                 0,      0.5685083957
          0,           0,           3,      -3.714040186,      -3.724734144,      -3.702056836,      -3.121669294,             0.448,     0.08299578368,        0.07132476,                 0,                 0,                 0,   -0.006376451145,      0.0814200915,     0.07311833012,                 0,      0.8593781133
          0,           0,           4,      -3.663353519,      -3.692493872,      -3.668822498,      -3.074183814,             0.448,     0.06273099899,     0.06682879022,                 0,                 0,                 0,    -0.01011009129,     0.06125820833,     0.06818135631,                 0,       1.065323226
          0,           0,           5,      -3.658609711,      -3.669989381,      -3.662073302,      -3.073535844,             0.448,     0.04948386688,     0.06248282815,                 0,                 0,                 0,    -0.01493901747,     0.04810903535,      0.0635474438,                 0,       1.262690895
          0,           0,           6,      -3.655039851,      -3.788651034,      -3.699968992,      -3.076449995,             0.448,     0.04547720245,     0.06121882001,                 0,                 0,                 0,    -0.01873424917,     0.04413089859,     0.06219633153,                 0,        1.34614305
          0,           0,           7,      -3.659256133,      -3.791442931,      -3.690717312,      -3.082863439,             0.448,     0.04094977326,     0.05844554033,                 0,                 0,                 0,    -0.02143347223,     0.03966504558,     0.05932494647,                 0,       1.427249425
          0,           0,           8,      -3.642208297,      -3.714630207,      -3.704560123,      -3.064820358,             0.448,     0.03524230889,     0.05618183853,                 0,                 0,                 0,    -0.02315701812,     0.03400832183,     0.05693727569,                 0,       1.594158848
          0,           0,           9,       -3.65673355,      -3.751822882,      -3.710604675,      -3.082887327,             0.448,     0.03054224048,      0.0547338107,                 0,                 0,                 0,    -0.02422666712,     0.02934096047,       0.055387061,                 0,       1.792069273
          0,           0,          10,      -3.663400393,      -3.808583777,      -3.737969037,      -3.093557761,             0.448,     0.02724249523,     0.05377060023,                 0,                 0,                 0,    -0.02477282663,     0.02606301279,     0.05435209618,                 0,       1.973776623
          0,           0,          11,      -3.669556921,      -3.834469928,      -3.762274515,      -3.102033103,             0.448,     0.02421260919,     0.05305904158,                 0,                 0,                 0,     -0.0249030076,     0.02304937035,     0.05357461025,                 0,        2.19138058
          0,           0,          12,       -3.67469599,      -3.846382051,      -3.773040287,      -3.107704511,             0.448,     0.02096262767,     0.05217346946,                 0,                 0,                 0,    -0.02500589711,     0.01981948089,      0.0526183509,                 0,       2.488880225
          0,           0,          13,      -3.677928225,      -3.852403975,      -3.782508085,      -3.109536403,             0.448,     0.01776691458,     0.05131284244,                 0,                 0,                 0,    -0.02521991605,     0.01664330278,     0.05168821458,                 0,       2.888112182
          0,           0,          14,      -3.686049285,       -3.86027837,      -3.793368796,        -3.1155202,             0.448,     0.01481210314,     0.05092877594,                 0,                 0,                 0,    -0.02542672598,     0.01369757287,     0.05123978059,                 0,        3.43832172
          0,           0,          15,      -3.696328378,      -3.869428701,      -3.809304431,      -3.123934187,             0.448,     0.01204062528,     0.05094287719,                 0,                 0,                 0,    -0.02561265254,     0.01092644692,     0.05119341902,                 0,       4.230916254
