"PointID","x","y"
0, 9.997500181200000e-01, -3.633534839741907e-05
1, 9.990000128750000e-01, -1.456567030601021e-04
2, 9.977599978450000e-01, -3.295289142346388e-04
3, 9.960200190539999e-01, -6.008368030193002e-04
4, 9.937800168990000e-01, -9.864795624919586e-04
5, 9.910500049590000e-01, -1.530814320736821e-03
6, 9.878399968150000e-01, -2.292214238478025e-03
7, 9.841300249100000e-01, -3.336292503522856e-03
8, 9.799500107769999e-01, -4.690814535870898e-03
9, 9.752799868580000e-01, -6.350111766094717e-03
10, 9.701499938960000e-01, -8.233885195640774e-03
11, 9.645400047300000e-01, -1.023491848696681e-02
12, 9.584699869160000e-01, -1.221990259899135e-02
13, 9.519400000570000e-01, -1.409023461051359e-02
14, 9.449599981310000e-01, -1.579901224766636e-02
15, 9.375399947170000e-01, -1.735895619498272e-02
16, 9.296900033950000e-01, -1.882504429558909e-02
17, 9.214000105860000e-01, -2.027058323905097e-02
18, 9.126999974250000e-01, -2.175274383795467e-02
19, 9.035800099370001e-01, -2.331341102065444e-02
20, 8.940600156780000e-01, -2.496537145481199e-02
21, 8.841500282290000e-01, -2.670509448145918e-02
22, 8.738499879840000e-01, -2.852130795663791e-02
23, 8.631799817090000e-01, -3.039678395513204e-02
24, 8.521599769590000e-01, -3.231612105489449e-02
25, 8.407700061800000e-01, -3.427395597301428e-02
26, 8.290500044819999e-01, -3.625717027539484e-02
27, 8.170099854470000e-01, -3.825924761088919e-02
28, 8.046399950980000e-01, -4.027697085461449e-02
29, 7.919700145720000e-01, -4.229971072819331e-02
30, 7.790099978450000e-01, -4.431894379521974e-02
31, 7.657799720760000e-01, -4.632334671884229e-02
32, 7.522799968720000e-01, -4.830359302245940e-02
33, 7.385200262070000e-01, -5.024805532281798e-02
34, 7.245299816130000e-01, -5.214211766564585e-02
35, 7.103199958800001e-01, -5.397422809532774e-02
36, 6.958900094030001e-01, -5.573451272914909e-02
37, 6.812700033190000e-01, -5.741025299896459e-02
38, 6.664699912070000e-01, -5.899246420417334e-02
39, 6.514999866490000e-01, -6.047348490132869e-02
40, 6.363800168040000e-01, -6.184629507106638e-02
41, 6.211299896240000e-01, -6.310586363107365e-02
42, 6.057599782940000e-01, -6.424991402383168e-02
43, 5.902799963950000e-01, -6.527794397689379e-02
44, 5.747100114820000e-01, -6.619065700276756e-02
45, 5.590599775310000e-01, -6.699121330037158e-02
