"VARIABLE"      , "GRADIENT"      , "FINDIFF_STEP"  
0               , -0.35569        , 0.001           
1               , -0.214772       , 0.001           
2               , -0.0853814      , 0.001           
3               , 0.0126021       , 0.001           
4               , 0.0723096       , 0.001           
5               , 0.0921997       , 0.001           
6               , 0.0761209       , 0.001           
7               , 0.0340322       , 0.001           
8               , -0.0186684      , 0.001           
9               , -0.0642432      , 0.001           
10              , -0.088086       , 0.001           
11              , -0.0848391      , 0.001           
12              , -0.0616163      , 0.001           
13              , -0.0344786      , 0.001           
14              , -0.0179251      , 0.001           
15              , -0.0148979      , 0.001           
16              , -0.0183426      , 0.001           
17              , -0.0213949      , 0.001           
18              , -0.0237899      , 0.001           
19              , -0.139505       , 0.001           
20              , -0.0759286      , 0.001           
21              , -0.173359       , 0.001           
22              , -0.287576       , 0.001           
23              , -0.355738       , 0.001           
24              , -0.358943       , 0.001           
25              , -0.304065       , 0.001           
26              , -0.211965       , 0.001           
27              , -0.108484       , 0.001           
28              , -0.0171691      , 0.001           
29              , 0.0461556       , 0.001           
30              , 0.0762087       , 0.001           
31              , 0.0778965       , 0.001           
32              , 0.0630823       , 0.001           
33              , 0.0454347       , 0.001           
34              , 0.0340096       , 0.001           
35              , 0.0283961       , 0.001           
36              , 0.024114        , 0.001           
37              , 0.0268821       , 0.001           
