"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,           0,      -1.437424975,       1.114803229,     0.07178852595,       4.075857377
          0,           0,           1,      -2.175966393,      0.3288972791,      0.3282194138,        3.33084811
          0,           0,           2,      -2.409566665,  -0.0004408494368,     0.07184302563,       3.090433284
          0,           0,           3,      -2.545628334,     -0.1576488311,    -0.09516207144,        2.94453335
          0,           0,           4,      -2.751336994,     -0.3227041913,     -0.3005100759,       2.752260479
          0,           0,           5,      -2.842460253,     -0.4260123423,     -0.4319540032,       2.645482588
          0,           0,           6,      -3.030253899,     -0.6046576739,     -0.5866566895,       2.464784054
          0,           0,           7,      -3.164798679,     -0.7285733568,     -0.6995582558,        2.32739136
