"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,       "CD"       ,       "CL"       ,       "CMx"      ,       "CMy"      ,       "CMz"      
          0,           0,          42,      -6.342064776,       -6.33418981,      -6.672155643,      -5.652329071,     0.03524039932,      0.6586938156,                 0,                 0,     0.02281397905
          0,           0,          43,      -6.358610505,       -6.37139031,      -6.715305229,      -5.666097218,      0.0352330498,      0.6585983819,                 0,                 0,     0.02278547692
          0,           0,          44,      -6.360353847,      -6.399605881,      -6.740779587,      -5.659704406,     0.03522753742,      0.6585246591,                 0,                 0,     0.02276540973
          0,           0,          45,      -6.375766486,      -6.426538738,      -6.760840503,      -5.682499534,     0.03522176742,      0.6584480222,                 0,                 0,     0.02274424197
          0,           0,          46,      -6.380724848,      -6.451293828,      -6.786093569,      -5.684356773,      0.0352150484,       0.658357686,                 0,                 0,      0.0227191391
          0,           0,          47,      -6.373125867,      -6.465946619,      -6.790635502,      -5.668876055,     0.03520984557,      0.6582862746,                 0,                 0,     0.02270111269
          0,           0,          48,      -6.382971229,      -6.485730574,      -6.799858749,      -5.687037646,      0.0352044065,      0.6582126283,                 0,                 0,     0.02268216041
          0,           0,          49,      -6.383345388,      -6.502672485,      -6.817743944,        -5.6846948,     0.03519853559,      0.6581341743,                 0,                 0,     0.02266138129
          0,           0,          50,      -6.374820049,      -6.511173635,      -6.819002005,      -5.668658325,     0.03519381143,      0.6580689855,                 0,                 0,     0.02264593185
          0,           0,          51,       -6.38599301,      -6.526372127,       -6.82711591,      -5.688188743,     0.03519040577,      0.6580262404,                 0,                 0,     0.02263424259
          0,           0,          52,      -6.393954512,       -6.54483087,      -6.858370631,      -5.693840668,     0.03518601559,      0.6579672796,                 0,                 0,     0.02261895209
          0,           0,          53,      -6.401453144,      -6.555381736,      -6.869938693,      -5.693660641,     0.03518245638,      0.6579178082,                 0,                 0,     0.02260731126
          0,           0,          54,      -6.425915662,        -6.5746298,      -6.889697841,      -5.725563092,     0.03517988415,      0.6578854635,                 0,                 0,      0.0225985271
          0,           0,          55,      -6.447400387,       -6.59889451,      -6.932294804,      -5.745149088,     0.03517661936,       0.657841531,                 0,                 0,     0.02258730488
          0,           0,          56,      -6.469437298,      -6.617734851,      -6.963733804,      -5.759979143,     0.03517332283,      0.6577966393,                 0,                 0,     0.02257630946
          0,           0,          57,      -6.493164327,      -6.638434203,      -6.993630017,      -5.780577664,     0.03517108816,      0.6577690333,                 0,                 0,     0.02256891207
          0,           0,          58,       -6.52163657,      -6.664140752,      -7.033995242,       -5.80793247,      0.0351689385,       0.657739824,                 0,                 0,     0.02256207214
          0,           0,          59,      -6.558136176,      -6.692404224,      -7.073820042,      -5.843371784,     0.03516656891,      0.6577067896,                 0,                 0,     0.02255442935
          0,           0,          60,      -6.591626194,      -6.721374547,       -7.10580553,      -5.874040469,     0.03516556947,      0.6576943858,                 0,                 0,     0.02255139598
          0,           0,          61,      -6.643978133,      -6.758953036,      -7.155040439,      -5.935637998,     0.03516438422,      0.6576779346,                 0,                 0,     0.02254776844
          0,           0,          62,      -6.695223119,      -6.799712204,      -7.217176239,      -5.987235342,     0.03516297574,      0.6576582954,                 0,                 0,     0.02254308462
          0,           0,          63,       -6.74250614,      -6.840099106,      -7.265769673,      -6.029025139,     0.03516159199,      0.6576403692,                 0,                 0,     0.02253843365
          0,           0,          64,      -6.783945875,      -6.879710337,      -7.305106584,       -6.06539168,     0.03516088399,      0.6576310285,                 0,                 0,     0.02253632718
          0,           0,          65,      -6.841039394,      -6.923258371,      -7.353526601,      -6.130385475,     0.03516008925,      0.6576198135,                 0,                 0,     0.02253392072
          0,           0,          66,      -6.893434224,      -6.969893962,      -7.413805544,      -6.183464289,     0.03515932008,      0.6576098891,                 0,                 0,     0.02253145783
          0,           0,          67,      -6.940856537,      -7.016362971,      -7.465875018,      -6.226124377,     0.03515855972,      0.6575999022,                 0,                 0,     0.02252901063
          0,           0,          68,      -6.984685788,       -7.06223966,      -7.505542937,      -6.265202506,     0.03515809426,      0.6575935503,                 0,                 0,        0.02252771
          0,           0,          69,        -7.0430006,       -7.11058513,      -7.553584775,      -6.331328479,     0.03515771053,      0.6575885827,                 0,                 0,     0.02252662697
          0,           0,          70,      -7.098832071,      -7.163046631,      -7.620388293,      -6.387698156,     0.03515735108,      0.6575838555,                 0,                 0,     0.02252560329
          0,           0,          71,      -7.152733568,      -7.214906186,      -7.678522346,       -6.43684214,     0.03515697714,      0.6575788024,                 0,                 0,     0.02252458457
          0,           0,          72,      -7.204364597,      -7.266695877,      -7.727064855,      -6.483903296,     0.03515679539,      0.6575764093,                 0,                 0,     0.02252417862
          0,           0,          73,      -7.268891532,      -7.319208759,      -7.783733647,      -6.555805286,     0.03515666068,      0.6575746784,                 0,                 0,     0.02252388941
