"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoW]"   ,    "rms[RhoE]"   ,     "rms[nu]"    
          0,           0,          54,      -6.089019835,       -6.09301039,      -6.229524107,      -6.309534779,      -5.491659162,      -9.700584986
          0,           0,          55,      -6.110496533,      -6.100185308,      -6.256646697,       -6.33507661,      -5.513805196,      -9.687141606
          0,           0,          56,      -6.131297335,      -6.107342616,      -6.283838284,       -6.36062427,      -5.535393768,      -9.674597666
          0,           0,          57,      -6.150942304,      -6.114393398,      -6.310625884,      -6.385938565,      -5.555807047,      -9.662981567
          0,           0,          58,      -6.169063328,      -6.121247526,      -6.336438981,      -6.410617837,      -5.574512889,      -9.652296806
          0,           0,          59,       -6.18552209,      -6.127876893,      -6.360703335,      -6.434144637,      -5.591225558,      -9.642570957
          0,           0,          60,      -6.200439511,      -6.134452211,      -6.382943428,      -6.455972351,      -5.605974767,      -9.633812974
          0,           0,          61,      -6.214164721,      -6.140990826,      -6.402883103,      -6.475603242,      -5.619104792,      -9.626047722
          0,           0,          62,      -6.227187066,      -6.147554796,      -6.420496394,      -6.492782926,      -5.631188514,      -9.619269237
          0,           0,          63,      -6.240035226,      -6.154245661,      -6.436014555,      -6.507516694,      -5.642891765,      -9.613463509
          0,           0,          64,      -6.253230324,      -6.161039107,      -6.449863518,      -6.520108177,      -5.654884392,      -9.608565936
          0,           0,          65,      -6.267142031,      -6.167901608,      -6.462571456,      -6.531142738,      -5.667668661,      -9.604501143
          0,           0,          66,      -6.281982772,      -6.174709136,      -6.474685407,      -6.541324188,      -5.681556389,      -9.601156874
          0,           0,          67,      -6.297850878,      -6.181376913,       -6.48670222,      -6.551335094,      -5.696705116,      -9.598432526
          0,           0,          68,      -6.314756855,      -6.187713353,      -6.499023967,      -6.561829637,      -5.713153377,       -9.59622979
          0,           0,          69,      -6.332596785,      -6.193458921,      -6.511920206,      -6.573251957,      -5.730789624,      -9.594422757
          0,           0,          70,      -6.351200219,      -6.198494047,      -6.525519964,      -6.585847245,       -5.74939959,      -9.592911697
          0,           0,          71,      -6.370366733,      -6.202740803,      -6.539811639,      -6.599645236,      -5.768713948,      -9.591597549
          0,           0,          72,      -6.389940207,      -6.206168044,      -6.554657426,      -6.614494228,      -5.788491748,      -9.590393832
          0,           0,          73,       -6.40975791,      -6.208840106,      -6.569826656,      -6.630043823,       -5.80847946,      -9.589232605
          0,           0,          74,      -6.429654944,       -6.21088101,      -6.585042979,      -6.645831007,      -5.828438013,      -9.588073302
          0,           0,          75,      -6.449500299,      -6.212503245,      -6.600021065,      -6.661340552,      -5.848191344,      -9.586881974
          0,           0,          76,      -6.469173406,      -6.213896861,      -6.614500316,      -6.676066327,      -5.867610703,      -9.585636267
          0,           0,          77,      -6.488587371,       -6.21523726,      -6.628292626,       -6.68966697,      -5.886646897,      -9.584333805
          0,           0,          78,      -6.507619765,      -6.216693601,       -6.64130867,      -6.701980175,      -5.905251296,      -9.582982237
          0,           0,          79,      -6.526135316,      -6.218426692,      -6.653567671,      -6.713069076,      -5.923386997,      -9.581595474
          0,           0,          80,      -6.543978572,      -6.220537835,      -6.665180236,      -6.723169187,      -5.940992757,      -9.580197025
          0,           0,          81,      -6.560970873,      -6.223097654,      -6.676315868,      -6.732630443,      -5.957958802,      -9.578805462
          0,           0,          82,      -6.576925004,      -6.226132105,      -6.687165283,      -6.741836229,      -5.974123169,      -9.577443488
          0,           0,          83,      -6.591677462,      -6.229640222,      -6.697892531,      -6.751116288,      -5.989295456,      -9.576135366
          0,           0,          84,       -6.60510344,      -6.233591727,       -6.70860358,      -6.760688594,      -6.003274339,      -9.574895527
          0,           0,          85,      -6.617161991,      -6.237948373,      -6.719323106,      -6.770613987,      -6.015906408,      -9.573745388
          0,           0,          86,      -6.627908861,      -6.242667499,      -6.729987579,      -6.780796316,      -6.027120008,      -9.572706272
          0,           0,          87,      -6.637524568,      -6.247693695,      -6.740460565,      -6.791014423,      -6.036986266,       -9.57180152
          0,           0,          88,      -6.646278654,      -6.252974165,      -6.750568346,      -6.800977165,      -6.045704666,      -9.571016302
          0,           0,          89,       -6.65450223,      -6.258465283,      -6.760145245,      -6.810389301,      -6.053586343,      -9.570354955
          0,           0,          90,      -6.662562643,        -6.2641802,      -6.769076872,      -6.819010231,      -6.061026134,      -9.569825588
          0,           0,          91,      -6.670824678,      -6.270045813,      -6.777333996,      -6.826696632,      -6.068452456,      -9.569421883
          0,           0,          92,      -6.679600557,      -6.276024842,      -6.784980266,      -6.833442778,      -6.076265163,      -9.569133922
          0,           0,          93,      -6.689165146,      -6.282080425,      -6.792166127,      -6.839419653,      -6.084842441,      -9.568950312
          0,           0,          94,      -6.699713617,      -6.288170848,      -6.799104875,      -6.844906027,      -6.094474577,       -9.56885528
          0,           0,          95,      -6.711329568,      -6.294245953,      -6.806042201,        -6.8502445,      -6.105320245,      -9.568837435
          0,           0,          96,       -6.72403146,      -6.300250442,      -6.813220194,      -6.855811293,      -6.117450894,      -9.568872338
          0,           0,          97,      -6.737761004,      -6.306147701,      -6.820850838,      -6.861944596,       -6.13083073,      -9.568944803
          0,           0,          98,      -6.752377699,      -6.311863831,      -6.829092957,      -6.868908181,      -6.145310455,      -9.569042293
          0,           0,          99,       -6.76772396,      -6.317344729,      -6.838039781,      -6.876888011,      -6.160699161,      -9.569147867
          0,           0,         100,      -6.783557612,      -6.322560259,      -6.847708298,      -6.885946587,      -6.176695342,      -9.569244835
          0,           0,         101,      -6.799669321,      -6.327468598,       -6.85804461,      -6.896053819,      -6.193017249,      -9.569320967
          0,           0,         102,       -6.81584087,      -6.332055719,       -6.86893213,      -6.907075924,      -6.209366719,      -9.569366979
          0,           0,         103,       -6.83186104,      -6.336320742,      -6.880209595,      -6.918810029,       -6.22546302,      -9.569369911
          0,           0,         104,      -6.847525377,      -6.340280338,      -6.891691168,      -6.931002308,      -6.241054888,       -9.56932097
          0,           0,         105,      -6.862641164,      -6.343963802,      -6.903188078,      -6.943371397,      -6.255933876,      -9.569212081
          0,           0,         106,      -6.877034628,      -6.347410754,      -6.914535241,      -6.955644227,       -6.26994492,       -9.56903784
          0,           0,         107,      -6.890557102,      -6.350667927,      -6.925608957,      -6.967595256,      -6.282989911,      -9.568797877
          0,           0,         108,      -6.903087556,      -6.353782312,      -6.936339437,       -6.97907826,       -6.29502116,      -9.568492684
          0,           0,         109,      -6.914538611,      -6.356802099,      -6.946713806,      -6.990042184,       -6.30603357,      -9.568115516
          0,           0,         110,      -6.924846439,      -6.359782634,      -6.956768936,      -7.000525909,      -6.316036928,      -9.567671478
          0,           0,         111,      -6.933989807,      -6.362755702,      -6.966578248,      -7.010658936,      -6.325063645,      -9.567166825
          0,           0,         112,      -6.942034521,       -6.36575358,      -6.976235123,        -7.0205949,      -6.333199498,      -9.566604632
          0,           0,         113,      -6.949069706,       -6.36880499,      -6.985830998,      -7.030481949,      -6.340513541,      -9.565990233
          0,           0,         114,       -6.95522696,      -6.371933251,      -6.995438845,      -7.040447846,      -6.347086639,      -9.565330702
          0,           0,         115,       -6.96068501,      -6.375156214,      -7.005099176,      -7.050572707,      -6.353025792,      -9.564636006
          0,           0,         116,      -6.965665794,       -6.37848837,      -7.014815623,      -7.060873261,      -6.358475919,      -9.563916342
