"VARIABLE"      , "GRADIENT"      , "FINDIFF_STEP"  
0               , -0.38722        , 0.001           
1               , -0.254491       , 0.001           
2               , -0.137129       , 0.001           
3               , -0.0523441      , 0.001           
4               , -0.00283396     , 0.001           
5               , 0.0141542       , 0.001           
6               , 0.00557441      , 0.001           
7               , -0.0180758      , 0.001           
8               , -0.0444469      , 0.001           
9               , -0.0623896      , 0.001           
10              , -0.0656321      , 0.001           
11              , -0.0552973      , 0.001           
12              , -0.0391149      , 0.001           
13              , -0.026576       , 0.001           
14              , -0.0226886      , 0.001           
15              , -0.0258237      , 0.001           
16              , -0.0320698      , 0.001           
17              , -0.0395633      , 0.001           
18              , -0.0515854      , 0.001           
19              , -0.223968       , 0.001           
20              , 0.0616713       , 0.001           
21              , 0.142047        , 0.001           
22              , 0.105511        , 0.001           
23              , 0.0133571       , 0.001           
24              , -0.0922897      , 0.001           
25              , -0.183456       , 0.001           
26              , -0.24277        , 0.001           
27              , -0.261121       , 0.001           
28              , -0.236745       , 0.001           
29              , -0.175708       , 0.001           
30              , -0.0928464      , 0.001           
31              , -0.010658       , 0.001           
32              , 0.0471849       , 0.001           
33              , 0.0682852       , 0.001           
34              , 0.0613633       , 0.001           
35              , 0.0482684       , 0.001           
36              , 0.042247        , 0.001           
37              , 0.0497026       , 0.001           
