"PointID","x","y","Density","Momentum_x","Momentum_y","Energy"
0, 9.997500181200000e-01, -3.633005370040397e-05, 1.314508780842590e+00, 7.188570453728982e-01, 1.044674192435617e-01, 3.764296676898808e+00
1, 9.990000128750000e-01, -1.453224600050237e-04, 1.177811999287858e+00, 7.166632034628615e-01, 1.042695829129231e-01, 3.385076510175076e+00
2, 9.977599978450000e-01, -3.258643608336259e-04, 1.166958223705415e+00, 7.710183295404961e-01, 1.127395060099270e-01, 3.365184375660358e+00
3, 9.960200190539999e-01, -5.810618171904745e-04, 1.150943690029520e+00, 7.946719250325855e-01, 1.176508018932418e-01, 3.325794390021597e+00
4, 9.937800168990000e-01, -9.150986537118386e-04, 1.139534473593701e+00, 8.068208429455972e-01, 1.221990883260956e-01, 3.296997975891768e+00
5, 9.910500049590000e-01, -1.333807853298759e-03, 1.131513070102172e+00, 8.181446372158684e-01, 1.281190366706847e-01, 3.277479436297980e+00
6, 9.878399968150000e-01, -1.845288275874950e-03, 1.123100830968868e+00, 8.271321326734836e-01, 1.348827620597773e-01, 3.256512349397169e+00
7, 9.841300249100000e-01, -2.462268452925958e-03, 1.113971477264918e+00, 8.366340740657497e-01, 1.420512121197207e-01, 3.233781415454205e+00
8, 9.799500107769999e-01, -3.184920637319363e-03, 1.103409465543528e+00, 8.471543898613532e-01, 1.484789382478995e-01, 3.207415435190267e+00
9, 9.752799868580000e-01, -4.013395696248783e-03, 1.091495280622274e+00, 8.587992190252182e-01, 1.528435168786495e-01, 3.177634653106029e+00
10, 9.701499938960000e-01, -4.929064102263735e-03, 1.078852062302614e+00, 8.709873279995564e-01, 1.541654671421483e-01, 3.145992953384750e+00
11, 9.645400047300000e-01, -5.914381288845475e-03, 1.066570368392833e+00, 8.826825464525525e-01, 1.521704138811432e-01, 3.115216412352260e+00
12, 9.584699869160000e-01, -6.942643620091874e-03, 1.055882042895024e+00, 8.928617012347480e-01, 1.474626968589744e-01, 3.088417242907440e+00
13, 9.519400000570000e-01, -7.995365014484909e-03, 1.047527288881820e+00, 9.008418901147146e-01, 1.413058414931889e-01, 3.067449947642606e+00
14, 9.449599981310000e-01, -9.061817200690882e-03, 1.041555654048220e+00, 9.065650943218504e-01, 1.351139733447983e-01, 3.052443929730389e+00
15, 9.375399947170000e-01, -1.014153405392838e-02, 1.037395075149682e+00, 9.104526326761526e-01, 1.299507694496936e-01, 3.041957380915673e+00
16, 9.296900033950000e-01, -1.124133483205106e-02, 1.034200242026113e+00, 9.132108938211558e-01, 1.262761377090487e-01, 3.033872445016235e+00
17, 9.214000105860000e-01, -1.237332396416479e-02, 1.031200541374937e+00, 9.155144665591864e-01, 1.240017020525612e-01, 3.026259445701046e+00
18, 9.126999974250000e-01, -1.354254331658897e-02, 1.027914165641872e+00, 9.178306879182239e-01, 1.227022071650945e-01, 3.017915425924238e+00
19, 9.035800099370001e-01, -1.475562980782221e-02, 1.024151609878226e+00, 9.203616451830424e-01, 1.218850209947982e-01, 3.008363794584107e+00
20, 8.940600156780000e-01, -1.601106705230365e-02, 1.019961679655734e+00, 9.231390154933601e-01, 1.211522350224447e-01, 2.997734144859440e+00
21, 8.841500282290000e-01, -1.730560946512374e-02, 1.015490902509819e+00, 9.260563555855514e-01, 1.202660845512615e-01, 2.986389788301353e+00
22, 8.738499879840000e-01, -1.863572470382752e-02, 1.010895885950860e+00, 9.289877003385338e-01, 1.191396488221439e-01, 2.974719685383554e+00
23, 8.631799817090000e-01, -1.999494967626581e-02, 1.006320761979778e+00, 9.318625175577581e-01, 1.177882459631736e-01, 2.963095279391352e+00
24, 8.521599769590000e-01, -2.137736127083141e-02, 1.001824458052514e+00, 9.346038222907856e-01, 1.162639909529218e-01, 2.951656415508726e+00
25, 8.407700061800000e-01, -2.278273325901710e-02, 9.974357161431225e-01, 9.372072456300513e-01, 1.146344867411902e-01, 2.940480634732148e+00
26, 8.290500044819999e-01, -2.420405712263626e-02, 9.931468409755786e-01, 9.396681467405369e-01, 1.129438868785851e-01, 2.929546328961401e+00
27, 8.170099854470000e-01, -2.563858093589041e-02, 9.889396591516455e-01, 9.420113964606917e-01, 1.112222800202742e-01, 2.918811283950723e+00
28, 8.046399950980000e-01, -2.708612087388731e-02, 9.847883307531716e-01, 9.442415315386367e-01, 1.094809044717650e-01, 2.908206796096434e+00
29, 7.919700145720000e-01, -2.854186210683674e-02, 9.806811401223233e-01, 9.463746138900916e-01, 1.077183320862589e-01, 2.897705068424887e+00
30, 7.790099978450000e-01, -3.000338060903612e-02, 9.766075787345611e-01, 9.484356985005347e-01, 1.059329006411057e-01, 2.887284231097729e+00
31, 7.657799720760000e-01, -3.146708642504973e-02, 9.725415313440616e-01, 9.504224661905265e-01, 1.041150967378775e-01, 2.876872924787364e+00
32, 7.522799968720000e-01, -3.293154859338757e-02, 9.684515065997804e-01, 9.523390078846738e-01, 1.022580959998677e-01, 2.866387436936983e+00
33, 7.385200262070000e-01, -3.439414300736392e-02, 9.643343998126098e-01, 9.542026289047161e-01, 1.003574398184818e-01, 2.855824150702562e+00
34, 7.245299816130000e-01, -3.585013255234574e-02, 9.602018382241052e-01, 9.560147688166126e-01, 9.840707747431666e-02, 2.845214479954779e+00
35, 7.103199958800001e-01, -3.729690419859765e-02, 9.560420742204803e-01, 9.577533784763329e-01, 9.639990793467887e-02, 2.834520499252782e+00
36, 6.958900094030001e-01, -3.873280647064400e-02, 9.518769430140935e-01, 9.594596489905890e-01, 9.433626927390532e-02, 2.823812433587539e+00
37, 6.812700033190000e-01, -4.015316597419455e-02, 9.476672915056459e-01, 9.610842897344505e-01, 9.220502598296790e-02, 2.812971170999743e+00
38, 6.664699912070000e-01, -4.155532013688143e-02, 9.434250036883025e-01, 9.626651966431284e-01, 9.000572384974513e-02, 2.802039530999347e+00
39, 6.514999866490000e-01, -4.293655516157332e-02, 9.391352375385219e-01, 9.641961484622120e-01, 8.773240594848508e-02, 2.790976131887707e+00
40, 6.363800168040000e-01, -4.429321309933913e-02, 9.347856974858521e-01, 9.656655909381144e-01, 8.537829319366817e-02, 2.779744872624903e+00
41, 6.211299896240000e-01, -4.562168605432090e-02, 9.303828187287981e-01, 9.670946864944651e-01, 8.293912117858493e-02, 2.768369377798975e+00
42, 6.057599782940000e-01, -4.691922182417187e-02, 9.259102719460717e-01, 9.684565036936917e-01, 8.040597154263544e-02, 2.756798304901377e+00
43, 5.902799963950000e-01, -4.818300261133791e-02, 9.213768619083571e-01, 9.697792973397593e-01, 7.777426506485753e-02, 2.745063853232121e+00
