+------------------------------------------------------------------------------------------+
|  Inner_Iter|   Time(sec)|    rms[Rho]|     rms[nu]|          CL|          CD|         CMz|
+------------------------------------------------------------------------------------------+
|           0|  2.0946e-01|   -4.061904|  -10.671696|    4.718676|    1.489068|    1.368657|
|           1|  2.1279e-01|   -4.906874|  -10.686108|    3.629646|    1.290806|    1.094462|
|           2|  2.1020e-01|   -4.815425|  -10.926333|    2.892971|    1.022541|    0.866013|
|           3|  2.0860e-01|   -4.845629|  -10.907607|    2.536841|    0.856389|    0.729684|
|           4|  2.0767e-01|   -4.935568|  -10.899293|    2.293511|    0.729307|    0.610678|
|           5|  2.0652e-01|   -5.015233|  -10.902226|    2.071457|    0.611138|    0.483858|
|           6|  2.0626e-01|   -5.065732|  -10.896321|    1.849893|    0.495798|    0.349484|
|           7|  2.0564e-01|   -5.090019|  -10.875314|    1.626101|    0.384275|    0.215284|
|           8|  2.0483e-01|   -5.094936|  -10.844555|    1.401335|    0.279122|    0.089549|
|           9|  2.0451e-01|   -5.087984|  -10.809036|    1.176634|    0.182960|   -0.021497|
|          10|  2.0444e-01|   -5.077987|  -10.774292|    0.953980|    0.098124|   -0.114140|
|          11|  2.0550e-01|   -5.072957|  -10.744083|    0.736703|    0.026125|   -0.187173|
|          12|  2.0528e-01|   -5.076742|  -10.714245|    0.529784|   -0.032444|   -0.241088|
|          13|  2.0518e-01|   -5.088350|  -10.686492|    0.339833|   -0.077621|   -0.277082|
|          14|  2.0494e-01|   -5.104383|  -10.664260|    0.174814|   -0.109705|   -0.296392|
|          15|  2.0471e-01|   -5.121892|  -10.650040|    0.043251|   -0.129032|   -0.300114|
|          16|  2.0464e-01|   -5.139936|  -10.643292|   -0.047084|   -0.135990|   -0.289351|
|          17|  2.0440e-01|   -5.159443|  -10.642067|   -0.090405|   -0.131102|   -0.265391|
|          18|  2.0427e-01|   -5.181715|  -10.644776|   -0.083533|   -0.115089|   -0.229796|
|          19|  2.0401e-01|   -5.206518|  -10.649251|   -0.025893|   -0.088883|   -0.184452|
|          20|  2.0393e-01|   -5.230768|  -10.653303|    0.080340|   -0.053735|   -0.131700|
|          21|  2.0381e-01|   -5.248813|  -10.655624|    0.229632|   -0.011414|   -0.074450|
|          22|  2.0366e-01|   -5.255213|  -10.655622|    0.412467|    0.035640|   -0.016103|
|          23|  2.0348e-01|   -5.249080|  -10.653297|    0.616148|    0.084498|    0.039893|
|          24|  2.0329e-01|   -5.235623|  -10.649338|    0.826693|    0.132121|    0.090547|
|          25|  2.0329e-01|   -5.222673|  -10.644742|    1.030678|    0.175717|    0.133599|
|          26|  2.0341e-01|   -5.216594|  -10.640240|    1.216375|    0.212953|    0.167526|
|          27|  2.0392e-01|   -5.220935|  -10.636067|    1.374261|    0.242059|    0.191435|
|          28|  2.0388e-01|   -5.236862|  -10.631994|    1.497267|    0.261867|    0.204944|
|          29|  2.0383e-01|   -5.263728|  -10.627188|    1.580918|    0.271828|    0.208111|
|          30|  2.0371e-01|   -5.299196|  -10.621262|    1.623380|    0.271980|    0.201385|
|          31|  2.0369e-01|   -5.338951|  -10.613517|    1.625300|    0.262883|    0.185563|
|          32|  2.0363e-01|   -5.376638|  -10.604108|    1.589487|    0.245525|    0.161745|
|          33|  2.0355e-01|   -5.405279|  -10.593060|    1.520746|    0.221304|    0.131380|
|          34|  2.0347e-01|   -5.420604|  -10.580537|    1.425952|    0.192049|    0.096370|
|          35|  2.0337e-01|   -5.424074|  -10.567396|    1.313830|    0.159951|    0.059026|
|          36|  2.0331e-01|   -5.421914|  -10.554394|    1.193929|    0.127300|    0.021798|
|          37|  2.0325e-01|   -5.420874|  -10.541829|    1.075386|    0.096201|   -0.013027|
|          38|  2.0317e-01|   -5.425573|  -10.529604|    0.966172|    0.068435|   -0.043467|
|          39|  2.0308e-01|   -5.438362|  -10.517524|    0.872761|    0.045400|   -0.067918|
|          40|  2.0300e-01|   -5.459976|  -10.505895|    0.799924|    0.028071|   -0.085210|
|          41|  2.0299e-01|   -5.489828|  -10.494803|    0.750618|    0.016972|   -0.094678|
|          42|  2.0343e-01|   -5.525750|  -10.484084|    0.726023|    0.012182|   -0.096188|
|          43|  2.0403e-01|   -5.563474|  -10.473554|    0.725790|    0.013396|   -0.090078|
|          44|  2.0402e-01|   -5.596402|  -10.463171|    0.748633|    0.020075|   -0.077000|
|          45|  2.0395e-01|   -5.617062|  -10.453289|    0.792841|    0.031569|   -0.057823|
|          46|  2.0389e-01|   -5.621465|  -10.443819|    0.855883|    0.047030|   -0.033810|
|          47|  2.0376e-01|   -5.612385|  -10.434764|    0.933698|    0.065274|   -0.006779|
|          48|  2.0366e-01|   -5.597091|  -10.426070|    1.020860|    0.084857|    0.021082|
|          49|  2.0366e-01|   -5.582984|  -10.417571|    1.111444|    0.104307|    0.047585|
|          50|  2.0358e-01|   -5.575251|  -10.409018|    1.199820|    0.122303|    0.070846|
|          51|  2.0351e-01|   -5.576712|  -10.399897|    1.281089|    0.137778|    0.089435|
|          52|  2.0343e-01|   -5.588497|  -10.390015|    1.351294|    0.149949|    0.102437|
|          53|  2.0334e-01|   -5.610571|  -10.379111|    1.407536|    0.158325|    0.109458|
|          54|  2.0338e-01|   -5.641850|  -10.367105|    1.448022|    0.162691|    0.110577|
|          55|  2.0335e-01|   -5.679933|  -10.353974|    1.472030|    0.163067|    0.106263|
|          56|  2.0328e-01|   -5.720552|  -10.339739|    1.479734|    0.159645|    0.097237|
|          57|  2.0321e-01|   -5.757350|  -10.324407|    1.471893|    0.152704|    0.084329|
|          58|  2.0320e-01|   -5.783339|  -10.307972|    1.449658|    0.142592|    0.068428|
|          59|  2.0320e-01|   -5.794696|  -10.290522|    1.414818|    0.129818|    0.050576|
|          60|  2.0316e-01|   -5.793360|  -10.272175|    1.370161|    0.115132|    0.032001|
|          61|  2.0337e-01|   -5.785276|  -10.253182|    1.319379|    0.099479|    0.013991|
|          62|  2.0356e-01|   -5.777098|  -10.233704|    1.266572|    0.083874|   -0.002296|
|          63|  2.0369e-01|   -5.774033|  -10.213857|    1.215720|    0.069283|   -0.015954|
|          64|  2.0369e-01|   -5.779266|  -10.193768|    1.170313|    0.056541|   -0.026374|
|          65|  2.0365e-01|   -5.794309|  -10.173496|    1.133129|    0.046295|   -0.033233|
|          66|  2.0360e-01|   -5.819379|  -10.153094|    1.106109|    0.038974|   -0.036468|
|          67|  2.0353e-01|   -5.853418|  -10.132574|    1.090323|    0.034779|   -0.036230|
|          68|  2.0352e-01|   -5.893611|  -10.111924|    1.086037|    0.033696|   -0.032837|
|          69|  2.0350e-01|   -5.934580|  -10.091168|    1.092885|    0.035543|   -0.026702|
|          70|  2.0347e-01|   -5.968213|  -10.070252|    1.110094|    0.040033|   -0.018291|
|          71|  2.0339e-01|   -5.986514|  -10.049142|    1.136498|    0.046773|   -0.008152|
|          72|  2.0331e-01|   -5.987488|  -10.027808|    1.170313|    0.055211|    0.003018|
|          73|  2.0337e-01|   -5.976925|  -10.006253|    1.209085|    0.064629|    0.014396|
|          74|  2.0330e-01|   -5.963424|   -9.984497|    1.250012|    0.074236|    0.025161|
|          75|  2.0324e-01|   -5.953945|   -9.962609|    1.290372|    0.083283|    0.034608|
|          76|  2.0327e-01|   -5.952762|   -9.940619|    1.327798|    0.091147|    0.042207|
|          77|  2.0337e-01|   -5.962034|   -9.918612|    1.360416|    0.097363|    0.047621|
|          78|  2.0339e-01|   -5.982509|   -9.896611|    1.386885|    0.101638|    0.050697|
|          79|  2.0336e-01|   -6.013835|   -9.874654|    1.406406|    0.103848|    0.051450|
