+------------------------------------------------------------------------------------------+
|  Inner_Iter|   Time(sec)|    rms[Rho]|     rms[nu]|          CL|          CD|         CMz|
|          66|  2.3494e-01|   -5.896114|  -10.260379|    0.955708|    0.029070|   -0.029709|
|          67|  2.3471e-01|   -5.930176|  -10.244777|    0.943465|    0.026238|   -0.029282|
|          68|  2.3524e-01|   -5.968107|  -10.228989|    0.941229|    0.025659|   -0.026185|
|          69|  2.3513e-01|   -6.004114|  -10.212979|    0.948624|    0.027195|   -0.020778|
|          70|  2.3506e-01|   -6.030536|  -10.196733|    0.964937|    0.030631|   -0.013460|
|          71|  2.3495e-01|   -6.041523|  -10.180208|    0.989084|    0.035672|   -0.004708|
|          72|  2.3499e-01|   -6.037948|  -10.163457|    1.019394|    0.041893|    0.004864|
|          73|  2.3488e-01|   -6.026643|  -10.146468|    1.053611|    0.048747|    0.014545|
|          74|  2.3482e-01|   -6.015189|  -10.129245|    1.089234|    0.055641|    0.023635|
|          75|  2.3468e-01|   -6.009122|  -10.111902|    1.123890|    0.062029|    0.031547|
|          76|  2.3433e-01|   -6.011766|  -10.094438|    1.155560|    0.067463|    0.037844|
|          77|  2.3393e-01|   -6.024786|  -10.076907|    1.182689|    0.071619|    0.042258|
|          78|  2.3367e-01|   -6.048619|  -10.059361|    1.204209|    0.074308|    0.044673|
|          79|  2.3359e-01|   -6.082526|  -10.041785|    1.219534|    0.075467|    0.045117|
|          80|  2.3349e-01|   -6.124156|  -10.024240|    1.228521|    0.075139|    0.043730|
|          81|  2.3334e-01|   -6.168635|  -10.006757|    1.231378|    0.073441|    0.040729|
|          82|  2.3320e-01|   -6.207794|   -9.989293|    1.228506|    0.070520|    0.036354|
|          83|  2.3307e-01|   -6.231831|   -9.971936|    1.220375|    0.066534|    0.030851|
|          84|  2.3294e-01|   -6.235528|   -9.954672|    1.207619|    0.061696|    0.024522|
|          85|  2.3266e-01|   -6.223092|   -9.937564|    1.191217|    0.056304|    0.017764|
|          86|  2.3233e-01|   -6.203942|   -9.920631|    1.172476|    0.050712|    0.011032|
|          87|  2.3201e-01|   -6.186417|   -9.903879|    1.152847|    0.045276|    0.004766|
|          88|  2.3168e-01|   -6.175785|   -9.887320|    1.133734|    0.040314|   -0.000666|
|          89|  2.3134e-01|   -6.174728|   -9.870943|    1.116375|    0.036083|   -0.004993|
|          90|  2.3102e-01|   -6.184222|   -9.854764|    1.101762|    0.032761|   -0.008048|
|          91|  2.3072e-01|   -6.204098|   -9.838755|    1.090617|    0.030451|   -0.009763|
|          92|  2.3046e-01|   -6.233166|   -9.822883|    1.083382|    0.029183|   -0.010159|
|          93|  2.3014e-01|   -6.268916|   -9.807164|    1.080239|    0.028924|   -0.009322|
|          94|  2.2985e-01|   -6.306968|   -9.791576|    1.081163|    0.029601|   -0.007385|
|          95|  2.2957e-01|   -6.340867|   -9.776110|    1.085976|    0.031107|   -0.004512|
|          96|  2.2928e-01|   -6.363734|   -9.760768|    1.094346|    0.033313|   -0.000903|
|          97|  2.2900e-01|   -6.372292|   -9.745547|    1.105732|    0.036046|    0.003192|
|          98|  2.2871e-01|   -6.369325|   -9.730483|    1.119351|    0.039094|    0.007481|
|          99|  2.2845e-01|   -6.361219|   -9.715575|    1.134254|    0.042223|    0.011661|
|         100|  2.2817e-01|   -6.354235|   -9.700862|    1.149454|    0.045208|    0.015462|
|         101|  2.2791e-01|   -6.352787|   -9.686349|    1.164031|    0.047854|    0.018669|
|         102|  2.2766e-01|   -6.359330|   -9.672055|    1.177201|    0.050010|    0.021128|
|         103|  2.2740e-01|   -6.374755|   -9.657989|    1.188349|    0.051572|    0.022753|
|         104|  2.2714e-01|   -6.398678|   -9.644115|    1.197043|    0.052486|    0.023513|
|         105|  2.2690e-01|   -6.429394|   -9.630462|    1.203041|    0.052742|    0.023433|
|         106|  2.2678e-01|   -6.463541|   -9.616977|    1.206267|    0.052366|    0.022576|
|         107|  2.2664e-01|   -6.495824|   -9.603668|    1.206782|    0.051408|    0.021033|
|         108|  2.2663e-01|   -6.519796|   -9.590515|    1.204740|    0.049938|    0.018914|
|         109|  2.2668e-01|   -6.530554|   -9.577505|    1.200400|    0.048048|    0.016352|
|         110|  2.2670e-01|   -6.527799|   -9.564648|    1.194144|    0.045855|    0.013507|
|         111|  2.2666e-01|   -6.515885|   -9.551899|    1.186485|    0.043499|    0.010562|
|         112|  2.2656e-01|   -6.500946|   -9.539266|    1.178021|    0.041129|    0.007707|
|         113|  2.2638e-01|   -6.488210|   -9.526712|    1.169371|    0.038886|    0.005112|
|         114|  2.2616e-01|   -6.481047|   -9.514214|    1.161116|    0.036892|    0.002920|
|         115|  2.2597e-01|   -6.481141|   -9.501765|    1.153762|    0.035245|    0.001232|
|         116|  2.2578e-01|   -6.488922|   -9.489317|    1.147707|    0.034008|    0.000109|
|         117|  2.2558e-01|   -6.503855|   -9.476866|    1.143237|    0.033216|   -0.000428|
|         118|  2.2539e-01|   -6.524500|   -9.464378|    1.140523|    0.032875|   -0.000392|
|         119|  2.2522e-01|   -6.548446|   -9.451879|    1.139630|    0.032966|    0.000178|
|         120|  2.2503e-01|   -6.572333|   -9.439326|    1.140538|    0.033453|    0.001220|
|         121|  2.2484e-01|   -6.592358|   -9.426753|    1.143147|    0.034286|    0.002655|
|         122|  2.2467e-01|   -6.605523|   -9.414162|    1.147277|    0.035399|    0.004386|
|         123|  2.2454e-01|   -6.611044|   -9.401558|    1.152661|    0.036710|    0.006298|
|         124|  2.2446e-01|   -6.610689|   -9.388966|    1.158952|    0.038129|    0.008266|
|         125|  2.2447e-01|   -6.607775|   -9.376455|    1.165748|    0.039556|    0.010166|
|         126|  2.2448e-01|   -6.605803|   -9.364049|    1.172635|    0.040900|    0.011884|
|         127|  2.2449e-01|   -6.607570|   -9.351833|    1.179221|    0.042080|    0.013328|
|         128|  2.2451e-01|   -6.614882|   -9.339833|    1.185164|    0.043031|    0.014433|
|         129|  2.2452e-01|   -6.628583|   -9.328113|    1.190193|    0.043710|    0.015159|
|         130|  2.2456e-01|   -6.648638|   -9.316695|    1.194118|    0.044096|    0.015495|
|         131|  2.2458e-01|   -6.674096|   -9.305633|    1.196832|    0.044187|    0.015453|
|         132|  2.2457e-01|   -6.702957|   -9.294890|    1.198301|    0.043994|    0.015064|
|         133|  2.2456e-01|   -6.732057|   -9.284469|    1.198557|    0.043546|    0.014372|
|         134|  2.2439e-01|   -6.757327|   -9.274243|    1.197675|    0.042874|    0.013428|
|         135|  2.2426e-01|   -6.774852|   -9.264187|    1.195773|    0.042019|    0.012291|
|         136|  2.2414e-01|   -6.782487|   -9.254122|    1.193013|    0.041030|    0.011028|
|         137|  2.2399e-01|   -6.780884|   -9.243901|    1.189606|    0.039965|    0.009711|
|         138|  2.2387e-01|   -6.772990|   -9.233353|    1.185797|    0.038881|    0.008418|
