"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoW]"   ,    "rms[RhoE]"   ,     "rms[nu]"    
          0,           0,          54,      -6.834173099,       -6.85738302,      -7.094308401,      -6.911278686,      -6.225413735,      -11.50261813
          0,           0,          55,       -6.87576409,      -6.871365021,       -7.12057426,      -6.939075613,      -6.267485022,      -11.49811673
          0,           0,          56,      -6.916576435,      -6.880375062,      -7.132932921,      -6.960046792,      -6.308885851,      -11.49321554
          0,           0,          57,      -6.955933273,      -6.884052853,      -7.134939724,      -6.975763277,      -6.349069402,      -11.48811341
          0,           0,          58,       -6.99301622,      -6.882502933,      -7.131281184,      -6.988148075,      -6.387303548,      -11.48299927
          0,           0,          59,      -7.026982346,      -6.876349756,      -7.125999952,      -6.998920627,      -6.422739458,      -11.47805584
          0,           0,          60,      -7.057132888,      -6.866627257,       -7.12189843,      -7.009381665,      -6.454568802,       -11.4734092
          0,           0,          61,      -7.083102928,      -6.854580698,      -7.120648367,       -7.02042377,      -6.482248069,      -11.46913339
          0,           0,          62,      -7.104940197,      -6.841423696,      -7.123113644,      -7.032618133,      -6.505642887,      -11.46527342
          0,           0,          63,      -7.123056921,      -6.828164537,      -7.129622559,      -7.046311504,      -6.525039784,        -11.461863
          0,           0,          64,       -7.13808717,      -6.815564063,      -7.140161995,      -7.061687883,      -6.541028372,      -11.45894584
          0,           0,          65,      -7.150724857,      -6.804138873,      -7.154492806,      -7.078794522,      -6.554326748,      -11.45657286
          0,           0,          66,      -7.161617798,      -6.794186193,      -7.172224113,       -7.09753616,      -6.565645287,      -11.45479605
          0,           0,          67,      -7.171308739,      -6.785837473,      -7.192862599,      -7.117711473,      -6.575599842,      -11.45365016
          0,           0,          68,      -7.180210115,      -6.779110945,      -7.215870646,      -7.139044368,      -6.584669192,      -11.45315767
          0,           0,          69,      -7.188619461,      -6.773960943,      -7.240710784,      -7.161221337,      -6.593204264,      -11.45330198
          0,           0,          70,      -7.196733223,      -6.770303745,      -7.266878104,      -7.183916394,      -6.601438549,      -11.45402226
          0,           0,          71,      -7.204675982,      -6.768036779,      -7.293918919,      -7.206825853,      -6.609518804,      -11.45529463
          0,           0,          72,      -7.212520895,      -6.767063808,      -7.321434017,      -7.229671701,      -6.617528867,      -11.45713116
          0,           0,          73,      -7.220313927,      -6.767299769,      -7.349065584,      -7.252206436,      -6.625517146,      -11.45953504
          0,           0,          74,      -7.228092273,      -6.768673404,      -7.376475284,      -7.274202033,      -6.633517295,      -11.46248152
          0,           0,          75,      -7.235891555,      -6.771120244,      -7.403322581,      -7.295443305,      -6.641556616,      -11.46593736
          0,           0,          76,      -7.243742588,      -6.774573688,      -7.429248676,      -7.315719498,      -6.649653559,       -11.4698759
          0,           0,          77,       -7.25167107,      -6.778957423,      -7.453879076,      -7.334822882,      -6.657819734,      -11.47428518
          0,           0,          78,        -7.2596861,      -6.784180493,      -7.476849254,      -7.352542122,      -6.666050328,      -11.47918423
          0,           0,          79,      -7.267806206,      -6.790147068,       -7.49784123,      -7.368707408,      -6.674353811,      -11.48453412
          0,           0,          80,      -7.276045413,      -6.796760117,      -7.516620897,      -7.383208087,      -6.682738369,       -11.4902284
          0,           0,          81,      -7.284417181,      -6.803932878,      -7.533075847,      -7.396025374,       -6.69121666,      -11.49609718
          0,           0,          82,      -7.292939425,        -6.8115919,       -7.54723264,      -7.407236502,       -6.69981014,      -11.50205141
          0,           0,          83,      -7.301631833,      -6.819680296,      -7.559237252,      -7.417020945,       -6.70854501,      -11.50820832
          0,           0,          84,      -7.310508577,      -6.828153194,      -7.569309538,      -7.425626596,      -6.717443073,      -11.51472239
          0,           0,          85,      -7.319587941,      -6.836981723,      -7.577695458,      -7.433331631,      -6.726531333,        -11.521715
          0,           0,          86,      -7.328891897,      -6.846149383,      -7.584612985,      -7.440399285,      -6.735840753,      -11.52907864
          0,           0,          87,      -7.338435936,      -6.855646193,      -7.590209384,      -7.447042228,       -6.74539449,      -11.53671682
          0,           0,          88,       -7.34823638,      -6.865464819,      -7.594541652,      -7.453401829,      -6.755216002,      -11.54453405
          0,           0,          89,        -7.3582983,      -6.875598156,      -7.597575854,      -7.459527768,      -6.765316252,      -11.55251829
          0,           0,          90,      -7.368617317,      -6.886036969,      -7.599207558,      -7.465377233,      -6.775695449,      -11.56063055
          0,           0,          91,      -7.379178208,      -6.896768865,      -7.599296578,      -7.470823268,      -6.786341638,      -11.56888253
          0,           0,          92,      -7.389958089,      -6.907777881,      -7.597708514,      -7.475675155,      -6.797234053,      -11.57731401
          0,           0,          93,      -7.400926957,      -6.919044308,      -7.594354138,      -7.479705321,      -6.808343684,      -11.58595528
          0,           0,          94,      -7.412048987,      -6.930545769,      -7.589219235,      -7.482687347,      -6.819634439,      -11.59479998
          0,           0,          95,      -7.423279942,      -6.942254391,      -7.582389563,      -7.484419523,      -6.831060476,      -11.60384164
