"VARIABLE"      , "GRADIENT"      , "FINDIFF_STEP"  
0               , -0.3764         , 0.001           
1               , -0.241176       , 0.001           
2               , -0.11862        , 0.001           
3               , -0.0271003      , 0.001           
4               , 0.0287805       , 0.001           
5               , 0.0496921       , 0.001           
6               , 0.0409257       , 0.001           
7               , 0.0124026       , 0.001           
8               , -0.0224957      , 0.001           
9               , -0.0499463      , 0.001           
10              , -0.0601438      , 0.001           
11              , -0.0514132      , 0.001           
12              , -0.0311421      , 0.001           
13              , -0.0113743      , 0.001           
14              , -0.000625639    , 0.001           
15              , 0.00144598      , 0.001           
16              , 0.000671465     , 0.001           
17              , 0.00243674      , 0.001           
18              , 0.00982121      , 0.001           
19              , -0.239536       , 0.001           
20              , -0.0950946      , 0.001           
21              , -0.123629       , 0.001           
22              , -0.208593       , 0.001           
23              , -0.285819       , 0.001           
24              , -0.322989       , 0.001           
25              , -0.309555       , 0.001           
26              , -0.250556       , 0.001           
27              , -0.161921       , 0.001           
28              , -0.0657894      , 0.001           
29              , 0.0151723       , 0.001           
30              , 0.0644964       , 0.001           
31              , 0.0779387       , 0.001           
32              , 0.0651446       , 0.001           
33              , 0.0435587       , 0.001           
34              , 0.0263762       , 0.001           
35              , 0.0150695       , 0.001           
36              , 0.00592136      , 0.001           
37              , -0.000103678    , 0.001           
