"Time_Iter","Outer_Iter","Inner_Iter",     "rms[P]"     ,     "rms[U]"     ,     "rms[V]"     
          0,           0,          95,      -11.58047953,       -10.9654612,      -12.27062956
          0,           0,          96,      -11.63826797,      -11.02347401,      -12.33312865
          0,           0,          97,      -11.73983807,      -11.12513646,      -12.36416703
          0,           0,          98,      -11.88760228,      -11.27243925,      -12.40134098
          0,           0,          99,      -12.09691838,       -11.4784161,      -12.45793292
          0,           0,         100,      -12.37219834,      -11.73953733,      -12.53145656
          0,           0,         101,      -12.48449546,      -11.84310671,      -12.61127362
          0,           0,         102,      -12.34831409,      -11.72314315,      -12.67968153
          0,           0,         103,       -12.2672611,      -11.64898608,      -12.72712158
          0,           0,         104,      -12.26669255,       -11.6506682,       -12.7568668
          0,           0,         105,      -12.32369122,      -11.70839248,      -12.78547194
          0,           0,         106,      -12.42556119,      -11.81070804,      -12.82551624
          0,           0,         107,      -12.57435359,      -11.95952075,      -12.88365149
          0,           0,         108,      -12.78407094,      -12.16709036,      -12.96244571
