"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoW]"   ,    "rms[RhoE]"   
          0,           0,          63,      -3.931416787,      -1.045817611,      -1.070930804,      -1.075727077,       1.546353826
          0,           0,          64,      -3.940604375,      -1.042932064,      -1.069225301,      -1.074435765,       1.536066548
          0,           0,          65,      -3.949982084,      -1.040447891,      -1.067735145,      -1.073302838,       1.525775332
          0,           0,          66,      -3.959495926,       -1.03840174,      -1.066493692,      -1.072349247,       1.515512906
          0,           0,          67,      -3.968950349,      -1.036822943,      -1.065509131,      -1.071578123,       1.505430879
          0,           0,          68,      -3.978017103,      -1.035738541,      -1.064773021,      -1.070980796,       1.495801436
          0,           0,          69,      -3.986308241,      -1.035168496,      -1.064265555,      -1.070542346,       1.486960509
          0,           0,          70,      -3.993491586,      -1.035122906,      -1.063965277,      -1.070248478,       1.479210004
          0,           0,          71,      -3.999389159,       -1.03560815,      -1.063857697,      -1.070093725,       1.472723927
          0,           0,          72,      -4.004009088,      -1.036624769,      -1.063932723,       -1.07007983,       1.467510863
          0,           0,          73,       -4.00751268,      -1.038166551,      -1.064188805,      -1.070209347,       1.463437602
          0,           0,          74,      -4.010138007,       -1.04022354,      -1.064624338,      -1.070486846,       1.460295635
          0,           0,          75,      -4.012122075,      -1.042778551,      -1.065237055,      -1.070916036,       1.457873563
          0,           0,          76,      -4.013653291,      -1.045812758,      -1.066016887,      -1.071493125,       1.456003709
          0,           0,          77,      -4.014872693,      -1.049304277,      -1.066953942,      -1.072213711,       1.454562323
          0,           0,          78,      -4.015894164,       -1.05323016,      -1.068036181,      -1.073071715,       1.453446228
          0,           0,          79,      -4.016833591,      -1.057571748,      -1.069253944,       -1.07405885,       1.452541838
          0,           0,          80,       -4.01781777,      -1.062315186,      -1.070595422,      -1.075169945,       1.451714001
          0,           0,          81,      -4.018989543,      -1.067448764,      -1.072052315,      -1.076400743,       1.450800294
          0,           0,          82,      -4.020498592,      -1.072971454,      -1.073613982,      -1.077748218,       1.449621563
          0,           0,          83,      -4.022491249,      -1.078891071,      -1.075271578,      -1.079208564,       1.447997294
          0,           0,          84,      -4.025103002,      -1.085222345,      -1.077016502,      -1.080775935,       1.445757366
          0,           0,          85,       -4.02845432,      -1.091988039,      -1.078837646,      -1.082442537,        1.44274955
          0,           0,          86,      -4.032640782,      -1.099216429,      -1.080723295,      -1.084198243,       1.438852059
          0,           0,          87,      -4.037725651,       -1.10693927,      -1.082661997,      -1.086035675,       1.433980639
          0,           0,          88,      -4.043730748,      -1.115188611,      -1.084638334,       -1.08794466,       1.428099095
          0,           0,          89,      -4.050645838,      -1.123996584,      -1.086635988,      -1.089913856,       1.421207713
          0,           0,          90,      -4.058414915,      -1.133389077,      -1.088640049,      -1.091929566,       1.413356614
          0,           0,          91,      -4.066936821,      -1.143385471,      -1.090635332,      -1.093979778,       1.404643068
          0,           0,          92,      -4.076068485,       -1.15399522,      -1.092609745,      -1.096053691,       1.395208415
          0,           0,          93,      -4.085632269,      -1.165215602,      -1.094552337,      -1.098143663,       1.385231226
          0,           0,          94,      -4.095426341,      -1.177029784,      -1.096460095,       -1.10024692,       1.374918156
          0,           0,          95,      -4.105225695,      -1.189401905,      -1.098336773,      -1.102367973,       1.364502707
          0,           0,          96,      -4.114797122,      -1.202277673,      -1.100197156,      -1.104519907,       1.354232707
          0,           0,          97,      -4.123928269,      -1.215580733,      -1.102066311,      -1.106727245,       1.344341304
          0,           0,          98,      -4.132434998,      -1.229211292,      -1.103987576,      -1.109025318,       1.335042625
          0,           0,          99,      -4.140174898,      -1.243040829,      -1.106016377,      -1.111460947,       1.326514193
          0,           0,         100,      -4.147065659,      -1.256919522,      -1.108222281,      -1.114095116,       1.318877546
          0,           0,         101,      -4.153087567,      -1.270678602,      -1.110687923,      -1.116999972,        1.31219238
          0,           0,         102,      -4.158283108,      -1.284135539,       -1.11350724,      -1.120256805,       1.306450954
          0,           0,         103,      -4.162746821,      -1.297105552,      -1.116782455,      -1.123954411,       1.301585249
          0,           0,         104,      -4.166615602,      -1.309416043,      -1.120620452,      -1.128187216,       1.297473821
          0,           0,         105,      -4.170059405,      -1.320924274,      -1.125128692,      -1.133050841,       1.293950452
          0,           0,         106,      -4.173254778,      -1.331534657,      -1.130409815,      -1.138637338,        1.29083124
          0,           0,         107,      -4.176396469,      -1.341208264,      -1.136558095,      -1.145030302,       1.287905661
          0,           0,         108,      -4.179678942,      -1.349974332,      -1.143654683,      -1.152302309,       1.284956302
          0,           0,         109,      -4.183286476,      -1.357929124,      -1.151762575,       -1.16051262,       1.281772079
          0,           0,         110,      -4.187382681,      -1.365216164,      -1.160918266,      -1.169697203,       1.278159813
          0,           0,         111,      -4.192102879,       -1.37201078,      -1.171129283,      -1.179863192,       1.273953075
          0,           0,         112,      -4.197553923,      -1.378491208,      -1.182366594,      -1.190983856,       1.269014768
          0,           0,         113,      -4.203788917,      -1.384812084,       -1.19455688,        -1.2029967,       1.263261788
          0,           0,         114,      -4.210799662,       -1.39107118,      -1.207572847,      -1.215789771,       1.256673663
          0,           0,         115,      -4.218499527,      -1.397284134,      -1.221229389,       -1.22919428,       1.249309631
          0,           0,         116,       -4.22672416,      -1.403352517,      -1.235272238,      -1.242975834,       1.241309682
