"PointID","x","y"
0, 9.997500181200000e-01, -3.633001813339004e-05
1, 9.990000128750000e-01, -1.453202246642555e-04
2, 9.977599978450000e-01, -3.258400537198713e-04
3, 9.960200190539999e-01, -5.809324017480787e-04
4, 9.937800168990000e-01, -9.146411234046292e-04
5, 9.910500049590000e-01, -1.332583796181252e-03
6, 9.878399968150000e-01, -1.842635916327496e-03
7, 9.841300249100000e-01, -2.457423296787714e-03
8, 9.799500107769999e-01, -3.177384156226061e-03
9, 9.752799868580000e-01, -4.003431875806108e-03
10, 9.701499938960000e-01, -4.918297471803806e-03
11, 9.645400047300000e-01, -5.906202209235308e-03
12, 9.584699869160000e-01, -6.942308240041084e-03
13, 9.519400000570000e-01, -8.009724514563490e-03
14, 9.449599981310000e-01, -9.098768264961279e-03
15, 9.375399947170000e-01, -1.020942137772040e-02
16, 9.296900033950000e-01, -1.134850826888666e-02
17, 9.214000105860000e-01, -1.252807275200265e-02
18, 9.126999974250000e-01, -1.375292583054631e-02
19, 9.035800099370001e-01, -1.502989577127898e-02
20, 8.940600156780000e-01, -1.635766788404495e-02
21, 8.841500282290000e-01, -1.773338044354519e-02
22, 8.738499879840000e-01, -1.915397113203629e-02
23, 8.631799817090000e-01, -2.061313453571291e-02
24, 8.521599769590000e-01, -2.210482390756276e-02
25, 8.407700061800000e-01, -2.362874887244798e-02
26, 8.290500044819999e-01, -2.517682688747932e-02
27, 8.170099854470000e-01, -2.674510318071214e-02
28, 8.046399950980000e-01, -2.833200678530584e-02
29, 7.919700145720000e-01, -2.993050213598004e-02
30, 7.790099978450000e-01, -3.153583373313575e-02
31, 7.657799720760000e-01, -3.314170956043488e-02
32, 7.522799968720000e-01, -3.474403325597415e-02
33, 7.385200262070000e-01, -3.633730707940515e-02
34, 7.245299816130000e-01, -3.791375584413232e-02
35, 7.103199958800001e-01, -3.946805185289089e-02
36, 6.958900094030001e-01, -4.099609740973173e-02
37, 6.812700033190000e-01, -4.249088471768560e-02
38, 6.664699912070000e-01, -4.394796516933838e-02
39, 6.514999866490000e-01, -4.536329331297927e-02
40, 6.363800168040000e-01, -4.673238816785384e-02
41, 6.211299896240000e-01, -4.805142629545938e-02
42, 6.057599782940000e-01, -4.931804005147585e-02
43, 5.902799963950000e-01, -5.053037048642035e-02
44, 5.747100114820000e-01, -5.168632599882925e-02
45, 5.590599775310000e-01, -5.278511316755434e-02
46, 5.433599948880000e-01, -5.382505117316813e-02
47, 5.276100039480000e-01, -5.480694429641825e-02
48, 5.118399858470000e-01, -5.573002077999314e-02
49, 4.960500001910000e-01, -5.659559838530913e-02
50, 4.802699983120000e-01, -5.740349828786272e-02
51, 4.645099937920000e-01, -5.815478477060419e-02
52, 4.487800002100000e-01, -5.885048203805473e-02
53, 4.331099987030000e-01, -5.949071508853036e-02
54, 4.174999892710000e-01, -6.007675808549798e-02
