Density,Momentum:0,Momentum:1,Momentum:2,Energy,Nu_Tilde,Pressure,Temperature,Mach,Pressure_Coefficient,Velocity:0,Velocity:1,Velocity:2,Laminar_Viscosity,Skin_Friction_Coefficient:0,Skin_Friction_Coefficient:1,Skin_Friction_Coefficient:2,Heat_Flux,Y_Plus,Eddy_Viscosity,X/C,Points:1,Points:2
0.9965,0,0,0,79.442,0,31.777,1.0045,0,0.061382,0,0,0,1.67E-07,0.0069918,0.00071647,0,0,0.60029,0,0.7316,-0.032538,0
0.99651,0,0,0,79.444,0,31.777,1.0045,0,0.062785,0,0,0,1.67E-07,0.0069961,0.00070141,0,0,0.60029,0,0.71543,-0.034179,0
0.99653,0,0,0,79.446,0,31.778,1.0045,0,0.064462,0,0,0,1.67E-07,0.007,0.00068559,0,0,0.60029,0,0.69875,-0.035832,0
0.99656,0,0,0,79.448,0,31.779,1.0045,0,0.066421,0,0,0,1.67E-07,0.0070036,0.00066894,0,0,0.60028,0,0.6816,-0.037491,0
0.99658,0,0,0,79.451,0,31.78,1.0045,0,0.068671,0,0,0,1.67E-07,0.0070068,0.00065139,0,0,0.60027,0,0.66401,-0.03915,0
0.99661,0,0,0,79.454,0,31.782,1.0045,0,0.071226,0,0,0,1.67E-07,0.0070097,0.00063285,0,0,0.60025,0,0.646,-0.040801,0
0.99665,0,0,0,79.458,0,31.783,1.0045,0,0.074098,0,0,0,1.67E-07,0.0070123,0.00061325,0,0,0.60023,0,0.62763,-0.042435,0
0.99669,0,0,0,79.462,0,31.785,1.0045,0,0.077307,0,0,0,1.67E-07,0.0070146,0.0005925,0,0,0.60021,0,0.60892,-0.044044,0
0.99673,0,0,0,79.466,0,31.786,1.0046,0,0.080874,0,0,0,1.67E-07,0.0070166,0.00057048,0,0,0.60018,0,0.58993,-0.045619,0
0.99677,0,0,0,79.471,0,31.788,1.0046,0,0.084822,0,0,0,1.67E-07,0.0070182,0.00054711,0,0,0.60014,0,0.57071,-0.047151,0
0.99683,0,0,0,79.477,0,31.791,1.0046,0,0.08918,0,0,0,1.67E-07,0.0070195,0.00052227,0,0,0.6001,0,0.55129,-0.048631,0
0.99688,0,0,0,79.483,0,31.793,1.0046,0,0.093983,0,0,0,1.67E-07,0.0070205,0.00049588,0,0,0.60005,0,0.53174,-0.05005,0
0.99694,0,0,0,79.489,0,31.796,1.0046,0,0.099265,0,0,0,1.67E-07,0.0070211,0.00046781,0,0,0.59999,0,0.51212,-0.051398,0
0.99701,0,0,0,79.496,0,31.799,1.0047,0,0.10507,0,0,0,1.67E-07,0.0070213,0.00043799,0,0,0.59993,0,0.49246,-0.052667,0
0.99708,0,0,0,79.504,0,31.802,1.0047,0,0.11144,0,0,0,1.67E-07,0.0070212,0.00040632,0,0,0.59986,0,0.47284,-0.053848,0
0.99716,0,0,0,79.513,0,31.805,1.0047,0,0.11841,0,0,0,1.67E-07,0.0070206,0.00037271,0,0,0.59979,0,0.45331,-0.054933,0
0.99725,0,0,0,79.523,0,31.809,1.0048,0,0.12605,0,0,0,1.67E-07,0.0070196,0.0003371,0,0,0.5997,0,0.43391,-0.055915,0
0.99734,0,0,0,79.533,0,31.813,1.0048,0,0.13441,0,0,0,1.67E-07,0.0070181,0.00029943,0,0,0.59962,0,0.41471,-0.056786,0
0.99745,0,0,0,79.544,0,31.818,1.0048,0,0.14352,0,0,0,1.67E-07,0.0070161,0.00025965,0,0,0.59952,0,0.39575,-0.057543,0
0.99756,0,0,0,79.557,0,31.823,1.0049,0,0.15345,0,0,0,1.67E-07,0.0070137,0.00021772,0,0,0.59943,0,0.37708,-0.058179,0
0.99768,0,0,0,79.57,0,31.828,1.0049,0,0.16424,0,0,0,1.67E-07,0.0070107,0.00017363,0,0,0.59933,0,0.35875,-0.058691,0
0.99781,0,0,0,79.585,0,31.834,1.005,0,0.17595,0,0,0,1.67E-07,0.0070073,0.00012735,0,0,0.59923,0,0.34079,-0.059078,0
0.99796,0,0,0,79.601,0,31.84,1.005,0,0.18861,0,0,0,1.67E-07,0.0070034,7.89E-05,0,0,0.59914,0,0.32325,-0.059337,0
0.99811,0,0,0,79.618,0,31.847,1.0051,0,0.20226,0,0,0,1.67E-07,0.0069992,2.83E-05,0,0,0.59906,0,0.30616,-0.059468,0
0.99827,0,0,0,79.636,0,31.854,1.0052,0,0.21693,0,0,0,1.67E-07,0.0069948,-2.45E-05,0,0,0.599,0,0.28955,-0.059473,0
0.99845,0,0,0,79.656,0,31.862,1.0052,0,0.23267,0,0,0,1.67E-07,0.0069903,-7.95E-05,0,0,0.59896,0,0.27345,-0.059353,0
0.99864,0,0,0,79.677,0,31.871,1.0053,0,0.24947,0,0,0,1.67E-07,0.006986,-0.00013659,0,0,0.59897,0,0.25787,-0.059112,0
0.99884,0,0,0,79.699,0,31.88,1.0054,0,0.26737,0,0,0,1.67E-07,0.0069822,-0.00019586,0,0,0.59904,0,0.24284,-0.058755,0
0.99906,0,0,0,79.723,0,31.889,1.0055,0,0.28636,0,0,0,1.67E-07,0.0069795,-0.00025732,0,0,0.5992,0,0.22837,-0.058285,0
0.99928,0,0,0,79.748,0,31.899,1.0055,0,0.30644,0,0,0,1.67E-07,0.0069793,-0.00032107,0,0,0.5995,0,0.21446,-0.057708,0
0.99952,0,0,0,79.775,0,31.91,1.0056,0,0.32762,0,0,0,1.67E-07,0.0069836,-0.00038731,0,0,0.60005,0,0.20112,-0.057032,0
0.99977,0,0,0,79.802,0,31.921,1.0057,0,0.34986,0,0,0,1.67E-07,0.0069958,-0.00045643,0,0,0.601,0,0.18837,-0.056261,0
1,0,0,0,79.832,0,31.933,1.0058,0,0.37316,0,0,0,1.67E-07,0.0070192,-0.00052895,0,0,0.60248,0,0.17618,-0.055404,0
1.0003,0,0,0,79.862,0,31.945,1.006,0,0.3975,0,0,0,1.67E-07,0.0070551,-0.00060542,0,0,0.60455,0,0.16456,-0.054467,0
1.0006,0,0,0,79.894,0,31.957,1.0061,0,0.42283,0,0,0,1.67E-07,0.0071028,-0.00068626,0,0,0.6072,0,0.15351,-0.053459,0
1.0009,0,0,0,79.926,0,31.971,1.0062,0,0.44914,0,0,0,1.67E-07,0.0071554,-0.00077128,0,0,0.61012,0,0.14301,-0.052385,0
1.0012,0,0,0,79.961,0,31.984,1.0063,0,0.47636,0,0,0,1.67E-07,0.0072093,-0.00086037,0,0,0.61317,0,0.13306,-0.051254,0
1.0015,0,0,0,79.996,0,31.998,1.0064,0,0.50446,0,0,0,1.68E-07,0.0072525,-0.00095224,0,0,0.61585,0,0.12363,-0.050072,0
1.0018,0,0,0,80.032,0,32.013,1.0066,0,0.53336,0,0,0,1.68E-07,0.0072829,-0.0010464,0,0,0.61808,0,0.11472,-0.048847,0
