 +------------------------------------------------------------------------------------------+
|  Inner_Iter|   Time(sec)|    rms[Rho]|     rms[nu]|          CL|          CD|         CMz|
|          66|  2.4710e-01|   -6.393133|  -10.488512|    0.311608|    0.010554|    0.002969|
|          67|  2.4694e-01|   -6.420303|  -10.480948|    0.308127|    0.010049|    0.002986|
|          68|  2.4685e-01|   -6.457292|  -10.473391|    0.307968|    0.009585|    0.003821|
|          69|  2.4668e-01|   -6.499668|  -10.465889|    0.310972|    0.009194|    0.005368|
|          70|  2.4657e-01|   -6.539999|  -10.458444|    0.316823|    0.008908|    0.007504|
|          71|  2.4648e-01|   -6.568925|  -10.451023|    0.325045|    0.008756|    0.010076|
|          72|  2.4654e-01|   -6.579732|  -10.443635|    0.334994|    0.008757|    0.012900|
|          73|  2.4624e-01|   -6.573489|  -10.436308|    0.345893|    0.008913|    0.015770|
|          74|  2.4617e-01|   -6.558213|  -10.429053|    0.356935|    0.009207|    0.018479|
|          75|  2.4604e-01|   -6.543070|  -10.421821|    0.367386|    0.009605|    0.020852|
|          76|  2.4588e-01|   -6.534406|  -10.414631|    0.376654|    0.010061|    0.022752|
|          77|  2.4573e-01|   -6.535380|  -10.407497|    0.384317|    0.010526|    0.024094|
|          78|  2.4596e-01|   -6.546891|  -10.400412|    0.390117|    0.010953|    0.024833|
|          79|  2.4583e-01|   -6.568242|  -10.393336|    0.393955|    0.011298|    0.024973|
|          80|  2.4562e-01|   -6.597210|  -10.386271|    0.395864|    0.011532|    0.024549|
|          81|  2.4550e-01|   -6.629722|  -10.379223|    0.395965|    0.011632|    0.023620|
|          82|  2.4542e-01|   -6.659795|  -10.372197|    0.394432|    0.011585|    0.022259|
|          83|  2.4515e-01|   -6.680964|  -10.365187|    0.391466|    0.011387|    0.020548|
|          84|  2.4485e-01|   -6.689514|  -10.358162|    0.387323|    0.011046|    0.018591|
|          85|  2.4450e-01|   -6.686582|  -10.351125|    0.382334|    0.010582|    0.016516|
|          86|  2.4446e-01|   -6.676901|  -10.344103|    0.376884|    0.010032|    0.014464|
|          87|  2.4434e-01|   -6.666172|  -10.337109|    0.371375|    0.009441|    0.012570|
|          88|  2.4427e-01|   -6.659114|  -10.330152|    0.366179|    0.008855|    0.010946|
|          89|  2.4415e-01|   -6.658695|  -10.323220|    0.361611|    0.008319|    0.009675|
|          90|  2.4407e-01|   -6.666200|  -10.316288|    0.357915|    0.007868|    0.008804|
|          91|  2.4405e-01|   -6.681550|  -10.309375|    0.355257|    0.007529|    0.008349|
|          92|  2.4497e-01|   -6.703474|  -10.302487|    0.353724|    0.007315|    0.008299|
|          93|  2.4497e-01|   -6.729504|  -10.295624|    0.353337|    0.007230|    0.008621|
|          94|  2.4480e-01|   -6.756054|  -10.288796|    0.354063|    0.007268|    0.009267|
|          95|  2.4457e-01|   -6.779140|  -10.281974|    0.355833|    0.007417|    0.010181|
|          96|  2.4430e-01|   -6.796121|  -10.275148|    0.358531|    0.007657|    0.011292|
|          97|  2.4414e-01|   -6.807017|  -10.268330|    0.361979|    0.007966|    0.012519|
|          98|  2.4398e-01|   -6.813651|  -10.261524|    0.365941|    0.008310|    0.013769|
|          99|  2.4379e-01|   -6.818399|  -10.254742|    0.370150|    0.008659|    0.014955|
|         100|  2.4339e-01|   -6.823811|  -10.247992|    0.374336|    0.008982|    0.016002|
|         101|  2.4300e-01|   -6.832187|  -10.241263|    0.378259|    0.009254|    0.016855|
|         102|  2.4277e-01|   -6.845078|  -10.234552|    0.381716|    0.009457|    0.017479|
|         103|  2.4253e-01|   -6.863010|  -10.227875|    0.384557|    0.009583|    0.017857|
|         104|  2.4236e-01|   -6.885407|  -10.221234|    0.386680|    0.009626|    0.017990|
|         105|  2.4222e-01|   -6.910567|  -10.214639|    0.388037|    0.009592|    0.017890|
|         106|  2.4302e-01|   -6.935740|  -10.208093|    0.388617|    0.009486|    0.017579|
|         107|  2.4304e-01|   -6.957580|  -10.201593|    0.388437|    0.009317|    0.017083|
|         108|  2.4289e-01|   -6.973273|  -10.195114|    0.387544|    0.009097|    0.016432|
|         109|  2.4278e-01|   -6.981915|  -10.188661|    0.386021|    0.008841|    0.015668|
|         110|  2.4256e-01|   -6.984798|  -10.182237|    0.384006|    0.008569|    0.014845|
|         111|  2.4244e-01|   -6.984535|  -10.175840|    0.381676|    0.008300|    0.014019|
|         112|  2.4236e-01|   -6.984156|  -10.169467|    0.379226|    0.008054|    0.013245|
|         113|  2.4233e-01|   -6.986404|  -10.163118|    0.376842|    0.007844|    0.012570|
|         114|  2.4220e-01|   -6.993207|  -10.156788|    0.374685|    0.007680|    0.012028|
|         115|  2.4220e-01|   -7.005454|  -10.150457|    0.372886|    0.007569|    0.011640|
|         116|  2.4218e-01|   -7.022958|  -10.144136|    0.371534|    0.007511|    0.011416|
|         117|  2.4212e-01|   -7.044450|  -10.137823|    0.370679|    0.007503|    0.011355|
|         118|  2.4200e-01|   -7.067581|  -10.131531|    0.370337|    0.007539|    0.011447|
|         119|  2.4217e-01|   -7.089096|  -10.125262|    0.370503|    0.007612|    0.011680|
|         120|  2.4220e-01|   -7.105515|  -10.119014|    0.371157|    0.007716|    0.012038|
|         121|  2.4218e-01|   -7.114563|  -10.112796|    0.372266|    0.007843|    0.012501|
|         122|  2.4207e-01|   -7.116386|  -10.106605|    0.373763|    0.007984|    0.013039|
|         123|  2.4197e-01|   -7.113115|  -10.100432|    0.375549|    0.008130|    0.013616|
|         124|  2.4190e-01|   -7.107693|  -10.094285|    0.377506|    0.008269|    0.014193|
|         125|  2.4186e-01|   -7.103027|  -10.088174|    0.379508|    0.008393|    0.014735|
|         126|  2.4182e-01|   -7.101417|  -10.082108|    0.381442|    0.008494|    0.015211|
|         127|  2.4168e-01|   -7.104279|  -10.076085|    0.383208|    0.008569|    0.015600|
|         128|  2.4156e-01|   -7.112130|  -10.070104|    0.384729|    0.008615|    0.015888|
|         129|  2.4145e-01|   -7.124689|  -10.064166|    0.385950|    0.008632|    0.016067|
|         130|  2.4144e-01|   -7.141002|  -10.058266|    0.386839|    0.008622|    0.016138|
|         131|  2.4145e-01|   -7.159577|  -10.052384|    0.387388|    0.008588|    0.016109|
|         132|  2.4142e-01|   -7.178583|  -10.046521|    0.387606|    0.008536|    0.015991|
|         133|  2.4179e-01|   -7.196164|  -10.040677|    0.387518|    0.008469|    0.015798|
|         134|  2.4213e-01|   -7.210895|  -10.034850|    0.387163|    0.008393|    0.015549|
|         135|  2.4210e-01|   -7.222202|  -10.029039|    0.386590|    0.008313|    0.015263|
|         136|  2.4229e-01|   -7.230512|  -10.023239|    0.385860|    0.008235|    0.014962|
|         137|  2.4227e-01|   -7.236990|  -10.017449|    0.385040|    0.008162|    0.014669|
|         138|  2.4224e-01|   -7.243063|  -10.011669|    0.384200|    0.008100|    0.014402|
|         139|  2.4224e-01|   -7.249980|  -10.005902|    0.383408|    0.008052|    0.014181|
|         140|  2.4214e-01|   -7.258532|  -10.000136|    0.382722|    0.008019|    0.014017|
|         141|  2.4213e-01|   -7.268918|   -9.994375|    0.382189|    0.008002|    0.013920|
|         142|  2.4214e-01|   -7.280721|   -9.988628|    0.381843|    0.008002|    0.013893|
|         143|  2.4210e-01|   -7.292979|   -9.982900|    0.381704|    0.008016|    0.013935|
|         144|  2.4210e-01|   -7.304372|   -9.977199|    0.381781|    0.008045|    0.014044|
|         145|  2.4208e-01|   -7.313524|   -9.971527|    0.382079|    0.008084|    0.014215|
|         146|  2.4226e-01|   -7.319435|   -9.965901|    0.382588|    0.008134|    0.014440|
|         147|  2.4238e-01|   -7.321827|   -9.960324|    0.383291|    0.008191|    0.014708|
|         148|  2.4286e-01|   -7.321229|   -9.954811|    0.384153|    0.008252|    0.015003|
|         149|  2.4283e-01|   -7.318767|   -9.949360|    0.385129|    0.008315|    0.015310|
|         150|  2.4285e-01|   -7.315839|   -9.943976|    0.386169|    0.008375|    0.015613|
|         151|  2.4280e-01|   -7.313791|   -9.938682|    0.387221|    0.008431|    0.015896|
|         152|  2.4274e-01|   -7.313675|   -9.933487|    0.388236|    0.008480|    0.016147|
|         153|  2.4266e-01|   -7.316136|   -9.928399|    0.389172|    0.008521|    0.016358|
|         154|  2.4258e-01|   -7.321389|   -9.923418|    0.389997|    0.008552|    0.016523|
|         155|  2.4247e-01|   -7.329261|   -9.918557|    0.390688|    0.008573|    0.016641|
|         156|  2.4240e-01|   -7.339253|   -9.913830|    0.391231|    0.008585|    0.016711|
|         157|  2.4252e-01|   -7.350631|   -9.909240|    0.391624|    0.008589|    0.016739|
|         158|  2.4246e-01|   -7.362541|   -9.904782|    0.391872|    0.008585|    0.016729|
|         159|  2.4237e-01|   -7.374138|   -9.900441|    0.391987|    0.008576|    0.016689|
|         160|  2.4243e-01|   -7.384738|   -9.896206|    0.391987|    0.008562|    0.016625|
|         161|  2.4223e-01|   -7.393931|   -9.892080|    0.391894|    0.008546|    0.016546|
|         162|  2.4204e-01|   -7.401638|   -9.888067|    0.391732|    0.008529|    0.016461|
|         163|  2.4182e-01|   -7.408072|   -9.884157|    0.391530|    0.008513|    0.016378|
|         164|  2.4170e-01|   -7.413633|   -9.880328|    0.391315|    0.008499|    0.016305|
|         165|  2.4150e-01|   -7.418768|   -9.876559|    0.391117|    0.008488|    0.016249|
|         166|  2.4137e-01|   -7.423836|   -9.872840|    0.390959|    0.008482|    0.016215|
|         167|  2.4131e-01|   -7.429004|   -9.869162|    0.390863|    0.008481|    0.016206|
|         168|  2.4121e-01|   -7.434208|   -9.865519|    0.390843|    0.008485|    0.016227|
|         169|  2.4112e-01|   -7.439178|   -9.861885|    0.390911|    0.008496|    0.016276|
|         170|  2.4102e-01|   -7.443523|   -9.858221|    0.391071|    0.008512|    0.016353|
|         171|  2.4093e-01|   -7.446859|   -9.854503|    0.391325|    0.008533|    0.016455|
|         172|  2.4084e-01|   -7.448945|   -9.850723|    0.391665|    0.008558|    0.016579|
|         173|  2.4074e-01|   -7.449778|   -9.846863|    0.392081|    0.008587|    0.016719|
|         174|  2.4066e-01|   -7.449605|   -9.842913|    0.392558|    0.008618|    0.016868|
|         175|  2.4084e-01|   -7.448878|   -9.838859|    0.393076|    0.008650|    0.017019|
|         176|  2.4077e-01|   -7.448146|   -9.834663|    0.393613|    0.008682|    0.017167|
|         177|  2.4068e-01|   -7.447954|   -9.830306|    0.394149|    0.008713|    0.017303|
|         178|  2.4070e-01|   -7.448746|   -9.825775|    0.394663|    0.008741|    0.017425|
|         179|  2.4066e-01|   -7.450807|   -9.821075|    0.395138|    0.008765|    0.017526|
|         180|  2.4057e-01|   -7.454241|   -9.816174|    0.395560|    0.008786|    0.017607|
|         181|  2.4049e-01|   -7.458969|   -9.811047|    0.395920|    0.008801|    0.017664|
|         182|  2.4032e-01|   -7.464765|   -9.805678|    0.396211|    0.008813|    0.017698|
|         183|  2.4012e-01|   -7.471297|   -9.800064|    0.396432|    0.008819|    0.017712|
|         184|  2.3994e-01|   -7.478184|   -9.794208|    0.396584|    0.008821|    0.017707|
|         185|  2.3976e-01|   -7.485061|   -9.788117|    0.396673|    0.008820|    0.017686|
|         186|  2.3957e-01|   -7.491626|   -9.781788|    0.396705|    0.008816|    0.017652|
|         187|  2.3941e-01|   -7.497684|   -9.775203|    0.396692|    0.008809|    0.017610|
|         188|  2.3933e-01|   -7.503156|   -9.768373|    0.396642|    0.008800|    0.017562|
|         189|  2.3926e-01|   -7.508066|   -9.761305|    0.396568|    0.008791|    0.017513|
|         190|  2.3919e-01|   -7.512510|   -9.754013|    0.396483|    0.008782|    0.017466|
|         191|  2.3901e-01|   -7.516608|   -9.746506|    0.396396|    0.008774|    0.017424|
|         192|  2.3915e-01|   -7.520468|   -9.738773|    0.396321|    0.008767|    0.017389|
|         193|  2.3905e-01|   -7.524154|   -9.730837|    0.396264|    0.008762|    0.017363|
|         194|  2.3893e-01|   -7.527676|   -9.722721|    0.396234|    0.008760|    0.017347|
|         195|  2.3883e-01|   -7.530995|   -9.714447|    0.396234|    0.008759|    0.017342|
|         196|  2.3864e-01|   -7.534048|   -9.706019|    0.396268|    0.008762|    0.017346|
|         197|  2.3857e-01|   -7.536777|   -9.697459|    0.396335|    0.008766|    0.017358|
|         198|  2.3843e-01|   -7.539160|   -9.688792|    0.396432|    0.008773|    0.017377|
|         199|  2.3829e-01|   -7.541227|   -9.680038|    0.396555|    0.008780|    0.017401|
|         200|  2.3823e-01|   -7.543065|   -9.671203|    0.396696|    0.008789|    0.017427|
|         201|  2.3824e-01|   -7.544803|   -9.662310|    0.396850|    0.008797|    0.017451|
|         202|  2.3820e-01|   -7.546591|   -9.653370|    0.397007|    0.008806|    0.017473|
|         203|  2.3813e-01|   -7.548571|   -9.644390|    0.397159|    0.008813|    0.017489|
|         204|  2.3799e-01|   -7.550849|   -9.635384|    0.397297|    0.008819|    0.017497|
|         205|  2.3789e-01|   -7.553479|   -9.626373|    0.397416|    0.008822|    0.017497|
|         206|  2.3802e-01|   -7.556452|   -9.617367|    0.397510|    0.008824|    0.017486|
|         207|  2.3800e-01|   -7.559700|   -9.608383|    0.397573|    0.008823|    0.017465|
|         208|  2.3787e-01|   -7.563113|   -9.599422|    0.397604|    0.008819|    0.017434|
|         209|  2.3780e-01|   -7.566551|   -9.590496|    0.397601|    0.008813|    0.017393|
|         210|  2.3784e-01|   -7.569876|   -9.581623|    0.397564|    0.008805|    0.017344|
|         211|  2.3802e-01|   -7.572971|   -9.572801|    0.397495|    0.008796|    0.017286|
|         212|  2.3797e-01|   -7.575761|   -9.564037|    0.397397|    0.008784|    0.017222|
|         213|  2.3785e-01|   -7.578220|   -9.555320|    0.397275|    0.008771|    0.017154|
|         214|  2.3780e-01|   -7.580371|   -9.546654|    0.397132|    0.008758|    0.017082|
|         215|  2.3773e-01|   -7.582279|   -9.538055|    0.396974|    0.008744|    0.017009|
|         216|  2.3766e-01|   -7.584033|   -9.529520|    0.396807|    0.008731|    0.016937|
|         217|  2.3758e-01|   -7.585728|   -9.521047|    0.396637|    0.008718|    0.016867|
|         218|  2.3752e-01|   -7.587451|   -9.512644|    0.396468|    0.008706|    0.016799|
|         219|  2.3755e-01|   -7.589264|   -9.504320|    0.396305|    0.008695|    0.016737|
|         220|  2.3749e-01|   -7.591204|   -9.496068|    0.396152|    0.008685|    0.016678|
|         221|  2.3759e-01|   -7.593279|   -9.487894|    0.396010|    0.008676|    0.016626|
|         222|  2.3756e-01|   -7.595475|   -9.479794|    0.395882|    0.008669|    0.016578|
|         223|  2.3752e-01|   -7.597763|   -9.471766|    0.395768|    0.008663|    0.016534|
|         224|  2.3747e-01|   -7.600109|   -9.463808|    0.395665|    0.008658|    0.016495|
|         225|  2.3743e-01|   -7.602476|   -9.455905|    0.395574|    0.008653|    0.016459|
|         226|  2.3732e-01|   -7.604833|   -9.448059|    0.395490|    0.008649|    0.016425|
|         227|  2.3725e-01|   -7.607154|   -9.440294|    0.395412|    0.008645|    0.016392|
|         228|  2.3722e-01|   -7.609416|   -9.432585|    0.395335|    0.008642|    0.016359|
|         229|  2.3727e-01|   -7.611596|   -9.424942|    0.395256|    0.008638|    0.016326|
|         230|  2.3719e-01|   -7.613672|   -9.417369|    0.395172|    0.008633|    0.016290|
|         231|  2.3718e-01|   -7.615618|   -9.409855|    0.395081|    0.008628|    0.016252|
|         232|  2.3714e-01|   -7.617403|   -9.402409|    0.394978|    0.008623|    0.016211|
|         233|  2.3706e-01|   -7.619002|   -9.395022|    0.394864|    0.008616|    0.016167|
|         234|  2.3713e-01|   -7.620389|   -9.387706|    0.394736|    0.008609|    0.016119|
|         235|  2.3705e-01|   -7.621550|   -9.380454|    0.394593|    0.008602|    0.016069|
|         236|  2.3695e-01|   -7.622488|   -9.373272|    0.394437|    0.008594|    0.016016|
|         237|  2.3685e-01|   -7.623219|   -9.366142|    0.394268|    0.008585|    0.015961|
