"VARIABLE"      , "GRADIENT"      , "FINDIFF_STEP"  
0               , -0.311194       , 0.001           
1               , -0.136372       , 0.001           
2               , 0.0335197       , 0.001           
3               , 0.169825        , 0.001           
4               , 0.256245        , 0.001           
5               , 0.282824        , 0.001           
6               , 0.247966        , 0.001           
7               , 0.161219        , 0.001           
8               , 0.0441555       , 0.001           
9               , -0.0725457      , 0.001           
10              , -0.156771       , 0.001           
11              , -0.186423       , 0.001           
12              , -0.160606       , 0.001           
13              , -0.103163       , 0.001           
14              , -0.0507774      , 0.001           
15              , -0.0273261      , 0.001           
16              , -0.0271105      , 0.001           
17              , -0.0311784      , 0.001           
18              , -0.0353183      , 0.001           
19              , 0.013182        , 0.001           
20              , -0.0860904      , 0.001           
21              , -0.281951       , 0.001           
22              , -0.420147       , 0.001           
23              , -0.463444       , 0.001           
24              , -0.423124       , 0.001           
25              , -0.329476       , 0.001           
26              , -0.215599       , 0.001           
27              , -0.108199       , 0.001           
28              , -0.0234569      , 0.001           
29              , 0.0328677       , 0.001           
30              , 0.062259        , 0.001           
31              , 0.0694362       , 0.001           
32              , 0.0604792       , 0.001           
33              , 0.0442181       , 0.001           
34              , 0.032088        , 0.001           
35              , 0.0290415       , 0.001           
36              , 0.0284083       , 0.001           
37              , 0.0350018       , 0.001           
