"Time_Iter","Outer_Iter","Inner_Iter",   "rms[A_Rho]"   ,   "rms[A_RhoU]"  ,   "rms[A_RhoV]"  ,    "rms[A_E]"    
          0,           0,           0,      -4.315738338,      -4.055696424,       -4.52904322,      -3.993218198
          0,           0,           1,      -3.878819312,      -3.771691073,      -3.750004974,      -4.225065942
          0,           0,           2,      -3.603620382,        -3.5079339,      -3.637925353,       -4.07934147
          0,           0,           3,      -3.597724668,      -3.466602947,      -3.722037047,      -4.089759217
          0,           0,           4,      -3.525359566,      -3.351246949,      -3.703081316,      -4.043237158
          0,           0,           5,      -3.540698678,      -3.331723959,      -3.751767878,      -4.036334295
          0,           0,           6,      -3.549476498,      -3.319546927,      -3.761994711,      -4.004876098
          0,           0,           7,       -3.56667862,      -3.320626644,       -3.76071943,      -3.981260296
          0,           0,           8,       -3.59177322,      -3.337850771,      -3.785730847,      -4.000396483
          0,           0,           9,      -3.618869284,      -3.367035353,      -3.811889557,      -4.035237181
          0,           0,          10,      -3.645152026,      -3.405309285,      -3.839299969,      -4.067322455
          0,           0,          11,      -3.669482428,      -3.448832008,      -3.864276748,      -4.097926759
          0,           0,          12,      -3.690237743,      -3.493528713,      -3.879689875,      -4.129822352
          0,           0,          13,      -3.703517872,       -3.52813952,      -3.885798544,      -4.154361066
          0,           0,          14,      -3.703254626,      -3.539743306,      -3.886023559,       -4.16364911
          0,           0,          15,      -3.689098512,       -3.52736915,      -3.884070624,       -4.16076072
          0,           0,          16,      -3.669252229,       -3.50286173,      -3.884383628,      -4.152932818
          0,           0,          17,      -3.652807482,      -3.479121993,      -3.891017304,      -4.146436005
          0,           0,          18,      -3.645460119,      -3.463780942,      -3.906092722,      -4.146182893
          0,           0,          19,      -3.649925136,      -3.460009113,      -3.928578805,      -4.155250011
          0,           0,          20,      -3.666575411,      -3.468330136,      -3.954400717,      -4.174390928
          0,           0,          21,      -3.693593076,      -3.487697136,      -3.978397094,      -4.202268871
          0,           0,          22,      -3.726632484,      -3.515702531,       -3.99704812,       -4.23576558
          0,           0,          23,       -3.75640396,       -3.54662683,      -4.004577868,      -4.264166138
          0,           0,          24,      -3.783773999,       -3.58182314,      -4.011055986,      -4.294935898
          0,           0,          25,      -3.805958819,       -3.61752136,      -4.028082725,      -4.326373586
          0,           0,          26,      -3.826431713,       -3.65373314,      -4.047610266,      -4.356902421
          0,           0,          27,       -3.84380204,      -3.684828696,       -4.07388385,      -4.387688972
          0,           0,          28,      -3.860798387,      -3.708557626,      -4.111964592,      -4.417875541
          0,           0,          29,      -3.880575031,      -3.726695944,      -4.156220866,      -4.447809471
          0,           0,          30,      -3.903343207,      -3.740355349,      -4.202213194,      -4.476330723
          0,           0,          31,      -3.930194067,      -3.752993619,      -4.246677795,      -4.503134149
          0,           0,          32,      -3.961814514,      -3.768632181,      -4.283691664,      -4.528995549
          0,           0,          33,      -3.997470206,      -3.789578841,      -4.311116413,      -4.555323587
          0,           0,          34,      -4.029428321,      -3.811980918,      -4.320388946,      -4.566849567
          0,           0,          35,      -4.065247731,      -3.844541644,      -4.334927415,      -4.598897723
          0,           0,          36,      -4.101183667,      -3.883462975,      -4.354811637,      -4.630311769
          0,           0,          37,      -4.135895201,      -3.928861376,      -4.373468966,      -4.667122168
          0,           0,          38,      -4.165146518,      -3.973140304,      -4.403422003,      -4.708206518
          0,           0,          39,      -4.190091081,      -4.010745928,      -4.444077592,      -4.747356606
          0,           0,          40,      -4.211812251,       -4.03757891,      -4.489533898,      -4.781649712
          0,           0,          41,      -4.232686651,      -4.053114673,      -4.539204449,      -4.808422595
          0,           0,          42,      -4.256570514,      -4.062602306,      -4.589188005,      -4.828688719
          0,           0,          43,      -4.286320117,      -4.072566795,      -4.632745943,      -4.845781297
          0,           0,          44,      -4.323500802,      -4.088018803,      -4.666544062,      -4.864862288
          0,           0,          45,      -4.356470702,      -4.102343206,      -4.664542602,      -4.863432382
          0,           0,          46,      -4.400032565,      -4.132218346,      -4.672753882,      -4.891911526
          0,           0,          47,      -4.444643412,      -4.169555127,      -4.691117091,      -4.921108667
          0,           0,          48,      -4.491465784,       -4.21927433,      -4.706062859,      -4.960939035
          0,           0,          49,      -4.532160245,      -4.273799449,      -4.730374545,      -5.010253768
          0,           0,          50,      -4.563554462,      -4.323988045,      -4.768310538,      -5.055370743
          0,           0,          51,      -4.586340182,      -4.363436428,      -4.814619896,        -5.0957645
          0,           0,          52,       -4.60374724,      -4.387968634,       -4.86677465,      -5.128070604
          0,           0,          53,      -4.621957992,      -4.400455282,      -4.921765398,      -5.150660904
          0,           0,          54,      -4.645756052,      -4.408540559,      -4.972365691,      -5.167327794
          0,           0,          55,      -4.677600001,      -4.419297834,      -5.012886585,      -5.183862948
          0,           0,          56,      -4.718264299,      -4.437130233,      -5.043359762,      -5.208764524
          0,           0,          57,      -4.757977551,      -4.457453188,      -5.031211215,      -5.205869421
          0,           0,          58,      -4.806249398,      -4.491008816,      -5.042169347,      -5.239679058
          0,           0,          59,      -4.857811168,      -4.534112856,      -5.063535533,      -5.276803008
          0,           0,          60,       -4.91133492,      -4.588783263,      -5.083318563,      -5.323845179
          0,           0,          61,      -4.958235547,      -4.647863448,      -5.113187815,        -5.3757034
          0,           0,          62,      -4.993596315,       -4.70390786,      -5.155803914,      -5.427105815
          0,           0,          63,       -5.01664337,       -4.74966472,      -5.206499474,      -5.474300839
          0,           0,          64,      -5.032774314,      -4.780612579,      -5.262229447,      -5.511852799
          0,           0,          65,      -5.048771214,      -4.799368814,      -5.318206102,      -5.540505411
