"Time_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    ,    "RefForce"    ,       "CD"       ,       "CL"       ,       "CSF"      ,       "CMx"      ,       "CMy"      ,       "CMz"      ,       "CFx"      ,       "CFy"      ,       "CFz"      ,      "CEff"      ,     "Buffet"     ,   "relrms[Rho]"  ,  "relrms[RhoU]"  ,  "relrms[RhoV]"  ,  "relrms[RhoE]"  ,   "relrms[nu]"   , "tavg[RefForce]" ,    "tavg[CD]"    ,    "tavg[CL]"    ,    "tavg[CSF]"   ,    "tavg[CMx]"   ,    "tavg[CMy]"   ,    "tavg[CMz]"   ,    "tavg[CFx]"   ,    "tavg[CFy]"   ,    "tavg[CFz]"   ,   "tavg[CEff]"   ,  "tavg[Buffet]"  ,"Cauchy[tavg[CD]]","Cauchy[tavg[CL]]"
         12,           9,      -7.013503073,      -4.332651733,      -4.467996367,      -1.512150999,      -3.708314983,      0.9329898399,      0.3239876561,       1.128134065,                 0,                 0,                 0,     0.01838098259,      0.2042906977,        1.15581996,                 0,       3.482027921,      0.2995516213,     -0.5970437724,      -0.515592563,     -0.5226174067,     -0.5650419946,      -1.349005234,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         13,           9,      -7.037176356,      -4.343169797,      -4.455710602,       -1.53910781,      -3.694199188,      0.9329898399,       0.318492459,       1.127324169,                 0,                 0,                 0,     0.01535443827,       0.198910261,       1.154440097,                 0,       3.539563144,      0.4603341943,     -0.4828003058,     -0.4779518974,     -0.4461705168,     -0.4766473619,      -1.343482592,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         14,           9,      -7.047249057,      -4.350637717,       -4.47561989,      -1.555207078,       -3.67891526,      0.9329898399,      0.3208745448,       1.155233037,                 0,                 0,                 0,     0.02391048182,      0.1983620265,       1.182445072,                 0,       3.600263889,      0.5517275682,     -0.4792633644,     -0.4543634852,     -0.4857570284,      -0.476246002,      -1.337497001,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         15,           9,       -7.04841477,      -4.355845132,      -4.505814844,       -1.56193126,      -3.668093077,      0.9329898399,      0.3310597065,       1.207683257,                 0,                 0,                 0,     0.03775691379,      0.2030088518,       1.235672604,                 0,       3.647931879,      0.6583534824,     -0.4478616442,     -0.4508877227,     -0.5078635307,     -0.4518786572,      -1.339206851,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         16,           9,      -7.084446615,      -4.359957209,       -4.53185221,      -1.601594597,      -3.625548728,      0.9329898399,      0.3440072626,       1.270630814,                 0,                 0,                 0,     0.05116515415,      0.2093056684,       1.299628716,                 0,       3.693616247,      0.7581437321,     -0.4209005694,     -0.4563881948,      -0.508369083,      -0.436264191,      -1.314755933,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         17,           9,      -7.121110482,      -4.351858176,      -4.557237738,      -1.637330321,      -3.625589944,      0.9329898399,      0.3514232436,       1.321335346,                 0,                 0,                 0,     0.05965337055,      0.2113809571,       1.350830664,                 0,       3.759954328,      0.8470930364,     -0.4041298193,     -0.4378178689,     -0.5292222205,     -0.4195318292,      -1.335321368,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         18,           9,      -7.156503842,      -4.333655025,      -4.574083564,      -1.663337622,      -3.612126714,      0.9329898399,      0.3470843428,       1.340123589,                 0,                 0,                 0,     0.06076495167,       0.205101919,       1.369062445,                 0,       3.861089148,       1.009253232,     -0.4196332956,     -0.4330284881,      -0.544313559,     -0.4265543741,      -1.340863945,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         19,           9,      -7.264661096,      -4.322368739,      -4.583305463,      -1.752340274,      -3.594570875,      0.9329898399,      0.3311069001,       1.322585989,                 0,                 0,                 0,     0.05538166036,      0.1910451809,        1.34995082,                 0,       3.994438015,       1.014727406,      -0.525771059,     -0.4691064032,     -0.5360310587,     -0.5249297405,       -1.33707946,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         20,           9,      -7.314286919,      -4.312144769,      -4.591271602,       -1.79196251,      -3.573225696,      0.9329898399,      0.3090945042,       1.280534356,                 0,                 0,                 0,     0.04771316588,      0.1735489638,       1.305828628,                 0,       4.142857081,       1.019891942,     -0.5223790487,      -0.494508398,     -0.5218567575,     -0.5289840243,      -1.321780612,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         21,           9,      -7.287244512,      -4.296154747,      -4.578190259,      -1.776203377,      -3.543851116,      0.9329898399,      0.2880042431,       1.233650041,                 0,                 0,                 0,     0.04324220007,      0.1574749827,       1.256996618,                 0,        4.28344398,        1.01996983,     -0.4205139084,     -0.5111279738,     -0.4880733335,     -0.4667730094,      -1.292041522,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
