+------------------------------------------------------------------------------------------+
|  Inner_Iter|   Time(sec)|    rms[Rho]|     rms[nu]|          CL|          CD|         CMz|
|          66|  2.3235e-01|   -5.721928|   -9.829321|    1.395185|    0.074054|   -0.042493|
|          67|  2.3229e-01|   -5.750360|   -9.796563|    1.371360|    0.066019|   -0.042712|
|          68|  2.3232e-01|   -5.784500|   -9.763729|    1.361537|    0.063086|   -0.038890|
|          69|  2.3223e-01|   -5.819786|   -9.730753|    1.365476|    0.065011|   -0.031525|
|          70|  2.3195e-01|   -5.849948|   -9.697544|    1.382334|    0.071340|   -0.021218|
|          71|  2.3165e-01|   -5.868975|   -9.664016|    1.410757|    0.081444|   -0.008668|
|          72|  2.3137e-01|   -5.874649|   -9.630127|    1.448779|    0.094490|    0.005283|
|          73|  2.3100e-01|   -5.870225|   -9.595875|    1.493758|    0.109431|    0.019667|
|          74|  2.3061e-01|   -5.862042|   -9.561317|    1.542584|    0.125096|    0.033491|
|          75|  2.3029e-01|   -5.856142|   -9.526604|    1.592067|    0.140338|    0.045861|
|          76|  2.2993e-01|   -5.856712|   -9.491868|    1.639282|    0.154148|    0.056067|
|          77|  2.2954e-01|   -5.866104|   -9.457262|    1.681774|    0.165731|    0.063626|
|          78|  2.2920e-01|   -5.885292|   -9.422832|    1.717664|    0.174532|    0.068285|
|          79|  2.2886e-01|   -5.914155|   -9.388738|    1.745691|    0.180244|    0.070014|
|          80|  2.2861e-01|   -5.951356|   -9.355112|    1.765216|    0.182792|    0.068974|
|          81|  2.2828e-01|   -5.993743|   -9.321887|    1.776172|    0.182299|    0.065472|
|          82|  2.2796e-01|   -6.035463|   -9.289239|    1.778921|    0.179012|    0.059891|
|          83|  2.2818e-01|   -6.067935|   -9.257287|    1.774028|    0.173227|    0.052622|
|          84|  2.2811e-01|   -6.082992|   -9.225989|    1.762144|    0.165266|    0.044064|
|          85|  2.2789e-01|   -6.078673|   -9.195530|    1.744137|    0.155546|    0.034683|
|          86|  2.2767e-01|   -6.060781|   -9.165901|    1.721288|    0.144621|    0.025037|
|          87|  2.2743e-01|   -6.038071|   -9.137110|    1.695273|    0.133155|    0.015729|
|          88|  2.2726e-01|   -6.017630|   -9.109223|    1.667979|    0.121843|    0.007331|
|          89|  2.2722e-01|   -6.003635|   -9.082139|    1.641272|    0.111336|    0.000313|
|          90|  2.2722e-01|   -5.997915|   -9.055808|    1.616822|    0.102179|   -0.004985|
|          91|  2.2725e-01|   -6.000774|   -9.030147|    1.595993|    0.094789|   -0.008370|
|          92|  2.2726e-01|   -6.011506|   -9.005056|    1.579800|    0.089434|   -0.009786|
|          93|  2.2714e-01|   -6.028625|   -8.980412|    1.568891|    0.086242|   -0.009294|
|          94|  2.2718e-01|   -6.049922|   -8.956125|    1.563576|    0.085214|   -0.007047|
|          95|  2.2716e-01|   -6.072578|   -8.932112|    1.563870|    0.086249|   -0.003271|
|          96|  2.2716e-01|   -6.093578|   -8.908398|    1.569524|    0.089156|    0.001755|
|          97|  2.2725e-01|   -6.110526|   -8.884926|    1.580041|    0.093670|    0.007705|
|          98|  2.2742e-01|   -6.122547|   -8.861675|    1.594667|    0.099447|    0.014208|
|          99|  2.2804e-01|   -6.130567|   -8.838701|    1.612406|    0.106075|    0.020867|
|         100|  2.2842e-01|   -6.136761|   -8.815984|    1.632088|    0.113107|    0.027290|
|         101|  2.2827e-01|   -6.143625|   -8.793562|    1.652476|    0.120091|    0.033125|
|         102|  2.2827e-01|   -6.153212|   -8.771421|    1.672381|    0.126617|    0.038086|
|         103|  2.2852e-01|   -6.166727|   -8.749570|    1.690746|    0.132337|    0.041973|
|         104|  2.2854e-01|   -6.184326|   -8.728059|    1.706716|    0.136992|    0.044670|
|         105|  2.2857e-01|   -6.204981|   -8.706899|    1.719671|    0.140414|    0.046148|
|         106|  2.2865e-01|   -6.226354|   -8.686153|    1.729233|    0.142528|    0.046454|
|         107|  2.2868e-01|   -6.244907|   -8.665887|    1.735242|    0.143337|    0.045685|
|         108|  2.2866e-01|   -6.256672|   -8.646164|    1.737707|    0.142900|    0.043980|
|         109|  2.2867e-01|   -6.258879|   -8.626981|    1.736757|    0.141319|    0.041494|
|         110|  2.2907e-01|   -6.251580|   -8.608310|    1.732612|    0.138722|    0.038396|
|         111|  2.2920e-01|   -6.237680|   -8.590088|    1.725599|    0.135272|    0.034878|
|         112|  2.2952e-01|   -6.221345|   -8.572198|    1.716182|    0.131171|    0.031150|
|         113|  2.3080e-01|   -6.206348|   -8.554509|    1.704959|    0.126657|    0.027437|
|         114|  2.3125e-01|   -6.195377|   -8.536882|    1.692626|    0.121991|    0.023959|
|         115|  2.3144e-01|   -6.190070|   -8.519187|    1.679918|    0.117433|    0.020918|
|         116|  2.3146e-01|   -6.191252|   -8.501334|    1.667542|    0.113222|    0.018471|
|         117|  2.3161e-01|   -6.199132|   -8.483219|    1.656130|    0.109562|    0.016732|
|         118|  2.3183e-01|   -6.213408|   -8.464769|    1.646198|    0.106606|    0.015759|
|         119|  2.3197e-01|   -6.233271|   -8.445946|    1.638129|    0.104455|    0.015563|
|         120|  2.3201e-01|   -6.257345|   -8.426738|    1.632164|    0.103154|    0.016109|
|         121|  2.3221e-01|   -6.283605|   -8.407122|    1.628408|    0.102701|    0.017328|
|         122|  2.3232e-01|   -6.309401|   -8.387116|    1.626847|    0.103054|    0.019126|
|         123|  2.3266e-01|   -6.331799|   -8.366772|    1.627367|    0.104138|    0.021391|
|         124|  2.3361e-01|   -6.348335|   -8.346130|    1.629769|    0.105852|    0.023994|
|         125|  2.3380e-01|   -6.357907|   -8.325252|    1.633771|    0.108071|    0.026795|
|         126|  2.3376e-01|   -6.361181|   -8.304208|    1.639015|    0.110649|    0.029640|
|         127|  2.3382e-01|   -6.360161|   -8.283050|    1.645080|    0.113423|    0.032374|
|         128|  2.3391e-01|   -6.357290|   -8.261829|    1.651506|    0.116224|    0.034849|
|         129|  2.3414e-01|   -6.354700|   -8.240572|    1.657825|    0.118888|    0.036936|
|         130|  2.3472e-01|   -6.353858|   -8.219286|    1.663598|    0.121266|    0.038531|
|         131|  2.3471e-01|   -6.355507|   -8.197959|    1.668440|    0.123234|    0.039566|
|         132|  2.3475e-01|   -6.359751|   -8.176573|    1.672041|    0.124699|    0.040004|
|         133|  2.3513e-01|   -6.366182|   -8.155139|    1.674177|    0.125598|    0.039843|
|         134|  2.3542e-01|   -6.374030|   -8.133676|    1.674709|    0.125904|    0.039106|
|         135|  2.3576e-01|   -6.382333|   -8.112204|    1.673582|    0.125617|    0.037841|
|         136|  2.3695e-01|   -6.390160|   -8.090761|    1.670814|    0.124763|    0.036114|
|         137|  2.3725e-01|   -6.396850|   -8.069420|    1.666491|    0.123391|    0.034004|
|         138|  2.3741e-01|   -6.402198|   -8.048237|    1.660764|    0.121570|    0.031602|
|         139|  2.3763e-01|   -6.406515|   -8.027313|    1.653845|    0.119387|    0.029009|
|         140|  2.3759e-01|   -6.410524|   -8.006744|    1.646001|    0.116944|    0.026329|
|         141|  2.3782e-01|   -6.415153|   -7.986627|    1.637539|    0.114352|    0.023667|
|         142|  2.3798e-01|   -6.421329|   -7.967074|    1.628788|    0.111725|    0.021123|
|         143|  2.3810e-01|   -6.429818|   -7.948210|    1.620071|    0.109174|    0.018784|
|         144|  2.3820e-01|   -6.441140|   -7.930133|    1.611688|    0.106797|    0.016719|
|         145|  2.3835e-01|   -6.455512|   -7.912950|    1.603894|    0.104675|    0.014976|
|         146|  2.3842e-01|   -6.472829|   -7.896728|    1.596891|    0.102868|    0.013581|
|         147|  2.3886e-01|   -6.492649|   -7.881579|    1.590813|    0.101413|    0.012540|
|         148|  2.3910e-01|   -6.514202|   -7.867590|    1.585735|    0.100325|    0.011840|
