"Pressure","Points:0","Points:1","Points:2"
0.88076,0.67471,0.63169,-0.028638
0.87571,0.65308,0.63207,-0.029439
0.87516,0.63145,0.6323,-0.029982
0.87885,0.60994,0.63239,-0.030263
0.88585,0.58869,0.63234,-0.030294
0.89499,0.56782,0.63217,-0.030095
0.90515,0.54747,0.6319,-0.029696
0.91547,0.52777,0.63154,-0.029123
1.1044,0.99875,0.71793,-0.0011287
1.0932,0.99046,0.71871,-0.0022596
1.0804,0.9818,0.71951,-0.0034215
1.0678,0.9726,0.72034,-0.0046364
1.055,0.96274,0.72122,-0.0059132
1.0422,0.95213,0.72213,-0.0072489
1.0297,0.94069,0.72308,-0.008637
1.0178,0.92836,0.72406,-0.010069
1.0066,0.91513,0.72505,-0.011537
0.99608,0.90097,0.72606,-0.013034
0.98601,0.88591,0.72708,-0.014554
0.97604,0.86998,0.72811,-0.016095
0.96569,0.85322,0.72915,-0.017651
0.95459,0.8357,0.73018,-0.019212
0.94248,0.81748,0.73119,-0.020764
0.9294,0.79864,0.73218,-0.02228
0.91569,0.77928,0.73311,-0.023725
0.90212,0.75947,0.73395,-0.02506
0.88985,0.73932,0.73469,-0.02624
0.8803,0.71892,0.73529,-0.027226
0.87465,0.6984,0.73573,-0.027986
0.87353,0.67785,0.736,-0.028502
0.87671,0.65741,0.7361,-0.028769
0.88331,0.6372,0.73605,-0.028798
0.89217,0.61735,0.73585,-0.02861
0.90219,0.59798,0.73553,-0.028231
0.91247,0.57921,0.73511,-0.027688
1.1055,1.0246,0.80889,-0.0010778
1.0945,1.0168,0.80977,-0.0021576
1.0817,1.0085,0.81067,-0.0032668
1.0692,0.99979,0.81161,-0.0044265
1.0565,0.99043,0.8126,-0.005645
1.0438,0.98035,0.81363,-0.0069195
1.0313,0.96947,0.8147,-0.0082439
1.0195,0.95776,0.81579,-0.0096099
1.0083,0.94518,0.81692,-0.01101
0.99783,0.93174,0.81805,-0.012437
0.98775,0.91743,0.8192,-0.013887
0.97774,0.90229,0.82037,-0.015355
0.96731,0.88636,0.82153,-0.016838
0.9561,0.86971,0.82269,-0.018326
0.94381,0.8524,0.82384,-0.019804
0.93045,0.8345,0.82495,-0.021248
0.91636,0.81609,0.82599,-0.022625
0.90228,0.79726,0.82695,-0.023896
0.88935,0.7781,0.82778,-0.02502
0.87901,0.7587,0.82845,-0.025958
0.87252,0.73916,0.82894,-0.026682
0.87064,0.7196,0.82925,-0.027172
0.87323,0.70012,0.82937,-0.027427
0.87942,0.68085,0.82931,-0.027455
0.88808,0.66191,0.82909,-0.027276
0.89807,0.64341,0.82873,-0.026915
0.90847,0.62548,0.82825,-0.026399
1.1064,1.0475,0.88916,-0.0010329
1.0955,1.04,0.89012,-0.0020676
1.0828,1.0321,0.89112,-0.0031303
1.0705,1.0238,0.89215,-0.0042412
1.0578,1.0149,0.89324,-0.0054083
1.0453,1.0052,0.89437,-0.0066288
1.033,0.99487,0.89554,-0.0078969
1.0214,0.98371,0.89675,-0.0092047
1.0104,0.97171,0.89798,-0.010545
1,0.95888,0.89923,-0.01191
0.99011,0.94524,0.9005,-0.013298
0.98024,0.9308,0.90178,-0.014703
0.96992,0.91561,0.90306,-0.016121
0.95878,0.89973,0.90433,-0.017544
0.94649,0.88321,0.90559,-0.018957
0.93302,0.86614,0.90681,-0.020338
0.91863,0.84858,0.90796,-0.021654
0.90401,0.83062,0.90901,-0.022868
0.89024,0.81233,0.90992,-0.023942
0.87872,0.7938,0.91066,-0.024839
0.87087,0.77514,0.91121,-0.025531
0.86759,0.75644,0.91155,-0.025999
0.86897,0.73781,0.91167,-0.026243
0.87427,0.71937,0.91161,-0.02627
0.88236,0.70123,0.91136,-0.026099
0.8921,0.6835,0.91097,-0.025755
0.90253,0.66631,0.91044,-0.025261
1.1062,1.0672,0.95857,-0.00099408
1.0955,1.06,0.95961,-0.0019897
