"PointID","x","y"
0, 9.997500181200000e-01, -3.633245108903786e-05
1, 9.990000128750000e-01, -1.454737972062437e-04
2, 9.977599978450000e-01, -3.275234835731366e-04
3, 9.960200190539999e-01, -5.900140584564148e-04
4, 9.937800168990000e-01, -9.474084366699854e-04
5, 9.910500049590000e-01, -1.422961616124258e-03
6, 9.878399968150000e-01, -2.047479931604046e-03
7, 9.841300249100000e-01, -2.857513505857457e-03
8, 9.799500107769999e-01, -3.865507197886423e-03
9, 9.752799868580000e-01, -5.068623151669963e-03
10, 9.701499938960000e-01, -6.419847904614889e-03
11, 9.645400047300000e-01, -7.860471514926741e-03
12, 9.584699869160000e-01, -9.314969965397475e-03
13, 9.519400000570000e-01, -1.072808170979077e-02
14, 9.449599981310000e-01, -1.207232746812814e-02
15, 9.375399947170000e-01, -1.335296757099646e-02
16, 9.296900033950000e-01, -1.459847290421941e-02
17, 9.214000105860000e-01, -1.584847403695384e-02
18, 9.126999974250000e-01, -1.713151009216408e-02
19, 9.035800099370001e-01, -1.846988143759953e-02
20, 8.940600156780000e-01, -1.986826764802568e-02
21, 8.841500282290000e-01, -2.132292513866830e-02
22, 8.738499879840000e-01, -2.282638361045872e-02
23, 8.631799817090000e-01, -2.436699559263776e-02
24, 8.521599769590000e-01, -2.593434059535896e-02
25, 8.407700061800000e-01, -2.752558200149291e-02
26, 8.290500044819999e-01, -2.913116579187105e-02
27, 8.170099854470000e-01, -3.074690686178026e-02
28, 8.046399950980000e-01, -3.237160035741014e-02
29, 7.919700145720000e-01, -3.399862372238210e-02
30, 7.790099978450000e-01, -3.562369509287716e-02
31, 7.657799720760000e-01, -3.724087700598570e-02
32, 7.522799968720000e-01, -3.884632974642917e-02
33, 7.385200262070000e-01, -4.043470273475422e-02
34, 7.245299816130000e-01, -4.199833916600337e-02
35, 7.103199958800001e-01, -4.353201822480189e-02
36, 6.958900094030001e-01, -4.503172747343849e-02
37, 6.812700033190000e-01, -4.649061952837333e-02
38, 6.664699912070000e-01, -4.790440048084037e-02
39, 6.514999866490000e-01, -4.926919877912114e-02
40, 6.363800168040000e-01, -5.058076574195802e-02
41, 6.211299896240000e-01, -5.183554217088222e-02
42, 6.057599782940000e-01, -5.303140610616460e-02
43, 5.902799963950000e-01, -5.416675505307934e-02
44, 5.747100114820000e-01, -5.523981852429587e-02
45, 5.590599775310000e-01, -5.625008813638384e-02
46, 5.433599948880000e-01, -5.719629910792349e-02
47, 5.276100039480000e-01, -5.807950904925872e-02
48, 5.118399858470000e-01, -5.889939442793420e-02
49, 4.960500001910000e-01, -5.965754013914162e-02
50, 4.802699983120000e-01, -6.035424317956145e-02
51, 4.645099937920000e-01, -6.099091869302713e-02
52, 4.487800002100000e-01, -6.156894446185165e-02
53, 4.331099987030000e-01, -6.208895669625997e-02
54, 4.174999892710000e-01, -6.255251890578702e-02
55, 4.019699990750000e-01, -6.296030414069285e-02
56, 3.865399956700000e-01, -6.331280288643333e-02
57, 3.712300062180000e-01, -6.361026592963546e-02
58, 3.560400009160000e-01, -6.385295061241429e-02
59, 3.409900069240000e-01, -6.404030831675228e-02
60, 3.261100053790000e-01, -6.417138835763242e-02
61, 3.113999962810000e-01, -6.424514874631382e-02
62, 2.968699932100000e-01, -6.425991534954996e-02
63, 2.825500071050000e-01, -6.421363251022870e-02
64, 2.684499919410000e-01, -6.410393160055396e-02
65, 2.545700073240000e-01, -6.392786004917966e-02
66, 2.409400045870000e-01, -6.368245903673288e-02
67, 2.275699973110000e-01, -6.336430554028924e-02
68, 2.144699990750000e-01, -6.296965688237742e-02
69, 2.016600072380000e-01, -6.249489554926229e-02
70, 1.891400069000000e-01, -6.193550453311174e-02
71, 1.769299954180000e-01, -6.128761058048016e-02
72, 1.650400012730000e-01, -6.054689630658844e-02
73, 1.534900069240000e-01, -5.970975833826768e-02
74, 1.422899961470000e-01, -5.877215287887326e-02
75, 1.314399987460000e-01, -5.772912025532988e-02
76, 1.209499984980000e-01, -5.657646280816736e-02
77, 1.108499988910000e-01, -5.531279541535061e-02
78, 1.011300012470000e-01, -5.393230986280495e-02
79, 9.181000292300000e-02, -5.243323518253586e-02
80, 8.290000259900000e-02, -5.081309229104774e-02
81, 7.440000027400000e-02, -4.906779279641151e-02
82, 6.633000075800000e-02, -4.719775518534397e-02
83, 5.869000032500000e-02, -4.519975915718205e-02
84, 5.149000138000000e-02, -4.307335018041121e-02
85, 4.473999887700000e-02, -4.081911942268308e-02
86, 3.844000026600000e-02, -3.843497845409284e-02
87, 3.260000050100000e-02, -3.592297213948921e-02
88, 2.723000012300000e-02, -3.328696747710776e-02
89, 2.232000045500000e-02, -3.052126370952945e-02
90, 1.789999939500000e-02, -2.764413964282503e-02
91, 1.394999958600000e-02, -2.464510654855451e-02
92, 1.049000024800000e-02, -2.154238789552695e-02
93, 7.519999985000000e-03, -1.834378487578733e-02
94, 5.040000193000000e-03, -1.505917947009355e-02
95, 3.049999941000000e-03, -1.170077582707611e-02
96, 1.560000004000000e-03, -8.309183525608103e-03
97, 5.600000150000000e-04, -4.893175702063345e-03
98, 5.999999800000000e-05, -1.534385616953535e-03
99, 0.000000000000000e+00, 0.000000000000000e+00
100, 5.999999800000000e-05, 1.396328407839205e-03
101, 5.600000150000000e-04, 4.207884611380375e-03
102, 1.560000004000000e-03, 6.891785494978017e-03
103, 3.049999941000000e-03, 9.438259640982253e-03
104, 5.040000193000000e-03, 1.186968829109370e-02
105, 7.519999985000000e-03, 1.417654813833138e-02
106, 1.049000024800000e-02, 1.636632754752838e-02
107, 1.394999958600000e-02, 1.844556487877192e-02
108, 1.789999939500000e-02, 2.042056439105365e-02
109, 2.232000045500000e-02, 2.228974157672622e-02
110, 2.723000012300000e-02, 2.406924110076349e-02
111, 3.260000050100000e-02, 2.575571278889600e-02
112, 3.844000026600000e-02, 2.736045153948290e-02
113, 4.473999887700000e-02, 2.888785141129358e-02
114, 5.149000138000000e-02, 3.034273305010757e-02
115, 5.869000032500000e-02, 3.173186537724400e-02
116, 6.633000075800000e-02, 3.305958795784998e-02
117, 7.440000027400000e-02, 3.433019152751660e-02
118, 8.290000259900000e-02, 3.554916197037774e-02
119, 9.181000292300000e-02, 3.671875088121099e-02
120, 1.011300012470000e-01, 3.784368504795597e-02
121, 1.108499988910000e-01, 3.892689600236018e-02
122, 1.209499984980000e-01, 3.996997796536931e-02
123, 1.314399987460000e-01, 4.097720315138682e-02
124, 1.422899961470000e-01, 4.194844865054986e-02
125, 1.534900069240000e-01, 4.288528164808132e-02
126, 1.650400012730000e-01, 4.378956723828285e-02
127, 1.769299954180000e-01, 4.466181985951633e-02
128, 1.891400069000000e-01, 4.550145494505030e-02
129, 2.016600072380000e-01, 4.630824150001690e-02
130, 2.144699990750000e-01, 4.708092154838493e-02
131, 2.275699973110000e-01, 4.781904355581139e-02
132, 2.409400045870000e-01, 4.852055513480345e-02
133, 2.545700073240000e-01, 4.918360355205992e-02
134, 2.684499919410000e-01, 4.980592791099926e-02
135, 2.825500071050000e-01, 5.038409597324273e-02
136, 2.968699932100000e-01, 5.091566453075681e-02
137, 3.113999962810000e-01, 5.139737868047878e-02
138, 3.261100053790000e-01, 5.182511696981009e-02
139, 3.409900069240000e-01, 5.219525729567133e-02
140, 3.560400009160000e-01, 5.250411236063844e-02
141, 3.712300062180000e-01, 5.274718796567446e-02
142, 3.865399956700000e-01, 5.292027768295217e-02
143, 4.019699990750000e-01, 5.301933541267227e-02
144, 4.174999892710000e-01, 5.304007477030256e-02
145, 4.331099987030000e-01, 5.297840775056321e-02
146, 4.487800002100000e-01, 5.283052154962105e-02
147, 4.645099937920000e-01, 5.259259893479226e-02
148, 4.802699983120000e-01, 5.226150438822508e-02
149, 4.960500001910000e-01, 5.183424985084579e-02
150, 5.118399858470000e-01, 5.130819734635934e-02
151, 5.276100039480000e-01, 5.068198732039494e-02
152, 5.433599948880000e-01, 4.995380032603236e-02
153, 5.590599775310000e-01, 4.912381452436644e-02
154, 5.747100114820000e-01, 4.819150119477955e-02
155, 5.902799963950000e-01, 4.715887979975288e-02
156, 6.057599782940000e-01, 4.602774826036429e-02
157, 6.211299896240000e-01, 4.480156039620728e-02
158, 6.363800168040000e-01, 4.348400213583346e-02
159, 6.514999866490000e-01, 4.207964595008271e-02
160, 6.664699912070000e-01, 4.059496054193332e-02
161, 6.812700033190000e-01, 3.903754312562051e-02
162, 6.958900094030001e-01, 3.741491291900545e-02
163, 7.103199958800001e-01, 3.573535466725062e-02
164, 7.245299816130000e-01, 3.401031724629421e-02
165, 7.385200262070000e-01, 3.224835074947129e-02
166, 7.522799968720000e-01, 3.045963714105462e-02
167, 7.657799720760000e-01, 2.865738956687502e-02
168, 7.790099978450000e-01, 2.685251915987989e-02
169, 7.919700145720000e-01, 2.505459356777801e-02
170, 8.046399950980000e-01, 2.327583405176997e-02
171, 8.170099854470000e-01, 2.152679995477013e-02
172, 8.290500044819999e-01, 1.982030623893457e-02
173, 8.407700061800000e-01, 1.816248607709674e-02
174, 8.521599769590000e-01, 1.656071290934263e-02
175, 8.631799817090000e-01, 1.502424173219395e-02
176, 8.738499879840000e-01, 1.355103514279685e-02
177, 8.841500282290000e-01, 1.214157019180615e-02
178, 8.940600156780000e-01, 1.079396451838875e-02
179, 9.035800099370001e-01, 9.503388077973679e-03
180, 9.126999974250000e-01, 8.269726275191975e-03
181, 9.214000105860000e-01, 7.101717674140386e-03
182, 9.296900033950000e-01, 6.014648097174763e-03
183, 9.375399947170000e-01, 5.039056551627747e-03
184, 9.449599981310000e-01, 4.204398495907561e-03
185, 9.519400000570000e-01, 3.535955606059022e-03
186, 9.584699869160000e-01, 3.039631063408910e-03
187, 9.645400047300000e-01, 2.693992883855513e-03
188, 9.701499938960000e-01, 2.451961998375569e-03
189, 9.752799868580000e-01, 2.254929547644295e-03
190, 9.799500107769999e-01, 2.048432433922843e-03
191, 9.841300249100000e-01, 1.801301522392064e-03
192, 9.878399968150000e-01, 1.506814343326070e-03
193, 9.910500049590000e-01, 1.184453987729074e-03
194, 9.937800168990000e-01, 8.609446215224177e-04
195, 9.960200190539999e-01, 5.660518783299404e-04
196, 9.977599978450000e-01, 3.230819272794506e-04
197, 9.990000128750000e-01, 1.450686238222004e-04
198, 9.997500181200000e-01, 3.632603227623653e-05
199, 1.000000000000000e+00, 0.000000000000000e+00
