"PointID","x","y"
0, 9.997500181200000e-01, -3.633488096534463e-05
1, 9.990000128750000e-01, -1.456271931799346e-04
2, 9.977599978450000e-01, -3.292053376779115e-04
3, 9.960200190539999e-01, -5.990903591397690e-04
4, 9.937800168990000e-01, -9.801736813555859e-04
5, 9.910500049590000e-01, -1.513403200122894e-03
6, 9.878399968150000e-01, -2.252692089780316e-03
7, 9.841300249100000e-01, -3.258936993030150e-03
8, 9.799500107769999e-01, -4.557382045673766e-03
9, 9.752799868580000e-01, -6.142735752420125e-03
10, 9.701499938960000e-01, -7.939964605575188e-03
11, 9.645400047300000e-01, -9.849548433580291e-03
12, 9.584699869160000e-01, -1.174737072007916e-02
13, 9.519400000570000e-01, -1.354169740009419e-02
14, 9.449599981310000e-01, -1.518865857604387e-02
15, 9.375399947170000e-01, -1.669969135356925e-02
16, 9.296900033950000e-01, -1.812542933542333e-02
17, 9.214000105860000e-01, -1.953366169133392e-02
18, 9.126999974250000e-01, -2.097686604388070e-02
19, 9.035800099370001e-01, -2.249363974887775e-02
20, 8.940600156780000e-01, -2.409533016022060e-02
21, 8.841500282290000e-01, -2.577821189909243e-02
22, 8.738499879840000e-01, -2.753144122969527e-02
23, 8.631799817090000e-01, -2.933852991054379e-02
24, 8.521599769590000e-01, -3.118473972193955e-02
25, 8.407700061800000e-01, -3.306494115849950e-02
26, 8.290500044819999e-01, -3.496655005034756e-02
27, 8.170099854470000e-01, -3.688339239937367e-02
28, 8.046399950980000e-01, -3.881255576014375e-02
29, 7.919700145720000e-01, -4.074417584100032e-02
30, 7.790099978450000e-01, -4.267055637817042e-02
31, 7.657799720760000e-01, -4.458147000978603e-02
32, 7.522799968720000e-01, -4.646871345263700e-02
33, 7.385200262070000e-01, -4.832198444040576e-02
34, 7.245299816130000e-01, -5.012819787284410e-02
35, 7.103199958800001e-01, -5.187721975293418e-02
36, 6.958900094030001e-01, -5.356052047438876e-02
37, 6.812700033190000e-01, -5.516681678797008e-02
38, 6.664699912070000e-01, -5.668832452712919e-02
39, 6.514999866490000e-01, -5.811843211121719e-02
40, 6.363800168040000e-01, -5.945100899104543e-02
41, 6.211299896240000e-01, -6.068167178608747e-02
42, 6.057599782940000e-01, -6.180852119510784e-02
43, 5.902799963950000e-01, -6.283118604325109e-02
44, 5.747100114820000e-01, -6.375024078085574e-02
45, 5.590599775310000e-01, -6.456845061603211e-02
46, 5.433599948880000e-01, -6.528903477200526e-02
47, 5.276100039480000e-01, -6.591797823655901e-02
48, 5.118399858470000e-01, -6.646106491602825e-02
