"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    
          0,           0,           0,       -4.11270598,       -16.3272172,      -16.23501309,      -2.661260703,      -10.67103351
          0,           0,           1,      -4.955737608,      -4.204174036,      -3.950360937,      -3.499439974,      -10.72491923
          0,           0,           2,      -4.852032619,      -4.302918506,      -4.312880893,      -3.388060451,      -10.96061014
          0,           0,           3,      -4.879335709,       -4.38066175,      -4.534467094,      -3.419236615,      -10.93775833
          0,           0,           4,      -4.972832967,      -4.420219836,      -4.510350329,      -3.517584649,      -10.92756975
          0,           0,           5,       -5.05774685,      -4.435279436,      -4.508498851,      -3.609264561,      -10.93065652
          0,           0,           6,      -5.111335818,      -4.442649723,      -4.527568288,      -3.669746548,      -10.92440223
          0,           0,           7,      -5.136719473,      -4.451563422,      -4.551432272,      -3.699938335,       -10.9046868
          0,           0,           8,      -5.142585163,      -4.466716938,      -4.577013372,      -3.708244926,      -10.87604063
          0,           0,           9,       -5.13705682,      -4.490658559,      -4.604947486,      -3.702598383,      -10.84303322
          0,           0,          10,      -5.128361544,      -4.523063683,      -4.634222494,      -3.691627247,      -10.81473065
          0,           0,          11,      -5.124128957,       -4.55960584,      -4.661615421,      -3.683956107,      -10.78705685
          0,           0,          12,      -5.128382281,      -4.592427662,      -4.681158209,      -3.685250507,      -10.75821021
          0,           0,          13,      -5.140419283,      -4.612898348,      -4.686427734,      -3.696625123,      -10.73051364
          0,           0,          14,       -5.15678233,      -4.618884359,      -4.677876113,      -3.715182601,       -10.7083679
          0,           0,          15,      -5.174136107,      -4.616202346,      -4.663904511,      -3.735978197,      -10.69421155
          0,           0,          16,      -5.191267889,       -4.61202755,      -4.652849817,      -3.755216004,      -10.68728543
          0,           0,          17,      -5.209208104,      -4.609865573,      -4.647941419,      -3.772601442,      -10.68573627
          0,           0,          18,      -5.229705569,       -4.60998766,      -4.648343513,      -3.790449356,      -10.68763655
          0,           0,          19,      -5.253307455,      -4.612027135,      -4.652205567,      -3.810665476,      -10.69031305
          0,           0,          20,      -5.277879615,      -4.616683632,      -4.659009678,      -3.832386502,      -10.69211152
          0,           0,          21,      -5.298369928,      -4.625715678,      -4.669967935,      -3.851351996,      -10.69254943
          0,           0,          22,      -5.308912246,      -4.640690285,      -4.686688718,        -3.8617471,      -10.69111033
          0,           0,          23,      -5.307139815,      -4.661449789,      -4.709562631,      -3.860741693,      -10.68791367
          0,           0,          24,      -5.296909581,      -4.684495054,      -4.736756119,      -3.851640561,      -10.68368428
          0,           0,          25,      -5.285704556,      -4.702864917,       -4.76399887,      -3.841583101,      -10.67918352
          0,           0,          26,      -5.280221409,       -4.70886352,       -4.78564053,      -3.837124804,      -10.67470874
          0,           0,          27,      -5.284406445,      -4.699600977,      -4.797438973,      -3.842137049,      -10.67069323
          0,           0,          28,      -5.299640172,      -4.679625765,      -4.799472302,      -3.857873367,      -10.66656642
          0,           0,          29,       -5.32535512,      -4.657131531,      -4.796027272,      -3.883527965,      -10.66201434
          0,           0,          30,      -5.359290954,      -4.639011326,      -4.792638891,      -3.916485457,      -10.65621921
          0,           0,          31,      -5.397413322,      -4.629116511,      -4.793519334,      -3.952332214,      -10.64891048
          0,           0,          32,      -5.434072711,      -4.628665045,      -4.800830052,      -3.985294184,      -10.63970117
          0,           0,          33,      -5.463304266,      -4.636929921,      -4.815040524,      -4.009973618,      -10.62862746
          0,           0,          34,      -5.481462681,      -4.651614962,      -4.835453114,      -4.024041895,      -10.61598385
          0,           0,          35,       -5.48949929,      -4.669112124,       -4.86047308,      -4.029594172,      -10.60192697
          0,           0,          36,      -5.492204235,      -4.684986437,      -4.887799592,      -4.031658291,      -10.58756418
          0,           0,          37,      -5.495012704,      -4.695238093,      -4.914652099,      -4.035260249,      -10.57377066
          0,           0,          38,      -5.501868525,      -4.697966886,      -4.938155761,      -4.043793279,      -10.56088485
          0,           0,          39,      -5.514958587,      -4.694097335,      -4.956014554,      -4.059024482,      -10.54872408
          0,           0,          40,      -5.535090001,      -4.686449029,      -4.967206378,      -4.081537662,      -10.53714033
          0,           0,          41,      -5.561846138,       -4.67811083,      -4.972261783,      -4.110893287,      -10.52637827
          0,           0,          42,      -5.593363165,      -4.671348105,      -4.972965003,      -4.145467285,      -10.51635718
          0,           0,          43,      -5.626090015,      -4.667330215,      -4.971662101,      -4.181856053,      -10.50695239
          0,           0,          44,      -5.654757307,      -4.666336203,       -4.97049837,      -4.214212534,      -10.49792194
          0,           0,          45,      -5.673533949,      -4.668031861,      -4.971126432,      -4.235491377,       -10.4891029
          0,           0,          46,      -5.679263978,      -4.671648602,      -4.974862077,      -4.241545636,      -10.48066112
          0,           0,          47,      -5.673954147,      -4.676151146,      -4.982632713,      -4.234622176,      -10.47265166
          0,           0,          48,      -5.663354587,      -4.680475902,      -4.994500005,      -4.221561872,      -10.46499616
          0,           0,          49,      -5.653700053,      -4.683757678,      -5.009448572,       -4.20952008,      -10.45757415
          0,           0,          50,      -5.649618931,      -4.685510148,      -5.025600195,      -4.203533704,      -10.45016091
          0,           0,          51,      -5.653727183,      -4.685714367,      -5.040628843,      -4.206265368,      -10.44265448
          0,           0,          52,      -5.667020143,       -4.68477309,      -5.052387184,      -4.218575288,      -10.43485801
          0,           0,          53,      -5.689250466,      -4.683340707,      -5.059628704,      -4.239964281,      -10.42659234
          0,           0,          54,      -5.719009079,      -4.682112353,      -5.062440765,      -4.268638008,      -10.41771082
          0,           0,          55,      -5.753536107,       -4.68165251,      -5.062078541,      -4.301292468,      -10.40818965
          0,           0,          56,      -5.788503559,       -4.68229889,      -5.060339811,      -4.332980495,      -10.39794606
          0,           0,          57,      -5.818383026,      -4.684141312,      -5.058921015,      -4.357792967,      -10.38694433
          0,           0,          58,      -5.838269302,      -4.687049429,      -5.059122932,      -4.371131014,       -10.3750941
          0,           0,          59,      -5.846700669,      -4.690715089,      -5.061912667,      -4.372618477,      -10.36243474
          0,           0,          60,      -5.846436902,      -4.694707344,      -5.067845412,      -4.366273031,      -10.34901897
          0,           0,          61,      -5.842353432,      -4.698572816,      -5.076697034,      -4.357573362,      -10.33505197
          0,           0,          62,      -5.839390014,      -4.701942047,      -5.087431248,      -4.351219068,       -10.3206388
          0,           0,          63,      -5.841447663,      -4.704601184,      -5.098570584,      -4.350472899,       -10.3059358
          0,           0,          64,      -5.851011307,      -4.706534842,      -5.108667492,      -4.357174764,      -10.29095693
          0,           0,          65,      -5.869248435,      -4.707926798,      -5.116734852,      -4.371963639,      -10.27577324
          0,           0,          66,      -5.896113683,      -4.709109348,      -5.122507523,      -4.394399085,      -10.26037875
          0,           0,          67,      -5.930176043,      -4.710480301,      -5.126439385,      -4.422863076,      -10.24477725
          0,           0,          68,      -5.968106766,      -4.712413408,      -5.129450145,      -4.454291614,      -10.22898917
          0,           0,          69,      -6.004113661,      -4.715189385,       -5.13256213,      -4.484000257,      -10.21297869
          0,           0,          70,      -6.030535519,      -4.718961547,      -5.136594586,       -4.50630782,      -10.19673289
          0,           0,          71,      -6.041523394,      -4.723760407,      -5.142081183,      -4.516971222,      -10.18020795
          0,           0,          72,      -6.037948236,      -4.729516183,      -5.149409214,      -4.516421162,      -10.16345659
          0,           0,          73,      -6.026642752,      -4.736060116,       -5.15877317,      -4.509524352,      -10.14646787
          0,           0,          74,      -6.015189251,      -4.743131498,      -5.169907907,      -4.502080167,      -10.12924491
          0,           0,          75,      -6.009121595,       -4.75043569,      -5.182112389,      -4.498604499,      -10.11190197
          0,           0,          76,      -6.011766075,      -4.757721838,      -5.194534521,      -4.501952917,      -10.09443759
          0,           0,          77,      -6.024786401,      -4.764838083,      -5.206433346,      -4.513537644,      -10.07690715
          0,           0,          78,      -6.048619148,        -4.7717508,      -5.217337971,      -4.533545824,      -10.05936079
          0,           0,          79,      -6.082525786,       -4.77852976,      -5.227104976,      -4.560944026,      -10.04178481
          0,           0,          80,      -6.124156385,       -4.78531161,      -5.235888897,      -4.593245234,      -10.02424049
          0,           0,          81,      -6.168635012,      -4.792255477,      -5.244037492,      -4.626214635,      -10.00675726
          0,           0,          82,      -6.207794162,      -4.799503822,      -5.251963688,      -4.654061684,      -9.989293457
          0,           0,          83,      -6.231830767,      -4.807157849,      -5.260072997,      -4.671044238,       -9.97193556
          0,           0,          84,      -6.235527828,      -4.815266377,      -5.268824486,      -4.674657875,      -9.954671848
          0,           0,          85,      -6.223092356,      -4.823822229,      -5.278728605,      -4.667583632,      -9.937564302
          0,           0,          86,      -6.203942265,      -4.832768098,      -5.290058383,      -4.655576399,      -9.920630628
          0,           0,          87,      -6.186417121,      -4.842012496,      -5.302650752,      -4.644224157,      -9.903879184
          0,           0,          88,      -6.175785005,      -4.851450885,      -5.316017552,      -4.637489316,      -9.887320136
          0,           0,          89,      -6.174728105,      -4.860990199,      -5.329563031,      -4.637606884,       -9.87094312
          0,           0,          90,      -6.184221904,      -4.870570008,      -5.342773944,      -4.645432606,      -9.854763608
          0,           0,          91,      -6.204098265,      -4.880173178,      -5.355342892,      -4.660759875,      -9.838755224
          0,           0,          92,      -6.233165546,      -4.889822316,      -5.367211387,      -4.682452615,      -9.822882986
          0,           0,          93,      -6.268916073,       -4.89956331,      -5.378535851,      -4.708420983,      -9.807163841
          0,           0,          94,      -6.306968407,      -4.909442949,      -5.389603283,      -4.735591621,      -9.791576431
          0,           0,          95,      -6.340867455,      -4.919488914,      -5.400739892,      -4.760186908,      -9.776109921
          0,           0,          96,      -6.363733607,      -4.929696703,      -5.412262384,      -4.778744348,      -9.760767746
          0,           0,          97,      -6.372292073,      -4.940022649,      -5.424471577,      -4.789741911,      -9.745547426
          0,           0,          98,      -6.369324824,      -4.950376217,      -5.437575152,      -4.794384431,      -9.730482754
          0,           0,          99,      -6.361219114,      -4.960624009,      -5.451517274,      -4.795681531,      -9.715575404
          0,           0,         100,      -6.354235148,       -4.97061691,      -5.465926632,      -4.797027251,      -9.700861708
          0,           0,         101,      -6.352787485,      -4.980227534,      -5.480245581,      -4.801253011,      -9.686349451
          0,           0,         102,       -6.35933048,      -4.989380108,      -5.493914526,       -4.81018034,      -9.672055393
          0,           0,         103,      -6.374755422,      -4.998063365,       -5.50653047,       -4.82451122,      -9.657989379
          0,           0,         104,      -6.398677741,       -5.00632531,      -5.517943806,      -4.843851048,      -9.644115331
          0,           0,         105,       -6.42939432,      -5.014254913,      -5.528271793,      -4.866729972,      -9.630461539
          0,           0,         106,      -6.463541024,      -5.021954877,      -5.537822985,      -4.890646903,      -9.616977423
          0,           0,         107,       -6.49582435,       -5.02951482,      -5.546976006,      -4.912341411,      -9.603667613
          0,           0,         108,      -6.519796047,      -5.036991416,      -5.556070062,      -4.928561077,      -9.590514931
          0,           0,         109,      -6.530554145,      -5.044399511,      -5.565367112,      -4.937280491,      -9.577505491
          0,           0,         110,      -6.527798987,      -5.051712411,      -5.575037254,      -4.938626931,      -9.564648091
          0,           0,         111,      -6.515885454,      -5.058867715,      -5.585079374,      -4.934719702,      -9.551899419
          0,           0,         112,      -6.500945648,      -5.065781587,      -5.595255817,      -4.928650468,      -9.539265719
          0,           0,         113,      -6.488209618,      -5.072369828,      -5.605144857,      -4.923396606,      -9.526711838
          0,           0,         114,      -6.481046795,       -5.07856905,      -5.614283439,      -4.921165909,      -9.514213674
          0,           0,         115,      -6.481140594,       -5.08435322,      -5.622316884,      -4.923204849,      -9.501764888
          0,           0,         116,      -6.488922269,      -5.089740891,      -5.629098995,      -4.929857748,       -9.48931688
          0,           0,         117,      -6.503855289,      -5.094791706,      -5.634719096,       -4.94068278,      -9.476865658
          0,           0,         118,      -6.524500292,      -5.099592543,      -5.639458981,      -4.954551447,      -9.464378331
          0,           0,         119,      -6.548446185,      -5.104238634,      -5.643706686,      -4.969765567,      -9.451879321
          0,           0,         120,      -6.572333039,      -5.108815747,      -5.647864809,      -4.984287158,      -9.439326263
          0,           0,         121,      -6.592357635,      -5.113388724,      -5.652287349,       -4.99616918,      -9.426752645
          0,           0,         122,      -6.605522598,      -5.117997889,       -5.65725632,      -5.004135686,      -9.414161798
          0,           0,         123,      -6.611043586,      -5.122660202,      -5.662969092,      -5.008021702,      -9.401557798
          0,           0,         124,      -6.610688585,      -5.127372694,      -5.669507283,      -5.008776865,      -9.388966015
          0,           0,         125,      -6.607775323,      -5.132118543,      -5.676815683,      -5.008064037,      -9.376454827
          0,           0,         126,      -6.605803353,      -5.136874566,      -5.684729432,      -5.007715617,      -9.364049089
          0,           0,         127,      -6.607569858,      -5.141617013,        -5.6930383,      -5.009274936,      -9.351832809
          0,           0,         128,      -6.614881537,      -5.146326828,      -5.701558733,      -5.013736257,         -9.339833
          0,           0,         129,      -6.628583238,      -5.150991138,      -5.710183894,      -5.021461754,      -9.328113482
          0,           0,         130,      -6.648637886,       -5.15559903,      -5.718905821,      -5.032203313,      -9.316694714
          0,           0,         131,      -6.674096133,      -5.160135423,      -5.727798784,      -5.045164963,      -9.305633466
          0,           0,         132,      -6.702957288,       -5.16457557,      -5.736975424,      -5.059112443,      -9.294889828
          0,           0,         133,      -6.732056781,      -5.168881607,      -5.746540329,      -5.072559262,      -9.284468649
          0,           0,         134,      -6.757327273,       -5.17300246,       -5.75655705,      -5.084045797,       -9.27424312
          0,           0,         135,      -6.774852347,      -5.176874991,      -5.767043998,      -5.092468161,      -9.264186843
          0,           0,         136,      -6.782487003,      -5.180425187,      -5.777964104,      -5.097335983,      -9.254122012
          0,           0,         137,      -6.780883574,      -5.183573606,      -5.789187734,      -5.098856873,      -9.243901417
          0,           0,         138,      -6.772989931,      -5.186246014,      -5.800446099,      -5.097808519,      -9.233352604
          0,           0,         139,      -6.762541316,      -5.188383283,      -5.811341917,      -5.095270199,      -9.222257928
          0,           0,         140,      -6.752709652,      -5.189949944,      -5.821408007,      -5.092302287,      -9.210489723
          0,           0,         141,      -6.745494664,      -5.190937008,      -5.830186061,      -5.089699143,      -9.197782874
          0,           0,         142,       -6.74170774,      -5.191363607,      -5.837287668,      -5.087868059,      -9.184051266
          0,           0,         143,      -6.741171072,      -5.191271649,      -5.842441019,       -5.08682866,      -9.169100629
          0,           0,         144,      -6.742981849,      -5.190718764,       -5.84549784,      -5.086299129,      -9.152845777
          0,           0,         145,      -6.745776395,      -5.189769746,      -5.846419291,      -5.085822663,      -9.135269256
          0,           0,         146,      -6.748039423,      -5.188489479,       -5.84524799,      -5.084917066,      -9.116331018
          0,           0,         147,      -6.748478715,      -5.186937996,      -5.842090514,      -5.083219835,      -9.096057388
          0,           0,         148,      -6.746385872,      -5.185168655,      -5.837112887,      -5.080594643,      -9.074559264
          0,           0,         149,      -6.741827626,      -5.183229628,      -5.830536132,      -5.077168666,      -9.051942057
          0,           0,         150,      -6.735565282,      -5.181166848,      -5.822625707,      -5.073291513,      -9.028345234
          0,           0,         151,      -6.728761194,      -5.179027656,      -5.813670433,      -5.069440323,      -9.003942565
          0,           0,         152,      -6.722638797,      -5.176862847,      -5.803967912,      -5.066107886,      -8.978862879
          0,           0,         153,      -6.718226763,      -5.174726996,      -5.793820609,      -5.063706696,       -8.95331266
          0,           0,         154,      -6.716223732,      -5.172677381,      -5.783533689,      -5.062505901,       -8.92745435
          0,           0,         155,       -6.71695898,      -5.170772008,       -5.77341304,      -5.062603874,      -8.901404871
          0,           0,         156,      -6.720408002,      -5.169067062,      -5.763749797,      -5.063931757,      -8.875237233
          0,           0,         157,      -6.726244042,      -5.167614302,      -5.754807455,      -5.066282874,      -8.849100304
          0,           0,         158,      -6.733910879,      -5.166459084,      -5.746809207,      -5.069361012,      -8.823109169
          0,           0,         159,      -6.742719152,      -5.165637623,         -5.739929,      -5.072838635,      -8.797333242
          0,           0,         160,      -6.751966997,      -5.165176227,      -5.734288261,      -5.076418001,      -8.771804136
          0,           0,         161,      -6.761073279,       -5.16509138,      -5.729957994,      -5.079884241,      -8.746596402
          0,           0,         162,      -6.769693404,      -5.165390604,      -5.726964221,      -5.083138343,       -8.72176921
