"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    
          0,           0,          63,      -5.650077014,      -4.468081614,      -4.790669333,      -4.140612236,      -9.722978032
          0,           0,          64,       -5.65109487,      -4.470749081,      -4.796027905,      -4.140132256,      -9.680385346
          0,           0,          65,      -5.660952437,      -4.473141612,      -4.800433841,      -4.147513049,      -9.637314718
          0,           0,          66,      -5.679665507,      -4.475296142,      -4.803707785,      -4.162463549,      -9.593850232
          0,           0,          67,      -5.705896035,      -4.477378957,      -4.806036193,       -4.18360637,      -9.550030735
          0,           0,          68,      -5.736850069,       -4.47963878,      -4.807861637,      -4.208488546,      -9.505878669
          0,           0,          69,      -5.768154564,      -4.482346044,      -4.809719223,      -4.233649514,      -9.461422011
          0,           0,          70,      -5.794354494,      -4.485739527,      -4.812100311,      -4.255112149,      -9.416638933
          0,           0,          71,      -5.810764728,      -4.489992478,      -4.815389332,      -4.269608644,      -9.371563577
          0,           0,          72,      -5.816096236,      -4.495195429,      -4.819864098,      -4.276144181,       -9.32631655
          0,           0,          73,      -5.813324855,      -4.501341425,      -4.825694427,      -4.276584672,      -9.281092689
          0,           0,          74,      -5.807716117,      -4.508316947,      -4.832892718,      -4.274560465,      -9.236130647
          0,           0,          75,       -5.80428039,      -4.515920718,       -4.84129212,       -4.27379065,       -9.19168461
          0,           0,          76,      -5.806564246,      -4.523909053,      -4.850597496,       -4.27707076,      -9.147962321
          0,           0,          77,      -5.816580757,      -4.532047004,      -4.860472812,       -4.28602602,      -9.105156927
          0,           0,          78,      -5.835092976,      -4.540148859,      -4.870619889,       -4.30119692,      -9.063388072
          0,           0,          79,       -5.86178849,      -4.548100043,      -4.880832095,      -4.322135315,      -9.022643914
          0,           0,          80,      -5.895159857,       -4.55586048,      -4.891007642,       -4.34739435,       -8.98306448
          0,           0,          81,      -5.932090977,      -4.563451461,      -4.901135212,      -4.374462768,      -8.944711419
          0,           0,          82,      -5.967412052,      -4.570931767,      -4.911252592,      -4.399844637,      -8.907506043
          0,           0,          83,      -5.994329103,       -4.57837196,      -4.921402446,      -4.419629274,      -8.871603139
          0,           0,          84,      -6.007002242,      -4.585836551,       -4.93162555,      -4.430814337,      -8.837016327
          0,           0,          85,      -6.004351721,      -4.593378351,      -4.941990968,      -4.432877958,       -8.80377821
          0,           0,          86,      -5.990871827,      -4.601030353,      -4.952561035,       -4.42810971,      -8.771849395
          0,           0,          87,      -5.973372346,      -4.608794102,      -4.963290898,       -4.42025118,      -8.741154798
          0,           0,          88,      -5.957724155,      -4.616636615,      -4.973987933,      -4.412915662,      -8.711617753
          0,           0,          89,      -5.947767229,      -4.624502802,      -4.984379981,      -4.408800606,      -8.683054232
          0,           0,          90,      -5.945520542,      -4.632337296,       -4.99423071,      -4.409522878,      -8.655273109
          0,           0,          91,      -5.951673496,      -4.640096623,      -5.003436415,      -4.415705501,      -8.628126114
          0,           0,          92,      -5.965926382,      -4.647755588,      -5.012067788,      -4.427090683,      -8.601433401
          0,           0,          93,      -5.987098873,      -4.655301164,      -5.020352996,      -4.442611314,      -8.575109541
