+------------------------------------------------------------------------------------------+
|  Inner_Iter|   Time(sec)|    rms[Rho]|     rms[nu]|          CL|          CD|         CMz|
+------------------------------------------------------------------------------------------+
|           0|  2.3346e-01|   -3.931559|  -10.667220|    5.495464|    2.200338|    1.645963|
|           1|  2.3678e-01|   -4.777417|  -10.647175|    4.623023|    1.994959|    1.393965|
|           2|  2.3624e-01|   -4.784466|  -10.818511|    3.905229|    1.671794|    1.155070|
|           3|  2.3849e-01|   -4.815999|  -10.828352|    3.516390|    1.462404|    1.003331|
|           4|  2.3784e-01|   -4.879721|  -10.820359|    3.205329|    1.286273|    0.857033|
|           5|  2.3824e-01|   -4.931519|  -10.819437|    2.891824|    1.109908|    0.691101|
|           6|  2.3774e-01|   -4.963844|  -10.810086|    2.566136|    0.929530|    0.508972|
|           7|  2.3665e-01|   -4.978943|  -10.786854|    2.234413|    0.749283|    0.322389|
|           8|  2.3537e-01|   -4.978022|  -10.752357|    1.904303|    0.574381|    0.143818|
|           9|  2.3450e-01|   -4.965555|  -10.711160|    1.581445|    0.409624|   -0.016688|
|          10|  2.3375e-01|   -4.950982|  -10.667808|    1.270950|    0.259208|   -0.152242|
|          11|  2.3311e-01|   -4.943155|  -10.631503|    0.977771|    0.126170|   -0.259609|
|          12|  2.3463e-01|   -4.945552|  -10.601634|    0.707277|    0.012373|   -0.338490|
|          13|  2.3501e-01|   -4.956697|  -10.576117|    0.465554|   -0.081168|   -0.390361|
|          14|  2.3499e-01|   -4.973017|  -10.557396|    0.259780|   -0.153699|   -0.417345|
|          15|  2.3487e-01|   -4.991489|  -10.546261|    0.097954|   -0.204449|   -0.421647|
|          16|  2.3498e-01|   -5.010990|  -10.542209|   -0.012283|   -0.232782|   -0.405499|
|          17|  2.3517e-01|   -5.032119|  -10.542914|   -0.065036|   -0.238506|   -0.371248|
|          18|  2.3564e-01|   -5.055674|  -10.547458|   -0.057058|   -0.222104|   -0.321463|
|          19|  2.3552e-01|   -5.080676|  -10.553980|    0.012249|   -0.184693|   -0.258907|
|          20|  2.3594e-01|   -5.103230|  -10.560263|    0.141057|   -0.127972|   -0.186602|
|          21|  2.3673e-01|   -5.117622|  -10.564481|    0.324642|   -0.054450|   -0.108083|
|          22|  2.3725e-01|   -5.119832|  -10.565925|    0.553785|    0.031994|   -0.027659|
|          23|  2.3715e-01|   -5.110895|  -10.564859|    0.814350|    0.126022|    0.049944|
