"PointID","x","y","Adjoint_Density","Adjoint_Momentum_x","Adjoint_Momentum_y","Adjoint_Energy","Sensitivity_x","Sensitivity_y","Surface_Sensitivity"
0, 9.997500181200000e-01, -3.633201036323288e-05, -1.895759017520872e-01, 2.801837004979970e-01, -5.430414574017628e-02, -3.216010168374395e-02, 0.000000000000000e+00, 0.000000000000000e+00, -5.310294741064666e-01
1, 9.990000128750000e-01, -1.454459724708978e-04, -2.378024492329340e-01, 3.520094944381023e-01, -6.186697888339148e-02, -6.186329479247399e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.508614775917524e-01
2, 9.977599978450000e-01, -3.272183670174355e-04, -2.271752372270356e-01, 3.237181155685832e-01, -7.359309550827327e-02, -5.806020930157762e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.591757185809953e-02
3, 9.960200190539999e-01, -5.883670945659047e-04, -2.209012720102650e-01, 3.080123653161197e-01, -8.127652643140004e-02, -5.613229456134994e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.512628053834447e-02
4, 9.937800168990000e-01, -9.414609002452585e-04, -2.177491577252433e-01, 3.008039872212023e-01, -9.138662790145194e-02, -5.536707386502834e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.346104165541489e-02
5, 9.910500049590000e-01, -1.406536508419730e-03, -2.127953953166947e-01, 2.928185265014406e-01, -1.043336258895559e-01, -5.405350333948763e-02, 0.000000000000000e+00, 0.000000000000000e+00, 9.975845519486397e-03
6, 9.878399968150000e-01, -2.010185008756678e-03, -2.046211188376354e-01, 2.815850233340572e-01, -1.206996659119561e-01, -5.197347346950955e-02, 0.000000000000000e+00, 0.000000000000000e+00, 9.584717114637414e-03
7, 9.841300249100000e-01, -2.784487241412771e-03, -1.911196123367237e-01, 2.637396201369087e-01, -1.394764054686741e-01, -4.856231791075637e-02, 0.000000000000000e+00, 0.000000000000000e+00, 8.892174101895500e-03
8, 9.799500107769999e-01, -3.739471272397315e-03, -1.706480278462625e-01, 2.367349633586907e-01, -1.585742161803831e-01, -4.340500278428097e-02, 0.000000000000000e+00, 0.000000000000000e+00, 6.933453003428474e-03
9, 9.752799868580000e-01, -4.872591741346623e-03, -1.428053296289100e-01, 1.999062603748761e-01, -1.749403688777456e-01, -3.637544183671178e-02, 0.000000000000000e+00, 0.000000000000000e+00, 3.625197053618271e-03
10, 9.701499938960000e-01, -6.141718294713413e-03, -1.091642585992125e-01, 1.553840393184902e-01, -1.853351768735685e-01, -2.784441320402370e-02, 0.000000000000000e+00, 0.000000000000000e+00, -1.638960596372940e-04
11, 9.645400047300000e-01, -7.495298985410723e-03, -7.327790150470144e-02, 1.078791847364508e-01, -1.872698285602118e-01, -1.870509336384712e-02, 0.000000000000000e+00, 0.000000000000000e+00, -4.115703968163228e-03
12, 9.584699869160000e-01, -8.866383503739354e-03, -4.056355482801335e-02, 6.430313274585868e-02, -1.802401969621392e-01, -1.031507988407894e-02, 0.000000000000000e+00, 0.000000000000000e+00, -7.095572749663772e-03
13, 9.519400000570000e-01, -1.020610681340660e-02, -1.638175139949810e-02, 3.138242816177322e-02, -1.665600932675071e-01, -4.087818502806371e-03, 0.000000000000000e+00, 0.000000000000000e+00, -7.253647493141000e-03
14, 9.449599981310000e-01, -1.148979876285344e-02, -3.416369344192154e-03, 1.256742425698911e-02, -1.505372859096817e-01, -7.509700579734554e-04, 0.000000000000000e+00, 0.000000000000000e+00, -4.693552468378020e-03
15, 9.375399947170000e-01, -1.272149244192790e-02, -1.317416439694979e-04, 6.211178104903589e-03, -1.363833222107385e-01, 7.536977799611817e-05, 0.000000000000000e+00, 0.000000000000000e+00, -1.424714259975006e-03
16, 9.296900033950000e-01, -1.392557558182598e-02, -1.956812111879949e-03, 6.899648993009222e-03, -1.265143111339026e-01, -4.431359274927789e-04, 0.000000000000000e+00, 0.000000000000000e+00, 6.768966356542398e-04
17, 9.214000105860000e-01, -1.513650218746101e-02, -4.398332275071198e-03, 9.065535922794058e-03, -1.211010611047857e-01, -1.109713878170632e-03, 0.000000000000000e+00, 0.000000000000000e+00, 1.413409848703163e-03
18, 9.126999974250000e-01, -1.637844572395472e-02, -4.626280258185801e-03, 9.068056982356239e-03, -1.190789941179354e-01, -1.209251652738445e-03, 0.000000000000000e+00, 0.000000000000000e+00, 1.363904845844846e-03
19, 9.035800099370001e-01, -1.767065840578247e-02, -1.830654084732775e-03, 5.693548794603024e-03, -1.189583277943321e-01, -5.145363040962575e-04, 0.000000000000000e+00, 0.000000000000000e+00, 1.020049108382231e-03
20, 8.940600156780000e-01, -1.901654064481744e-02, 3.731762069974830e-03, -8.952713964215617e-04, -1.194971146256161e-01, 8.924635035915786e-04, 0.000000000000000e+00, 0.000000000000000e+00, 5.764527295388577e-04
21, 8.841500282290000e-01, -2.041225344005148e-02, 1.127404552420166e-02, -9.824126246036284e-03, -1.199060658825311e-01, 2.806382432598319e-03, 0.000000000000000e+00, 0.000000000000000e+00, 1.857014568664348e-04
22, 8.738499879840000e-01, -2.185083440028422e-02, 1.987566305758669e-02, -2.002690308101108e-02, -1.197762598051001e-01, 5.000168414613378e-03, 0.000000000000000e+00, 0.000000000000000e+00, -5.659964888789890e-05
23, 8.631799817090000e-01, -2.332147609443314e-02, 2.891065666154183e-02, -3.073400151002822e-02, -1.190914095506414e-01, 7.289339081146572e-03, 0.000000000000000e+00, 0.000000000000000e+00, -1.963946908972419e-04
24, 8.521599769590000e-01, -2.481455801052356e-02, 3.788101097865305e-02, -4.135788734813831e-02, -1.179171094695761e-01, 9.569146460550350e-03, 0.000000000000000e+00, 0.000000000000000e+00, -2.066112624911753e-04
25, 8.407700061800000e-01, -2.632765608847314e-02, 4.666117074425057e-02, -5.171866420590297e-02, -1.164497571848702e-01, 1.178696490703701e-02, 0.000000000000000e+00, 0.000000000000000e+00, -1.758341787669700e-04
26, 8.290500044819999e-01, -2.785197569893005e-02, 5.518652413589407e-02, -6.174463815872257e-02, -1.147860640171144e-01, 1.394950684219835e-02, 0.000000000000000e+00, 0.000000000000000e+00, -1.157934926758492e-04
27, 8.170099854470000e-01, -2.938392686633104e-02, 6.356000490539704e-02, -7.154460279673690e-02, -1.130185284071870e-01, 1.607320060732030e-02, 0.000000000000000e+00, 0.000000000000000e+00, -7.646793245128905e-05
28, 8.046399950980000e-01, -3.092288728792378e-02, 7.192132032518943e-02, -8.126975800660985e-02, -1.111900474675563e-01, 1.818652182004223e-02, 0.000000000000000e+00, 0.000000000000000e+00, -1.224670735708361e-04
29, 7.919700145720000e-01, -3.246327772476114e-02, 8.032618857714546e-02, -9.100334544205553e-02, -1.092755366847950e-01, 2.032104771567049e-02, 0.000000000000000e+00, 0.000000000000000e+00, -2.172901205307985e-04
30, 7.790099978450000e-01, -3.400191732654360e-02, 8.889570170516224e-02, -1.008599404684786e-01, -1.072959119803538e-01, 2.248030817724467e-02, 0.000000000000000e+00, 0.000000000000000e+00, -3.269386279974013e-04
31, 7.657799720760000e-01, -3.553421308178074e-02, 9.758795358635224e-02, -1.108150822431714e-01, -1.051948621756399e-01, 2.467989648463864e-02, 0.000000000000000e+00, 0.000000000000000e+00, -3.303749683936146e-04
32, 7.522799968720000e-01, -3.705767846098351e-02, 1.064193360910377e-01, -1.208752601856489e-01, -1.029780802085394e-01, 2.690912611011314e-02, 0.000000000000000e+00, 0.000000000000000e+00, -2.462181436849852e-04
33, 7.385200262070000e-01, -3.856847316760995e-02, 1.152885384330427e-01, -1.309375898065918e-01, -1.005918434819270e-01, 2.916059371829811e-02, 0.000000000000000e+00, 0.000000000000000e+00, -1.355017330550934e-04
34, 7.245299816130000e-01, -4.006058022728499e-02, 1.241900221211714e-01, -1.409906616246279e-01, -9.805099411021945e-02, 3.141501389070973e-02, 0.000000000000000e+00, 0.000000000000000e+00, -8.725188885434105e-05
35, 7.103199958800001e-01, -4.153025937286894e-02, 1.330552087180223e-01, -1.509621080795553e-01, -9.532256680546349e-02, 3.366473590623942e-02, 0.000000000000000e+00, 0.000000000000000e+00, -1.013850868681254e-04
36, 6.958900094030001e-01, -4.297485303835209e-02, 1.419390058050364e-01, -1.609083586400705e-01, -9.244461357519966e-02, 3.591268447031421e-02, 0.000000000000000e+00, 0.000000000000000e+00, -2.075772297388762e-04
37, 6.812700033190000e-01, -4.438883934994594e-02, 1.508224047881779e-01, -1.708100832548606e-01, -8.939358899640956e-02, 3.816228048365003e-02, 0.000000000000000e+00, 0.000000000000000e+00, -3.182801185196237e-04
38, 6.664699912070000e-01, -4.576896290766563e-02, 1.596961460112186e-01, -1.806571271167843e-01, -8.620182898124130e-02, 4.040538097342412e-02, 0.000000000000000e+00, 0.000000000000000e+00, -3.880087597257353e-04
39, 6.514999866490000e-01, -4.711216136689517e-02, 1.684657766139638e-01, -1.903476688785006e-01, -8.285195706097420e-02, 4.262492731152524e-02, 0.000000000000000e+00, 0.000000000000000e+00, -4.103989021241108e-04
40, 6.363800168040000e-01, -4.841473588327713e-02, 1.771090753582037e-01, -1.998603924894619e-01, -7.937336385109864e-02, 4.480972987985089e-02, 0.000000000000000e+00, 0.000000000000000e+00, -4.107794314719635e-04
41, 6.211299896240000e-01, -4.967335801187245e-02, 1.855648174818552e-01, -2.091300311591027e-01, -7.575518309387573e-02, 4.695008305010197e-02, 0.000000000000000e+00, 0.000000000000000e+00, -3.328355335910028e-04
42, 6.057599782940000e-01, -5.088581849452807e-02, 1.938434220760080e-01, -2.181705024706169e-01, -7.202892217494657e-02, 4.904313850705846e-02, 0.000000000000000e+00, 0.000000000000000e+00, -1.399867367113578e-04
43, 5.902799963950000e-01, -5.205012276318789e-02, 2.019210868321367e-01, -2.269558264632213e-01, -6.818625491745871e-02, 5.108768778999385e-02, 0.000000000000000e+00, 0.000000000000000e+00, 5.967005498847401e-05
44, 5.747100114820000e-01, -5.316377670258273e-02, 2.098304030950452e-01, -2.355244488933664e-01, -6.425461111698517e-02, 5.308805034491804e-02, 0.000000000000000e+00, 0.000000000000000e+00, -4.946497928487407e-05
45, 5.590599775310000e-01, -5.422526699022186e-02, 2.175594011269541e-01, -2.438615804422851e-01, -6.022748761662301e-02, 5.504431529417425e-02, 0.000000000000000e+00, 0.000000000000000e+00, -6.793107886536774e-04
46, 5.433599948880000e-01, -5.523197128866844e-02, 2.251325219943571e-01, -2.520007464577208e-01, -5.612554606875705e-02, 5.696042426940837e-02, 0.000000000000000e+00, 0.000000000000000e+00, -1.410376415666961e-03
47, 5.276100039480000e-01, -5.618344646136980e-02, 2.325348878033258e-01, -2.599262223602365e-01, -5.193266262087370e-02, 5.883521975115469e-02, 0.000000000000000e+00, 0.000000000000000e+00, -1.215703220286712e-03
48, 5.118399858470000e-01, -5.707753271600281e-02, 2.398303468835854e-01, -2.677037705396020e-01, -4.767361669017431e-02, 6.067599355896850e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.035154168163829e-04
49, 4.960500001910000e-01, -5.791394003731162e-02, 2.469981272393083e-01, -2.753106131940420e-01, -4.333440153387097e-02, 6.248196770188275e-02, 0.000000000000000e+00, 0.000000000000000e+00, -1.334770799658932e-04
50, 4.802699983120000e-01, -5.869081926365281e-02, 2.539211541332274e-01, -2.826316996149684e-01, -3.888902380365613e-02, 6.423127525581419e-02, 0.000000000000000e+00, 0.000000000000000e+00, -6.598586585408398e-03
51, 4.645099937920000e-01, -5.940745705377930e-02, 2.602405722838961e-01, -2.893085039153227e-01, -3.430081316584105e-02, 6.582492174331712e-02, 0.000000000000000e+00, 0.000000000000000e+00, -2.088034649119693e-02
