"VARIABLE"      , "GRADIENT"      , "FINDIFF_STEP"  
0               , -0.378893       , 0.001           
1               , -0.244182       , 0.001           
2               , -0.12237        , 0.001           
3               , -0.0316506      , 0.001           
4               , 0.0236694       , 0.001           
5               , 0.0445643       , 0.001           
6               , 0.0365428       , 0.001           
7               , 0.00955369      , 0.001           
8               , -0.0232556      , 0.001           
9               , -0.0485499      , 0.001           
10              , -0.0571261      , 0.001           
11              , -0.0477595      , 0.001           
12              , -0.0278479      , 0.001           
13              , -0.00893028     , 0.001           
14              , 0.00116946      , 0.001           
15              , 0.00312303      , 0.001           
16              , 0.00259368      , 0.001           
17              , 0.00480019      , 0.001           
18              , 0.0131023       , 0.001           
19              , -0.250035       , 0.001           
20              , -0.0934806      , 0.001           
21              , -0.111026       , 0.001           
22              , -0.190958       , 0.001           
23              , -0.269862       , 0.001           
24              , -0.314041       , 0.001           
25              , -0.310337       , 0.001           
26              , -0.260654       , 0.001           
27              , -0.178044       , 0.001           
28              , -0.0829157      , 0.001           
29              , 0.00188049      , 0.001           
30              , 0.0576551       , 0.001           
31              , 0.0768912       , 0.001           
32              , 0.0668377       , 0.001           
33              , 0.0449426       , 0.001           
34              , 0.0262858       , 0.001           
35              , 0.0139065       , 0.001           
36              , 0.00415174      , 0.001           
37              , -0.00284559     , 0.001           
