Point ID,Density,Energy,Grid_Velocity_0,Grid_Velocity_1,Grid_Velocity_2,Grid_Velocity_Magnitude,Mach,Momentum_0,Momentum_1,Momentum_2,Momentum_Magnitude,Points_0,Points_1,Points_2,Points_Magnitude,Pressure,Pressure_Coefficient,Temperature,Velocity_0,Velocity_1,Velocity_2,Velocity_Magnitude
160,1.0086,197258,0,245.805,-7.76932e-09,245.805,0.175936,33.3103,-47.0886,-9.22588,58.4126,-0.0180764,0,-0.938905,0.939079,78225.3,-0.423441,270.18,33.0185,-46.6997,-9.14558,57.92
161,0.994491,194416,0,251.147,-2.91466e-10,251.147,0.1826,33.6555,-48.3396,-9.92248,59.7317,-0.0182545,0,-0.959312,0.959486,77047,-0.44504,269.884,33.8318,-48.6277,-9.97666,60.0731
162,0.979819,191081,0,256.49,1.844e-10,256.49,0.190025,34.015,-49.9168,-9.40731,61.1327,-0.0184326,0,-0.979719,0.979893,75667.2,-0.470332,269.017,34.7033,-50.9732,-9.59823,62.4076
163,0.962936,187677,0,261.833,-6.50035e-09,261.833,0.208306,34.7494,-55.4051,-6.83463,65.7568,-0.0186106,0,-1.00013,1.0003,74169.6,-0.497786,268.312,36.0731,-57.5789,-7.09612,68.3151
164,0.960769,185830,0,267.175,9.77511e-10,267.175,0.208744,35.1563,-54.5703,-8.41095,65.4571,-0.0187887,0,-1.02053,1.02071,73435.8,-0.511237,266.252,36.5772,-56.8539,-8.75632,68.1684
165,0.946799,182452,0,272.518,8.7934e-09,272.518,0.219503,35.623,-57.1509,-5.96916,67.6081,-0.0189668,0,-1.04094,1.04111,72008.7,-0.537397,264.918,37.6056,-60.4565,-6.30723,71.4769
166,0.947472,182514,0,277.861,-5.06877e-09,277.861,0.213891,35.963,-54.8784,-5.45727,65.8389,-0.0191449,0,-1.06135,1.06152,72081.5,-0.536063,264.986,37.9371,-58.054,-5.75859,69.5892
167,0.9392,180170,0,283.203,2.40909e-09,283.203,0.208218,35.9967,-52.0943,-1.03205,63.3297,-0.019323,0,-1.08176,1.08193,71202.9,-0.552168,264.048,38.3053,-55.6386,-1.10983,67.5588
168,0.961169,186071,0,288.546,2.88495e-09,288.546,0.191104,36.7485,-46.982,4.64041,59.8272,-0.0195011,0,-1.10216,1.10234,73674.6,-0.506859,266.986,38.2145,-49.0015,4.81969,62.3276
169,0.995892,196837,0,293.888,-3.79979e-09,293.888,0.140568,35.9003,-23.2246,17.6696,46.2648,-0.0196792,0,-1.12257,1.12274,78301.4,-0.422045,273.894,36.0439,-23.3321,17.7358,46.4554
170,1.09271,219794,0,-293.934,-1.5482e-08,293.934,0.177332,53.204,11.8219,34.9407,64.74,0.000131633,0,1.12274,1.12274,87146.7,-0.259903,277.827,48.6921,10.8189,31.9774,59.2497
