Point ID,Density,Energy,Grid_Velocity_0,Grid_Velocity_1,Grid_Velocity_2,Grid_Velocity_Magnitude,Mach,Momentum_0,Momentum_1,Momentum_2,Momentum_Magnitude,Points_0,Points_1,Points_2,Points_Magnitude,Pressure,Pressure_Coefficient,Temperature,Velocity_0,Velocity_1,Velocity_2,Velocity_Magnitude
0,1.19152,246755,0,-37.4804,-1.47147e-08,37.4804,0.090741,-6.4729,-33.6521,-8.01511,35.1938,0.00580754,0,0.143164,0.143282,98474.2,-0.0522581,287.906,-5.43845,-28.2684,-6.59366,29.5323
1,1.19155,246714,0,-37.4694,1.19687e-10,37.4694,0.0874929,-3.14334,-35.0388,-0.0214563,35.1795,0.000994969,0,0.143122,0.143126,98474.2,-0.0522581,287.898,-2.68618,-29.4017,-0.0234419,29.5241
2,1.19163,246650,0,37.478,1.65565e-08,37.478,0.0817958,-3.4515,31.7654,3.88298,32.1874,0.00477544,0,-0.143155,0.143235,98474.2,-0.0522581,287.879,-2.88984,26.6591,3.1989,27.0054
3,1.19165,246638,0,37.4731,-5.78389e-10,37.4731,0.0808737,-2.23888,32.6476,0.0168482,32.7243,0.00261668,8.67362e-19,-0.143137,0.143161,98474.2,-0.0522581,287.874,-1.89083,27.3848,0.0165011,27.45
4,1.04413,218144,0,-299.265,7.42581e-10,299.265,0.228131,34.8178,-60.812,16.2362,71.9305,-0.00491988,0,1.14311,1.14312,85999.6,-0.28093,287.14,33.3566,-59.5374,14.4289,69.7536
5,1.02994,219006,0,-299.257,-2.15412e-08,299.257,0.255917,33.4358,-83.4352,0.289116,89.8859,-0.00849767,0,1.14308,1.14311,85999.6,-0.28093,290.85,32.6011,-80.9011,0.284505,87.2233
6,1.19688,246244,0,-78.4621,3.29172e-09,78.4621,0.0291124,10.905,3.67079,-1.80894,11.6476,-0.0124942,5.42101e-20,0.299703,0.299963,98474.2,-0.0522581,286.618,9.11169,3.06933,-1.51111,9.73279
7,1.14267,231294,0,-162.514,-5.3246e-09,162.514,0.104176,24.2071,31.5631,4.04321,39.982,-0.015296,0,0.620757,0.620946,92236.9,-0.166594,281.198,21.186,27.6257,3.53962,34.9936
8,1.1432,231466,0,221.657,9.21924e-09,221.657,0.116081,42.3356,-13.2059,-4.74138,44.6002,0.00253929,-4.33681e-19,-0.846669,0.846673,92236.9,-0.166594,281.071,37.0266,-11.5505,-4.14765,39.0075
9,1.08449,216346,0,282.235,-1.86035e-08,282.235,0.149288,50.864,-14.427,-10.4351,53.8904,0.000520002,0,-1.07806,1.07806,85999.6,-0.28093,276.249,46.9073,-13.306,-9.62528,49.699
10,1.07856,216624,0,289.449,4.98658e-09,289.449,0.163551,52.2123,-17.2708,-19.9856,58.5135,0.000279505,0,-1.10562,1.10562,85999.6,-0.28093,277.763,48.4362,-16.0238,-18.5255,54.2772
11,1.14247,231465,0,-219.723,3.97305e-08,219.723,0.115961,42.3648,12.9352,4.50329,44.5239,0.00260539,0,0.83928,0.839284,92236.9,-0.166594,281.248,37.0931,11.3255,3.94182,38.9834
12,1.08099,216403,0,-280.588,-1.5482e-08,280.588,0.1524,51.4273,17.2747,8.47716,54.9094,0.000576514,0,1.07177,1.07177,85999.6,-0.28093,277.15,47.5789,15.9908,7.85093,50.8044
13,1.0859,216643,0,-290.274,-1.5482e-08,290.274,0.164324,52.7437,14.1671,21.8193,58.8106,0.000253611,0,1.10877,1.10877,85999.6,-0.28093,275.885,48.5722,13.0529,20.0576,54.1474
14,1.19642,246241,0,77.7243,1.7021e-09,77.7243,0.0282218,10.8323,-2.52048,2.09877,11.318,-0.0124735,0,-0.296885,0.297147,98474.2,-0.0522581,286.728,9.05422,-2.10929,1.7548,9.46083
15,1.13731,231327,0,161.599,-2.03426e-09,161.599,0.10667,24.4341,-32.4011,-4.64015,40.8459,-0.0152694,0,-0.617262,0.61745,92236.9,-0.166594,282.525,21.4832,-28.4904,-4.07956,35.9148
16,1.19632,246518,0,138.956,4.30137e-09,138.956,0.0693468,27.1156,-4.6264,-5.98353,28.1507,0.00529609,0,-0.530771,0.530798,98474.2,-0.0522581,286.752,22.6665,-3.86715,-5.00161,23.5317
17,1.08064,216129,0,209.523,6.09396e-09,209.523,0.136989,29.8956,-38.3439,-8.6007,49.3759,-0.0168669,0,-0.800317,0.800495,85999.6,-0.28093,277.232,27.6659,-35.486,-7.95759,45.6944
18,1.01941,201146,0,241.338,-1.4341e-09,241.338,0.176535,33.2712,-48.581,-8.49608,59.4918,-0.0179275,0,-0.921843,0.922018,79762.3,-0.395266,272.567,32.6339,-47.6619,-8.33395,58.3616
19,0.961055,186054,0,266.562,-8.74761e-10,266.562,0.208641,35.1092,-54.6462,-8.22198,65.471,-0.0187683,0,-1.01819,1.01837,73525,-0.509602,266.496,36.5173,-56.9156,-8.55692,68.1625
20,0.95991,185713,0,288.163,-2.86448e-10,288.163,0.1921,36.7,-47.3246,4.2279,60.0365,-0.0194884,0,-1.1007,1.10088,73525,-0.509602,266.792,38.2148,-49.4259,4.39675,62.6308
21,1.01106,200568,0,294.995,-2.9296e-09,294.995,0.143884,33.0537,-12.6961,23.1785,42.32,-0.0197161,0,-1.1268,1.12697,79762.3,-0.395266,274.772,32.8723,-13.1331,22.6477,42.0236
22,1.08444,216161,0,-209.731,-1.28017e-09,209.731,0.138858,29.7078,39.4637,8.5934,50.1376,-0.01687,0,0.801114,0.801292,85999.6,-0.28093,276.263,27.3954,36.3967,7.92371,46.2386
23,1.02021,200982,0,-239.466,-5.7719e-09,239.466,0.168024,32.2611,45.6039,9.46127,56.6569,-0.0178611,0,0.914692,0.914866,79762.3,-0.395266,272.352,31.617,44.7084,9.27507,55.5383
24,0.955186,185916,0,-266.886,1.70077e-09,266.886,0.202122,34.1832,52.2619,9.89061,63.2268,-0.0187752,0,1.01943,1.0196,73525,-0.509602,268.133,35.7743,54.7669,10.3548,66.2302
25,0.962666,185567,0,-286.101,2.47224e-09,286.101,0.184239,35.7804,45.1044,-1.98908,57.6073,-0.0194157,0,1.09283,1.093,73525,-0.509602,266.024,37.1526,46.9948,-2.04618,59.9418
26,1.01589,200593,0,-294.452,5.15615e-09,294.452,0.145807,34.9198,23.3109,-19.0655,46.1117,-0.019694,0,1.12472,1.1249,79762.3,-0.395266,273.474,34.4743,23.2657,-18.578,45.5512
