Point ID,Density,Energy,Grid_Velocity_0,Grid_Velocity_1,Grid_Velocity_2,Grid_Velocity_Magnitude,Mach,Momentum_0,Momentum_1,Momentum_2,Momentum_Magnitude,Points_0,Points_1,Points_2,Points_Magnitude,Pressure,Pressure_Coefficient,Temperature,Velocity_0,Velocity_1,Velocity_2,Velocity_Magnitude
3581,1.26014,268826,0,104.137,10.7004,104.685,0.310043,-3.48468,132.94,7.28828,133.185,-0.00747555,0.0408724,-0.397773,0.399938,104712,0.0620779,289.458,-2.79808,105.486,5.79818,105.683
3582,1.26302,268550,0,122.939,10.5889,123.394,0.303574,43.9979,122.799,-2.15953,130.461,-0.00739398,0.0404468,-0.469592,0.471389,104712,0.0620779,288.803,34.9101,97.1504,-1.7132,103.247
3583,1.31867,287084,0,129.27,10.7004,129.712,0.353595,25.5345,157.911,-1.59318,159.97,-0.00831332,0.0408724,-0.493773,0.495532,110949,0.176414,293.102,19.3384,119.748,-1.20285,121.305
3584,1.32383,286991,0,133.623,10.6736,134.049,0.351164,40.9653,153.404,-3.56127,158.82,-0.00828837,0.0407702,-0.510402,0.512095,110949,0.176414,291.94,31.1099,115.696,-2.68676,119.836
3585,1.31625,288044,0,137.613,10.7004,138.028,0.370675,35.6088,163.572,-7.42751,167.568,-0.00859143,0.0408724,-0.525641,0.527298,110949,0.176414,293.646,27.0543,124.293,-5.6593,127.329
3586,1.3152,287358,0,144.309,10.6198,144.699,0.358289,56.624,150.794,-0.698355,161.076,-0.0083023,0.0405645,-0.55122,0.552773,110949,0.176414,293.874,42.9365,114.792,-0.55463,122.56
3587,1.32924,290047,0,148.661,10.7004,149.045,0.40383,36.035,179.925,-2.30394,183.512,-0.00895972,0.0408724,-0.567842,0.569382,110949,0.176414,290.79,27.132,135.32,-1.74193,138.024
3588,1.33118,289787,0,149.651,10.6792,150.031,0.39922,40.4054,176.434,-1.91458,181.011,-0.00885799,0.0407914,-0.571624,0.573146,110949,0.176414,290.353,30.4524,132.437,-1.43815,135.9
3589,1.32873,289060,0,154.994,10.6269,155.358,0.386631,64.8616,162.529,1.13702,174.997,-0.00870375,0.0405917,-0.592034,0.593488,110949,0.176414,290.865,49.0836,121.991,0.85009,131.498
3590,1.34621,292372,0,165.661,10.7004,166.007,0.439482,73.029,187.199,2.73771,200.958,-0.00952642,0.0408724,-0.63278,0.63417,110949,0.176414,287.105,54.2475,139.056,2.03357,149.277
3591,1.3345,291751,0,171.022,10.6268,171.352,0.43013,70.0746,182.624,-4.93706,195.669,-0.00923759,0.0405915,-0.653257,0.654582,110949,0.176414,289.614,52.5011,136.93,-3.69959,146.696
3592,1.32453,293622,0,172.727,10.7004,173.058,0.45727,65.3095,196.746,-5.01509,207.363,-0.00976194,0.0408724,-0.659768,0.661105,110949,0.176414,291.758,49.3387,148.501,-3.78515,156.529
3593,1.36829,311098,0,179.213,10.7004,179.532,0.470033,67.4028,212.185,-4.54823,222.68,-0.00997815,0.0408724,-0.684544,0.685835,117186,0.29075,298.357,49.1888,155.063,-3.33403,162.712
3594,1.36925,310640,0,181.707,10.6679,182.02,0.463281,75.4614,206.247,-3.12327,219.641,-0.00985475,0.0407483,-0.694069,0.695334,117186,0.29075,298.148,55.1987,150.409,-2.25898,160.234
3595,1.31904,292613,0,187.051,10.5845,187.35,0.442651,96.313,175.409,-5.65168,200.191,-0.00950268,0.0404297,-0.714481,0.715687,110949,0.176414,293.002,73.0915,132.888,-4.27893,151.723
