+------------------------------------------------------------------------------------------+
|  Inner_Iter|   Time(sec)|    rms[Rho]|     rms[nu]|          CL|          CD|         CMz|
+------------------------------------------------------------------------------------------+
|           0|  2.1285e-01|   -4.014807|  -10.671371|    5.140409|    1.743516|    1.494423|
|           1|  2.1191e-01|   -4.860925|  -10.658655|    4.037237|    1.517434|    1.209291|
|           2|  2.0879e-01|   -4.791548|  -10.891727|    3.266027|    1.220667|    0.967991|
|           3|  2.0729e-01|   -4.823693|  -10.877955|    2.884427|    1.037444|    0.823157|
|           4|  2.0858e-01|   -4.908024|  -10.871847|    2.612448|    0.894386|    0.693589|
|           5|  2.0793e-01|   -4.980630|  -10.873849|    2.356707|    0.758645|    0.552872|
|           6|  2.0872e-01|   -5.026451|  -10.867061|    2.098331|    0.624137|    0.401976|
|           7|  2.0909e-01|   -5.048475|  -10.845280|    1.836925|    0.492496|    0.249893|
|           8|  2.1343e-01|   -5.051807|  -10.812593|    1.575659|    0.366896|    0.106233|
|           9|  2.1554e-01|   -5.043142|  -10.775406|    1.316927|    0.250482|   -0.021553|
|          10|  2.1894e-01|   -5.031688|  -10.735927|    1.063629|    0.146076|   -0.128731|
|          11|  2.3029e-01|   -5.025773|  -10.703509|    0.819568|    0.055629|   -0.213438|
|          12|  2.3137e-01|   -5.029083|  -10.673214|    0.589873|   -0.019853|   -0.275890|
|          13|  2.3054e-01|   -5.040404|  -10.645914|    0.381081|   -0.080018|   -0.317351|
|          14|  2.2958e-01|   -5.056326|  -10.624749|    0.201031|   -0.124756|   -0.339319|
|          15|  2.2885e-01|   -5.074017|  -10.610675|    0.058202|   -0.153978|   -0.343246|
|          16|  2.2904e-01|   -5.092605|  -10.604208|   -0.039579|   -0.167686|   -0.330607|
|          17|  2.3158e-01|   -5.112931|  -10.603636|   -0.086430|   -0.166132|   -0.303045|
|          18|  2.3105e-01|   -5.136087|  -10.607086|   -0.079096|   -0.149925|   -0.262460|
|          19|  2.3034e-01|   -5.161420|  -10.612639|   -0.016910|   -0.120018|   -0.211022|
|          20|  2.2980e-01|   -5.185301|  -10.618061|    0.098176|   -0.077785|   -0.151305|
|          21|  2.2919e-01|   -5.201736|  -10.621844|    0.260910|   -0.025275|   -0.086470|
|          22|  2.2861e-01|   -5.205750|  -10.623045|    0.461708|    0.034512|   -0.020290|
|          23|  2.3180e-01|   -5.197384|  -10.621563|    0.687112|    0.097773|    0.043306|
|          24|  2.3198e-01|   -5.182443|  -10.618182|    0.921791|    0.160422|    0.100857|
|          25|  2.3196e-01|   -5.168732|  -10.613877|    1.150686|    0.218609|    0.149733|
|          26|  2.3324e-01|   -5.162322|  -10.609767|    1.360435|    0.269056|    0.188184|
|          27|  2.3363e-01|   -5.166551|  -10.606008|    1.540094|    0.309235|    0.215220|
|          28|  2.3582e-01|   -5.182530|  -10.602401|    1.681503|    0.337440|    0.230480|
|          29|  2.3635e-01|   -5.209682|  -10.597955|    1.779433|    0.352805|    0.234112|
|          30|  2.3583e-01|   -5.245787|  -10.592019|    1.831557|    0.355249|    0.226689|
|          31|  2.3503e-01|   -5.286600|  -10.584236|    1.838219|    0.345354|    0.209119|
|          32|  2.3473e-01|   -5.325600|  -10.574470|    1.802053|    0.324251|    0.182597|
|          33|  2.3421e-01|   -5.355254|  -10.563159|    1.727909|    0.293622|    0.148684|
|          34|  2.3418e-01|   -5.370561|  -10.550835|    1.623162|    0.255798|    0.109475|
|          35|  2.3453e-01|   -5.372693|  -10.537870|    1.497595|    0.213692|    0.067567|
|          36|  2.3446e-01|   -5.368337|  -10.524395|    1.362161|    0.170420|    0.025730|
|          37|  2.3449e-01|   -5.364981|  -10.511028|    1.227437|    0.128892|   -0.013453|
|          38|  2.3429e-01|   -5.367778|  -10.497918|    1.102658|    0.091571|   -0.047764|
|          39|  2.3521e-01|   -5.379339|  -10.484977|    0.995300|    0.060390|   -0.075416|
|          40|  2.3638e-01|   -5.400491|  -10.472018|    0.910862|    0.036694|   -0.095114|
|          41|  2.3627e-01|   -5.430721|  -10.459083|    0.852771|    0.021216|   -0.106110|
|          42|  2.3612e-01|   -5.467977|  -10.446329|    0.822439|    0.014093|   -0.108237|
|          43|  2.3579e-01|   -5.508102|  -10.434087|    0.819544|    0.014948|   -0.101844|
|          44|  2.3550e-01|   -5.544398|  -10.422298|    0.842693|    0.023088|   -0.087629|
|          45|  2.3518e-01|   -5.568744|  -10.410897|    0.890056|    0.037691|   -0.066518|
|          46|  2.3489e-01|   -5.576048|  -10.399740|    0.958969|    0.057689|   -0.039868|
|          47|  2.3602e-01|   -5.568328|  -10.388795|    1.045090|    0.081574|   -0.009663|
|          48|  2.3676e-01|   -5.552836|  -10.378038|    1.142470|    0.107470|    0.021662|
|          49|  2.3665e-01|   -5.537404|  -10.366953|    1.244480|    0.133425|    0.051641|
|          50|  2.3661e-01|   -5.527698|  -10.355133|    1.344728|    0.157660|    0.078120|
|          51|  2.3645e-01|   -5.526888|  -10.342093|    1.437577|    0.178714|    0.099446|
|          52|  2.3643e-01|   -5.536343|  -10.327647|    1.518427|    0.195498|    0.114544|
|          53|  2.3760e-01|   -5.556251|  -10.311790|    1.583852|    0.207310|    0.122925|
|          54|  2.3763e-01|   -5.585828|  -10.294509|    1.631674|    0.213814|    0.124642|
|          55|  2.3820e-01|   -5.623113|  -10.275770|    1.660932|    0.215005|    0.120196|
|          56|  2.3843e-01|   -5.664433|  -10.255721|    1.671709|    0.211116|    0.110382|
|          57|  2.3910e-01|   -5.703914|  -10.234410|    1.664795|    0.202512|    0.096132|
|          58|  2.3912e-01|   -5.734278|  -10.211975|    1.641429|    0.189650|    0.078438|
|          59|  2.3975e-01|   -5.750184|  -10.188520|    1.603532|    0.173187|    0.058452|
|          60|  2.3962e-01|   -5.751808|  -10.164228|    1.554130|    0.154091|    0.037538|
|          61|  2.3950e-01|   -5.744445|  -10.139286|    1.497309|    0.133601|    0.017142|
|          62|  2.3929e-01|   -5.735203|  -10.113905|    1.437674|    0.113056|   -0.001414|
|          63|  2.3910e-01|   -5.730052|  -10.088188|    1.379742|    0.093740|   -0.017084|
|          64|  2.3907e-01|   -5.732749|  -10.062295|    1.327504|    0.076764|   -0.029150|
|          65|  2.3923e-01|   -5.745105|  -10.036324|    1.284161|    0.062994|   -0.037217|
|          66|  2.3907e-01|   -5.767478|  -10.010347|    1.251991|    0.053011|   -0.041180|
|          67|  2.3893e-01|   -5.798914|   -9.984407|    1.232301|    0.047098|   -0.041185|
|          68|  2.3947e-01|   -5.836824|   -9.958461|    1.225494|    0.045261|   -0.037568|
|          69|  2.3927e-01|   -5.876332|   -9.932507|    1.231245|    0.047279|   -0.030790|
|          70|  2.3908e-01|   -5.910137|   -9.906442|    1.248722|    0.052778|   -0.021385|
|          71|  2.3953e-01|   -5.930702|   -9.880148|    1.276650|    0.061253|   -0.009978|
|          72|  2.3912e-01|   -5.935128|   -9.853619|    1.313141|    0.072013|    0.002656|
|          73|  2.3871e-01|   -5.927566|   -9.826818|    1.355616|    0.084173|    0.015614|
|          74|  2.3860e-01|   -5.915796|   -9.799751|    1.401075|    0.096749|    0.027975|
|          75|  2.3849e-01|   -5.906822|   -9.772497|    1.446516|    0.108788|    0.038929|
|          76|  2.3836e-01|   -5.905219|   -9.745133|    1.489263|    0.119478|    0.047850|
|          77|  2.3821e-01|   -5.913406|   -9.717730|    1.527135|    0.128195|    0.054326|
|          78|  2.3808e-01|   -5.932319|   -9.690368|    1.558516|    0.134523|    0.058156|
|          79|  2.3802e-01|   -5.961778|   -9.663098|    1.582377|    0.138255|    0.059336|
|          80|  2.3787e-01|   -6.000356|   -9.635946|    1.598263|    0.139376|    0.058031|
|          81|  2.3768e-01|   -6.044690|   -9.608974|    1.606228|    0.138024|    0.054529|
|          82|  2.3748e-01|   -6.088407|   -9.582268|    1.606684|    0.134425|    0.049176|
|          83|  2.3716e-01|   -6.122000|   -9.555800|    1.600185|    0.128831|    0.042315|
|          84|  2.3752e-01|   -6.136548|   -9.529674|    1.587369|    0.121525|    0.034311|
|          85|  2.3758e-01|   -6.130532|   -9.503977|    1.569136|    0.112892|    0.025608|
|          86|  2.3750e-01|   -6.111090|   -9.478705|    1.546808|    0.103440|    0.016740|
|          87|  2.3731e-01|   -6.087946|   -9.453977|    1.522044|    0.093751|    0.008271|
|          88|  2.3731e-01|   -6.068449|   -9.429792|    1.496631|    0.084408|    0.000712|
|          89|  2.3732e-01|   -6.056646|   -9.406186|    1.472273|    0.075931|   -0.005527|
|          90|  2.3735e-01|   -6.054143|   -9.383071|    1.450453|    0.068742|   -0.010168|
|          91|  2.3780e-01|   -6.061000|   -9.360495|    1.432352|    0.063142|   -0.013065|
|          92|  2.3769e-01|   -6.076207|   -9.338325|    1.418814|    0.059309|   -0.014195|
|          93|  2.3762e-01|   -6.097767|   -9.316561|    1.410349|    0.057301|   -0.013635|
|          94|  2.3755e-01|   -6.122610|   -9.295167|    1.407159|    0.057080|   -0.011540|
|          95|  2.3745e-01|   -6.146654|   -9.274037|    1.409196|    0.058528|   -0.008119|
|          96|  2.3735e-01|   -6.165561|   -9.253204|    1.416195|    0.061466|   -0.003624|
|          97|  2.3793e-01|   -6.176430|   -9.232616|    1.427661|    0.065653|    0.001646|
|          98|  2.3793e-01|   -6.179403|   -9.212315|    1.442834|    0.070778|    0.007345|
|          99|  2.3857e-01|   -6.177484|   -9.192229|    1.460703|    0.076468|    0.013098|
|         100|  2.3843e-01|   -6.174803|   -9.172428|    1.480086|    0.082321|    0.018541|
|         101|  2.3828e-01|   -6.175047|   -9.152891|    1.499762|    0.087946|    0.023354|
|         102|  2.3825e-01|   -6.180826|   -9.133574|    1.518581|    0.092997|    0.027288|
|         103|  2.3816e-01|   -6.193646|   -9.114461|    1.535551|    0.097193|    0.030176|
|         104|  2.3822e-01|   -6.214061|   -9.095451|    1.549892|    0.100340|    0.031935|
|         105|  2.3820e-01|   -6.241728|   -9.076563|    1.561059|    0.102326|    0.032559|
|         106|  2.3807e-01|   -6.275253|   -9.057759|    1.568756|    0.103124|    0.032111|
|         107|  2.3787e-01|   -6.311842|   -9.038967|    1.572908|    0.102776|    0.030707|
|         108|  2.3775e-01|   -6.346992|   -9.020221|    1.573615|    0.101375|    0.028491|
|         109|  2.3751e-01|   -6.374903|   -9.001497|    1.571089|    0.099041|    0.025622|
|         110|  2.3793e-01|   -6.390464|   -8.982897|    1.565632|    0.095920|    0.022272|
|         111|  2.3841e-01|   -6.392134|   -8.964403|    1.557662|    0.092192|    0.018634|
|         112|  2.3831e-01|   -6.382895|   -8.946090|    1.547738|    0.088074|    0.014921|
|         113|  2.3825e-01|   -6.368165|   -8.928059|    1.536545|    0.083809|    0.011355|
|         114|  2.3808e-01|   -6.353096|   -8.910340|    1.524822|    0.079641|    0.008142|
|         115|  2.3783e-01|   -6.341244|   -8.893047|    1.513294|    0.075792|    0.005452|
|         116|  2.3759e-01|   -6.334473|   -8.876219|    1.502609|    0.072450|    0.003405|
|         117|  2.3735e-01|   -6.333317|   -8.859859|    1.493300|    0.069750|    0.002072|
|         118|  2.3720e-01|   -6.337369|   -8.843953|    1.485765|    0.067781|    0.001470|
|         119|  2.3709e-01|   -6.345556|   -8.828433|    1.480264|    0.066577|    0.001577|
|         120|  2.3704e-01|   -6.356329|   -8.813198|    1.476926|    0.066133|    0.002335|
|         121|  2.3688e-01|   -6.367861|   -8.798123|    1.475767|    0.066408|    0.003662|
|         122|  2.3679e-01|   -6.378341|   -8.783033|    1.476704|    0.067331|    0.005458|
|         123|  2.3656e-01|   -6.386377|   -8.767799|    1.479567|    0.068810|    0.007607|
|         124|  2.3634e-01|   -6.391382|   -8.752284|    1.484105|    0.070732|    0.009982|
|         125|  2.3654e-01|   -6.393718|   -8.736327|    1.489986|    0.072967|    0.012445|
|         126|  2.3641e-01|   -6.394509|   -8.719799|    1.496813|    0.075369|    0.014858|
|         127|  2.3627e-01|   -6.395223|   -8.702603|    1.504145|    0.077790|    0.017087|
|         128|  2.3620e-01|   -6.397265|   -8.684652|    1.511527|    0.080086|    0.019016|
|         129|  2.3603e-01|   -6.401682|   -8.665854|    1.518522|    0.082126|    0.020549|
