"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    
          0,           0,           0,        -4.0148067,      -16.32728741,      -16.22826364,      -2.563361423,      -10.67137085
          0,           0,           1,      -4.860924656,      -4.206630801,      -3.899128754,      -3.405658358,      -10.65865499
          0,           0,           2,      -4.791548424,      -4.306479339,      -4.252307918,      -3.323645269,      -10.89172667
          0,           0,           3,      -4.823692765,      -4.374657417,      -4.440289843,      -3.360605007,       -10.8779553
          0,           0,           4,      -4.908024411,      -4.398154047,      -4.419851521,      -3.451146823,      -10.87184695
          0,           0,           5,      -4.980629983,        -4.3967703,      -4.416364219,      -3.530838849,      -10.87384891
          0,           0,           6,      -5.026450868,      -4.389912371,      -4.429654767,        -3.5829006,      -10.86706091
          0,           0,           7,      -5.048474854,      -4.387309997,      -4.448268226,      -3.609016414,      -10.84527983
          0,           0,           8,      -5.051807386,      -4.393866621,      -4.471094662,      -3.614555187,       -10.8125932
          0,           0,           9,      -5.043141539,      -4.412009565,      -4.498685577,      -3.606039272,      -10.77540629
          0,           0,          10,      -5.031687608,      -4.441471576,      -4.528525793,      -3.592602491,      -10.73592718
          0,           0,          11,      -5.025772713,      -4.477965751,      -4.555605961,      -3.583297095,      -10.70350939
          0,           0,          12,      -5.029082756,      -4.513190127,      -4.574257264,      -3.583398866,      -10.67321388
          0,           0,          13,      -5.040403626,      -4.537419044,      -4.580508234,      -3.593548788,      -10.64591356
          0,           0,          14,      -5.056325945,      -4.546476777,      -4.575612739,       -3.61107578,      -10.62474925
          0,           0,          15,      -5.074017252,      -4.544371054,      -4.565795545,      -3.632058399,      -10.61067545
          0,           0,          16,       -5.09260542,      -4.537777604,      -4.557125042,      -3.653723818,      -10.60420789
          0,           0,          17,      -5.112931476,      -4.530883589,      -4.552193464,      -3.675742556,      -10.60363607
          0,           0,          18,      -5.136086815,      -4.525206359,      -4.550781347,      -3.699172935,      -10.60708589
          0,           0,          19,      -5.161420399,      -4.521728901,       -4.55205905,      -3.723961138,       -10.6126391
          0,           0,          20,      -5.185300567,      -4.522049114,      -4.556245815,      -3.747054024,      -10.61806114
          0,           0,          21,      -5.201735597,      -4.528138949,      -4.564813528,      -3.762694717,        -10.621844
          0,           0,          22,      -5.205749623,      -4.541271353,       -4.57939087,      -3.765798272,      -10.62304521
          0,           0,          23,      -5.197383616,      -4.560773818,      -4.600425959,      -3.756548786,      -10.62156308
          0,           0,          24,       -5.18244346,      -4.582848164,      -4.626399749,      -3.741102438,       -10.6181819
          0,           0,          25,      -5.168731649,      -4.600659371,      -4.653649748,      -3.727433631,      -10.61387661
          0,           0,          26,      -5.162322044,      -4.606997294,      -4.677023017,        -3.7215443,      -10.60976733
          0,           0,          27,      -5.166550808,      -4.598997136,       -4.69191746,      -3.726599678,      -10.60600777
          0,           0,          28,      -5.182530382,      -4.580362745,      -4.696952143,      -3.743495352,      -10.60240108
          0,           0,          29,      -5.209682007,       -4.55825303,       -4.69477547,      -3.771362433,      -10.59795535
          0,           0,          30,         -5.245787,      -4.539002898,      -4.690151666,      -3.807554521,        -10.592019
          0,           0,          31,      -5.286599664,      -4.526408384,      -4.687494831,      -3.847229063,      -10.58423582
          0,           0,          32,      -5.325599632,      -4.521950476,      -4.689696785,      -3.883276956,      -10.57447015
          0,           0,          33,      -5.355254081,      -4.525396852,      -4.698151672,      -3.908273809,      -10.56315949
          0,           0,          34,      -5.370560535,      -4.535137481,      -4.713038532,      -3.918654762,      -10.55083468
          0,           0,          35,      -5.372692696,      -4.548400826,      -4.733312166,      -3.917220787,      -10.53786991
          0,           0,          36,      -5.368337157,      -4.561563478,      -4.756862228,      -3.911141302,      -10.52439476
          0,           0,          37,      -5.364981352,       -4.57098726,      -4.780869239,      -3.907498394,      -10.51102797
          0,           0,          38,      -5.367778171,      -4.574315807,       -4.80227892,      -3.910889588,      -10.49791825
          0,           0,          39,      -5.379339431,      -4.571382884,      -4.818555171,      -3.923555314,      -10.48497735
          0,           0,          40,       -5.40049125,      -4.563978085,      -4.828520911,       -3.94613409,      -10.47201828
          0,           0,          41,      -5.430721493,      -4.554726266,      -4.832699109,      -3.978058549,      -10.45908333
          0,           0,          42,      -5.467977062,      -4.545988585,      -4.832875132,      -4.017421595,      -10.44632944
          0,           0,          43,      -5.508102181,      -4.539325375,      -4.831261552,      -4.060255227,      -10.43408694
          0,           0,          44,       -5.54439837,      -4.535469674,      -4.829675778,      -4.099489693,      -10.42229767
          0,           0,          45,      -5.568743519,      -4.534507041,      -4.829303529,      -4.125897096,      -10.41089709
          0,           0,          46,      -5.576047945,      -4.536056103,       -4.83104596,      -4.133269326,      -10.39973953
          0,           0,          47,      -5.568327924,      -4.539404268,      -4.835646721,      -4.123772177,      -10.38879456
          0,           0,          48,      -5.552836309,      -4.543660236,      -4.843225102,      -4.105798748,      -10.37803829
          0,           0,          49,      -5.537404156,      -4.547921662,      -4.853080637,      -4.088060374,      -10.36695268
          0,           0,          50,      -5.527697874,      -4.551440809,      -4.863974191,       -4.07649017,      -10.35513286
          0,           0,          51,      -5.526888046,      -4.553767552,      -4.874480842,      -4.074167627,      -10.34209259
          0,           0,          52,      -5.536343287,      -4.554825565,      -4.883343257,      -4.082239382,      -10.32764716
          0,           0,          53,      -5.556251139,      -4.554876339,      -4.889799615,      -4.100607168,      -10.31179046
          0,           0,          54,      -5.585827808,       -4.55439543,      -4.893764998,      -4.128115714,      -10.29450936
          0,           0,          55,      -5.623113238,      -4.553917093,      -4.895779383,      -4.162315446,      -10.27577019
          0,           0,          56,      -5.664432831,      -4.553901873,      -4.896761927,      -4.198982933,      -10.25572141
          0,           0,          57,      -5.703914085,      -4.554656896,      -4.897703949,      -4.231934729,      -10.23441041
