Point ID,Density,Eddy_Viscosity,Energy,Heat_Flux,Laminar_Viscosity,Mach,Momentum_0,Momentum_1,Momentum_2,Momentum_Magnitude,Nu_Tilde,Points_0,Points_1,Points_2,Points_Magnitude,Pressure,Pressure_Coefficient,Skin_Friction_Coefficient_0,Skin_Friction_Coefficient_1,Skin_Friction_Coefficient_2,Skin_Friction_Coefficient_Magnitude,Temperature,Velocity_0,Velocity_1,Velocity_2,Velocity_Magnitude,Y_Plus
39,0.994494,0,79.216,-0,1.67139e-07,0,0,0,0,0,0,0.6816,-0.0374915,0,0.68263,31.6864,-0.119279,0.00547171,0.000522623,0,0.00549661,1.00365,0,0,0,0,0.530388
40,0.994381,0,79.2034,-0,1.67133e-07,0,0,0,0,0,0,0.664007,-0.0391503,0,0.66516,31.6814,-0.129359,0.0054746,0.000508943,0,0.0054982,1.0036,0,0,0,0,0.53038
41,0.994267,0,79.1906,-0,1.67127e-07,0,0,0,0,0,0,0.646003,-0.0408007,0,0.64729,31.6762,-0.139588,0.00547761,0.000494529,0,0.00549989,1.00355,0,0,0,0,0.530386
42,0.994151,0,79.1776,-0,1.67121e-07,0,0,0,0,0,0,0.627628,-0.0424346,0,0.629061,31.671,-0.149973,0.0054812,0.00047935,0,0.00550212,1.00351,0,0,0,0,0.530427
43,0.994033,0,79.1644,-0,1.67114e-07,0,0,0,0,0,0,0.608923,-0.0440435,0,0.610514,31.6658,-0.160516,0.00548599,0.000463379,0,0.00550553,1.00346,0,0,0,0,0.530533
44,0.993913,0,79.1511,-0,1.67108e-07,0,0,0,0,0,0,0.589933,-0.0456186,0,0.591694,31.6604,-0.17122,0.00549283,0.000446593,0,0.00551095,1.00341,0,0,0,0,0.530744
45,0.993791,0,79.1375,-0,1.67102e-07,0,0,0,0,0,0,0.570705,-0.0471508,0,0.57265,31.655,-0.18208,0.00550267,0.000428964,0,0.00551937,1.00336,0,0,0,0,0.531107
46,0.993668,0,79.1237,-0,1.67095e-07,0,0,0,0,0,0,0.551292,-0.0486309,0,0.553432,31.6495,-0.19309,0.00551655,0.000410449,0,0.00553179,1.00331,0,0,0,0,0.53167
47,0.993543,0,79.1098,-0,1.67089e-07,0,0,0,0,0,0,0.531744,-0.0500497,0,0.534094,31.6439,-0.204237,0.00553537,0.000390979,0,0.00554916,1.00326,0,0,0,0,0.532476
48,0.993417,0,79.0957,-0,1.67082e-07,0,0,0,0,0,0,0.512117,-0.0513979,0,0.514689,31.6383,-0.215505,0.00555982,0.000370449,0,0.00557215,1.00321,0,0,0,0,0.533559
49,0.99329,0,79.0815,-0,1.67075e-07,0,0,0,0,0,0,0.492465,-0.0526668,0,0.495273,31.6326,-0.226872,0.00559024,0.000348719,0,0.00560111,1.00316,0,0,0,0,0.534932
50,0.993162,0,79.0672,-0,1.67069e-07,0,0,0,0,0,0,0.472843,-0.0538478,0,0.4759,31.6269,-0.238311,0.00562658,0.000325611,0,0.005636,1.00311,0,0,0,0,0.536591
51,0.993033,0,79.0528,-0,1.67062e-07,0,0,0,0,0,0,0.453308,-0.0549329,0,0.456624,31.6211,-0.249792,0.00566845,0.000300928,0,0.00567643,1.00305,0,0,0,0,0.538517
52,0.992905,0,79.0385,-0,1.67055e-07,0,0,0,0,0,0,0.433912,-0.0559146,0,0.4375,31.6154,-0.261278,0.00571517,0.00027446,0,0.00572175,1.003,0,0,0,0,0.540674
53,0.992777,0,79.0242,-0,1.67048e-07,0,0,0,0,0,0,0.414709,-0.0567865,0,0.418579,31.6097,-0.272728,0.00576587,0.000246004,0,0.00577112,1.00295,0,0,0,0,0.543022
54,0.99265,0,79.01,-0,1.67042e-07,0,0,0,0,0,0,0.395749,-0.0575429,0,0.39991,31.604,-0.284096,0.00581965,0.00021537,0,0.00582364,1.0029,0,0,0,0,0.545516
