"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    
          0,           0,          63,      -4.174955426,      -3.420977775,      -3.442778209,       -2.12600848,      -10.37428155
          0,           0,          64,      -4.169684652,      -3.415259498,      -3.438527596,      -2.120707244,      -10.36495807
          0,           0,          65,      -4.164439585,      -3.409535128,      -3.434091117,      -2.115434643,       -10.3558451
          0,           0,          66,      -4.159231654,      -3.403789338,      -3.429456624,      -2.110202785,      -10.34693365
          0,           0,          67,      -4.154074721,      -3.398007013,      -3.424615859,      -2.105026172,      -10.33815113
          0,           0,          68,      -4.148983705,      -3.392175418,       -3.41956448,      -2.099920327,      -10.32950204
          0,           0,          69,      -4.143973228,      -3.386285629,      -3.414301868,      -2.094900441,      -10.32104356
          0,           0,          70,      -4.139056509,      -3.380333295,      -3.408830826,      -2.089980245,      -10.31279658
          0,           0,          71,      -4.134244575,      -3.374318811,      -3.403157249,      -2.085171249,      -10.30475743
          0,           0,          72,      -4.129545692,      -3.368247017,      -3.397289652,      -2.080482134,      -10.29691951
          0,           0,          73,      -4.124965182,       -3.36212664,      -3.391238785,      -2.075918596,       -10.2892436
          0,           0,          74,      -4.120505311,       -3.35596952,      -3.385017219,      -2.071483202,      -10.28174231
          0,           0,          75,      -4.116165483,      -3.349789853,      -3.378639049,      -2.067175604,      -10.27441238
          0,           0,          76,      -4.111942362,      -3.343603371,      -3.372119617,      -2.062992632,      -10.26727063
          0,           0,          77,      -4.107830197,      -3.337426678,      -3.365475401,      -2.058928641,      -10.26032772
          0,           0,          78,      -4.103821016,      -3.331276639,       -3.35872392,      -2.054975677,      -10.25355517
          0,           0,          79,      -4.099904953,      -3.325169872,      -3.351883741,      -2.051123835,       -10.2469516
          0,           0,          80,      -4.096070496,      -3.319122311,      -3.344974471,       -2.04736148,      -10.24053011
          0,           0,          81,      -4.092304856,      -3.313148815,      -3.338016754,      -2.043675641,      -10.23425628
          0,           0,          82,      -4.088594259,      -3.307262839,      -3.331032152,      -2.040052286,      -10.22816685
          0,           0,          83,      -4.084924361,      -3.301476143,      -3.324042962,      -2.036476756,      -10.22221095
          0,           0,          84,      -4.081280621,      -3.295798522,      -3.317071894,       -2.03293413,      -10.21634405
          0,           0,          85,      -4.077648761,      -3.290237609,      -3.310141706,      -2.029409693,      -10.21060712
          0,           0,          86,      -4.074015163,      -3.284798718,      -3.303274745,       -2.02588933,      -10.20498885
          0,           0,          87,       -4.07036729,      -3.279484797,      -3.296492491,      -2.022359947,      -10.19948617
          0,           0,          88,       -4.06669402,       -3.27429647,      -3.289815117,      -2.018809817,      -10.19407576
          0,           0,          89,      -4.062985922,      -3.269232206,      -3.283261117,      -2.015228845,      -10.18876482
          0,           0,          90,      -4.059235435,      -3.264288571,      -3.276847005,      -2.011608768,      -10.18345054
          0,           0,          91,      -4.055436932,      -3.259460599,      -3.270587146,      -2.007943215,       -10.1781588
          0,           0,          92,      -4.051586738,      -3.254742232,      -3.264493684,      -2.004227751,      -10.17289076
          0,           0,          93,      -4.047683003,      -3.250126771,      -3.258576574,       -2.00045975,      -10.16763655
          0,           0,          94,      -4.043725588,      -3.245607353,      -3.252843706,      -1.996638309,      -10.16240832
          0,           0,          95,       -4.03971583,       -3.24117738,      -3.247301108,      -1.992764012,      -10.15718235
          0,           0,          96,      -4.035656384,      -3.236830884,      -3.241953167,      -1.988838808,      -10.15193127
          0,           0,          97,      -4.031550986,      -3.232562783,      -3.236802855,      -1.984865767,      -10.14663487
          0,           0,          98,      -4.027404319,      -3.228369048,      -3.231851942,      -1.980848985,      -10.14124558
          0,           0,          99,      -4.023221854,      -3.224246719,      -3.227101159,      -1.976793414,      -10.13576745
          0,           0,         100,      -4.019009748,      -3.220193819,      -3.222550318,       -1.97270479,      -10.13025672
          0,           0,         101,      -4.014774768,      -3.216209149,      -3.218198364,      -1.968589556,      -10.12468104
          0,           0,         102,      -4.010524207,      -3.212292006,      -3.214043384,      -1.964454785,      -10.11906856
          0,           0,         103,       -4.00626584,      -3.208441842,      -3.210082552,      -1.960308143,      -10.11345996
          0,           0,         104,      -4.002007833,      -3.204657897,      -3.206312046,      -1.956157795,      -10.10782941
          0,           0,         105,      -3.997758663,      -3.200938852,      -3.202726943,      -1.952012325,      -10.10209368
          0,           0,         106,      -3.993526998,      -3.197282509,      -3.199321111,       -1.94788061,      -10.09625056
          0,           0,         107,      -3.989321564,      -3.193685566,      -3.196087137,      -1.943771673,      -10.09032805
          0,           0,         108,      -3.985150976,      -3.190143487,      -3.193016267,      -1.939694507,      -10.08438119
          0,           0,         109,      -3.981023566,      -3.186650494,      -3.190098425,      -1.935657881,      -10.07844038
          0,           0,         110,       -3.97694718,      -3.183199702,      -3.187322257,      -1.931670119,      -10.07249993
          0,           0,         111,      -3.972929011,      -3.179783375,      -3.184675275,      -1.927738911,      -10.06658072
          0,           0,         112,      -3.968975424,      -3.176393311,      -3.182144063,      -1.923871113,      -10.06074729
          0,           0,         113,      -3.965091798,      -3.173021316,      -3.179714521,      -1.920072553,      -10.05488362
          0,           0,         114,      -3.961282454,      -3.169659745,      -3.177372224,      -1.916347952,      -10.04893525
          0,           0,         115,      -3.957550553,      -3.166302058,      -3.175102763,      -1.912700775,      -10.04294756
          0,           0,         116,      -3.953898104,      -3.162943366,      -3.172892145,      -1.909133226,       -10.0369329
          0,           0,         117,      -3.950325991,      -3.159580881,      -3.170727202,      -1.905646263,      -10.03098766
          0,           0,         118,      -3.946834024,      -3.156214266,      -3.168595924,      -1.902239615,      -10.02516442
          0,           0,         119,      -3.943421088,      -3.152845822,      -3.166487836,      -1.898911954,      -10.01947892
          0,           0,         120,      -3.940085256,      -3.149480481,      -3.164394208,      -1.895660989,      -10.01393546
          0,           0,         121,      -3.936823961,      -3.146125613,      -3.162308236,      -1.892483659,      -10.00845828
          0,           0,         122,       -3.93363418,      -3.142790624,      -3.160225108,      -1.889376348,      -10.00277519
          0,           0,         123,      -3.930512592,      -3.139486374,      -3.158141936,      -1.886335065,      -9.997156828
          0,           0,         124,      -3.927455749,      -3.136224431,      -3.156057601,      -1.883355666,      -9.991675352
          0,           0,         125,      -3.924460229,      -3.133016221,      -3.153972474,      -1.880434045,      -9.986317594
          0,           0,         126,      -3.921522743,      -3.129872095,      -3.151888037,      -1.877566302,      -9.981114843
          0,           0,         127,      -3.918640238,      -3.126800402,      -3.149806434,       -1.87474889,      -9.976108953
          0,           0,         128,      -3.915809953,       -3.12380661,      -3.147729979,      -1.871978721,      -9.971298496
          0,           0,         129,      -3.913029454,      -3.120892518,      -3.145660621,      -1.869253235,       -9.96649231
          0,           0,         130,      -3.910296627,      -3.118055663,      -3.143599436,      -1.866570425,      -9.961614255
