"Time_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    ,    "RefForce"    ,       "CD"       ,       "CL"       ,       "CSF"      ,       "CMx"      ,       "CMy"      ,       "CMz"      ,       "CFx"      ,       "CFy"      ,       "CFz"      ,      "CEff"      ,     "Buffet"     ,   "relrms[Rho]"  ,  "relrms[RhoU]"  ,  "relrms[RhoV]"  ,  "relrms[RhoE]"  ,   "relrms[nu]"   , "tavg[RefForce]" ,    "tavg[CD]"    ,    "tavg[CL]"    ,    "tavg[CSF]"   ,    "tavg[CMx]"   ,    "tavg[CMy]"   ,    "tavg[CMz]"   ,    "tavg[CFx]"   ,    "tavg[CFy]"   ,    "tavg[CFz]"   ,   "tavg[CEff]"   ,  "tavg[Buffet]"  ,"Cauchy[tavg[CD]]","Cauchy[tavg[CL]]"
        510,           9,      -8.338949691,      -4.549539289,      -5.225169985,       -2.57687273,      -3.768990114,      0.9329898399,      0.3495519954,      0.8758767538,                 0,                 0,                 0,      0.1177420262,     0.07819665598,      0.9398042181,                 0,       2.505712356,      0.7436158993,       -3.03543191,      -1.976253646,      -2.782852909,      -2.766006296,      -2.702118224,      0.8481725818,      0.2916638312,      0.6658027007,                 0,                 0,                 0,     0.05706718087,     0.08425763831,      0.7219845407,                 0,       2.073877609,      0.7245507684,     0.03743616896,      0.0830768964
        511,           9,      -8.421890244,      -4.475558279,      -5.166135851,      -2.581806924,      -3.608738836,      0.9329898399,      0.3546274867,      0.9008801819,                 0,                 0,                 0,      0.1264973906,     0.07574007755,      0.9651990453,                 0,       2.540356334,      0.7782145736,      -3.118972834,      -1.901901732,      -2.721244121,      -2.770946797,      -2.542890092,      0.8552406866,      0.2966080796,      0.6841100684,                 0,                 0,                 0,     0.06259098671,     0.08363329029,      0.7409375219,                 0,       2.112513794,      0.7245461811,      0.0379305938,     0.08490763317
        512,           9,      -8.392840268,      -4.429111483,      -5.086230929,      -2.570013118,      -3.495049143,      0.9329898399,      0.3589314471,       0.921382812,                 0,                 0,                 0,       0.133136666,     0.07386158644,      0.9860641642,                 0,       2.567016124,      0.7459121453,      -3.089763663,      -1.854928395,       -2.63947516,      -2.758751051,      -2.429790456,      0.8612213907,      0.3012787873,      0.7019764885,                 0,                 0,                 0,     0.06815850404,     0.08287627458,      0.7593888472,                 0,       2.148661081,      0.7249607093,     0.01128046465,     0.02959403175
        513,           9,      -8.384000462,      -4.401638111,      -5.096950831,      -2.550945516,      -3.456566288,      0.9329898399,      0.3623215981,       0.937003716,                 0,                 0,                 0,      0.1375071255,     0.07253649365,       1.001993693,                 0,       2.586110574,      0.7459121453,      -3.080300794,      -1.826963812,       -2.64922866,      -2.739222395,       -2.39132566,      0.8663477085,      0.3057184995,       0.719420152,                 0,                 0,                 0,      0.0737109377,     0.08202195887,      0.7773683517,                 0,       2.182654887,      0.7255063948,    0.007589542949,     0.02309008494
        514,           9,      -8.356101984,      -4.388593048,      -5.057254145,      -2.525133847,      -3.447435183,      0.9329898399,      0.3646123756,      0.9467825261,                 0,                 0,                 0,      0.1392985872,     0.07186812773,       1.012014974,                 0,       2.596682366,        0.74387735,      -3.051878834,       -1.81367169,      -2.609134217,      -2.713216881,      -2.381404748,      0.8707905173,      0.3099488548,      0.7364031577,                 0,                 0,                 0,     0.07918594748,     0.08110211739,       0.794846117,                 0,       2.214673492,      0.7260773572,    0.006366891429,     0.02078471211
        515,           9,      -8.330206744,      -4.387595492,      -5.051725252,       -2.50496842,      -3.462124269,      0.9329898399,      0.3657208933,      0.9501193249,                 0,                 0,                 0,      0.1383662763,     0.07195262294,        1.01553007,                 0,        2.59793559,      0.7486881119,       -3.02601553,       -1.81269509,      -2.603339662,      -2.693262704,      -2.395696422,      0.8746779749,      0.3139776308,       0.752848852,                 0,                 0,                 0,     0.08451815938,      0.0801465993,      0.8117511128,                 0,       2.244787472,      0.7265629967,     0.00561234929,     0.01939004747
        516,           9,      -8.284942326,      -4.411263379,      -4.942148781,      -2.512595612,      -3.475164683,      0.9329898399,      0.3652722727,      0.9456350138,                 0,                 0,                 0,      0.1340373633,     0.07283469054,       1.011110538,                 0,       2.588849701,      0.7419752941,      -2.981405673,      -1.836433483,      -2.493258731,      -2.701418147,      -2.409753466,      0.8781080846,      0.3178034506,      0.7686566404,                 0,                 0,                 0,     0.08964101665,     0.07918349896,      0.8279867375,                 0,       2.272999471,      0.7268817687,    0.005100599577,     0.01844115338
        517,           9,      -8.290489811,      -4.410814743,      -4.953650479,      -2.505205496,      -3.456645551,      0.9329898399,       0.362984286,      0.9327771057,                 0,                 0,                 0,      0.1259388352,     0.07440596651,      0.9981455169,                 0,       2.569745142,      0.7424056391,      -2.987789286,      -1.835955223,      -2.503998737,      -2.694512494,      -2.392711898,       0.881157071,      0.3214189255,      0.7837128098,                 0,                 0,                 0,     0.09448890475,     0.07823899692,      0.8434420865,                 0,       2.299271851,      0.7270148867,    0.004722464518,     0.01770387164
        518,           9,      -8.283498137,      -4.387635361,      -4.936292886,      -2.471922365,      -3.416253787,      0.9329898399,      0.3595322851,      0.9138152074,                 0,                 0,                 0,      0.1158590881,     0.07664872416,       0.979002896,                 0,       2.541677744,      0.7424056391,      -2.981214543,       -1.81284645,      -2.486227246,      -2.661273104,      -2.353928139,      0.8838851115,      0.3248124729,      0.7978968347,                 0,                 0,                 0,     0.09899821992,     0.07733725491,      0.8579985142,                 0,        2.32354351,      0.7269889458,    0.004419949872,     0.01705260501
        519,           9,      -8.307774812,       -4.37615869,      -4.967088538,      -2.467738044,      -3.369779504,      0.9329898399,      0.3547650272,      0.8886371707,                 0,                 0,                 0,      0.1038304069,     0.07945111825,      0.9535312084,                 0,       2.504861254,      0.7371319661,       -3.00521657,      -1.801920258,      -2.517576114,       -2.65669075,      -2.308816844,      0.8863403479,      0.3279691669,      0.8110847727,                 0,                 0,                 0,      0.1031074142,      0.0765002364,        0.87153313,                 0,       2.345740478,      0.7268452832,    0.004159695788,     0.01641263615
