"VARIABLE"      , "GRADIENT"      , "FINDIFF_STEP"  
0               , -0.351461       , 0.001           
1               , -0.23351        , 0.001           
2               , -0.132852       , 0.001           
3               , -0.0606965      , 0.001           
4               , -0.0197113      , 0.001           
5               , -0.00988889     , 0.001           
6               , -0.0280828      , 0.001           
7               , -0.0670109      , 0.001           
8               , -0.115403       , 0.001           
9               , -0.160222       , 0.001           
10              , -0.190922       , 0.001           
11              , -0.204184       , 0.001           
12              , -0.206008       , 0.001           
13              , -0.208438       , 0.001           
14              , -0.222022       , 0.001           
15              , -0.2508         , 0.001           
16              , -0.2968         , 0.001           
17              , -0.372921       , 0.001           
18              , -0.536056       , 0.001           
19              , 0.0908286       , 0.001           
20              , 0.724562        , 0.001           
21              , 1.05536         , 0.001           
22              , 1.13174         , 0.001           
23              , 1.02088         , 0.001           
24              , 0.792792        , 0.001           
25              , 0.510743        , 0.001           
26              , 0.225619        , 0.001           
27              , -0.0254433      , 0.001           
28              , -0.216972       , 0.001           
29              , -0.331554       , 0.001           
30              , -0.357692       , 0.001           
31              , -0.292478       , 0.001           
32              , -0.150656       , 0.001           
33              , 0.0254315       , 0.001           
34              , 0.173913        , 0.001           
35              , 0.259297        , 0.001           
36              , 0.318685        , 0.001           
37              , 0.444198        , 0.001           
