"Time_Iter","Outer_Iter","Inner_Iter",   "rms[A_Rho]"   ,   "rms[A_RhoU]"  ,   "rms[A_RhoV]"  ,    "rms[A_E]"    
          0,           0,           0,      -4.284040173,      -4.029784673,      -4.507506979,      -3.976261653
          0,           0,           1,       -3.86047509,      -3.756160974,      -3.727464344,       -4.19991277
          0,           0,           2,      -3.568795142,      -3.477448809,      -3.602308632,      -4.045290368
          0,           0,           3,      -3.552547566,      -3.423940595,      -3.682052487,      -4.049444483
          0,           0,           4,      -3.473091689,      -3.300610555,      -3.651389926,       -3.99208377
          0,           0,           5,      -3.487125474,      -3.276508972,      -3.692147484,      -3.988421072
          0,           0,           6,      -3.493682566,      -3.258013278,      -3.705741166,      -3.954388841
          0,           0,           7,      -3.513449576,      -3.254156589,      -3.713100035,      -3.929110051
          0,           0,           8,       -3.54243214,      -3.266912299,      -3.741028098,      -3.945724277
          0,           0,           9,      -3.571189473,      -3.291290239,      -3.770102691,      -3.977463943
          0,           0,          10,      -3.596784227,      -3.321579951,      -3.799425389,      -4.003661755
          0,           0,          11,      -3.623539529,      -3.357824391,       -3.82899158,      -4.034177417
          0,           0,          12,      -3.652932121,      -3.401264107,      -3.856091342,      -4.072976723
          0,           0,          13,      -3.681867199,      -3.445954478,      -3.881061695,       -4.11320799
          0,           0,          14,      -3.702758963,      -3.484308633,      -3.901535623,      -4.147846656
          0,           0,          15,      -3.710104468,      -3.510739369,      -3.916460748,      -4.175265735
          0,           0,          16,        -3.7075471,      -3.524869965,      -3.929122355,      -4.195596472
          0,           0,          17,      -3.703104715,      -3.531755491,      -3.944482037,      -4.210999463
          0,           0,          18,      -3.703475085,      -3.538131757,       -3.96648822,      -4.226056301
          0,           0,          19,      -3.713050657,      -3.549311892,      -3.995666988,       -4.24543928
          0,           0,          20,      -3.733518477,      -3.567861398,       -4.02909707,      -4.271241716
          0,           0,          21,      -3.763867839,      -3.593832546,      -4.062302016,      -4.302676135
          0,           0,          22,      -3.801055305,       -3.62582816,      -4.091218905,      -4.337142271
          0,           0,          23,      -3.840980122,      -3.662026172,       -4.11418422,      -4.371750791
          0,           0,          24,      -3.879714823,      -3.700753604,      -4.133849757,      -4.405249625
          0,           0,          25,      -3.912915428,      -3.739218168,       -4.15202224,      -4.434931729
          0,           0,          26,      -3.942097212,      -3.778910946,      -4.172860513,      -4.468132876
          0,           0,          27,      -3.972630883,      -3.820877372,      -4.207853475,      -4.506900219
          0,           0,          28,      -4.004494153,      -3.864014657,      -4.248043348,      -4.548534649
          0,           0,          29,      -4.035766595,      -3.903511433,      -4.295510786,      -4.593111702
          0,           0,          30,      -4.068306878,       -3.93803096,      -4.349060501,      -4.635053218
          0,           0,          31,      -4.102150796,       -3.96814965,      -4.398922418,      -4.672256273
          0,           0,          32,      -4.136051409,      -3.994612787,      -4.440458531,      -4.704200135
          0,           0,          33,      -4.170751609,      -4.020949698,      -4.472549099,      -4.732245819
          0,           0,          34,       -4.20340041,      -4.046959923,      -4.492627885,      -4.752873887
          0,           0,          35,      -4.234322462,      -4.077566501,      -4.509849351,      -4.782270588
          0,           0,          36,      -4.266286332,      -4.112772388,      -4.535713367,      -4.813886285
          0,           0,          37,      -4.298934053,      -4.153094415,       -4.56287764,      -4.849563244
          0,           0,          38,      -4.326507883,      -4.190167333,      -4.597452921,      -4.889551224
          0,           0,          39,      -4.351833297,       -4.21974978,      -4.642315895,      -4.926247194
          0,           0,          40,       -4.37724115,      -4.241872024,      -4.689381764,      -4.958767615
          0,           0,          41,      -4.403174556,      -4.256919876,      -4.735805593,      -4.986347187
          0,           0,          42,      -4.432732207,      -4.269618642,      -4.779564386,      -5.008992591
          0,           0,          43,      -4.467749014,      -4.285154717,      -4.813761606,      -5.030787702
          0,           0,          44,      -4.498073484,      -4.297571913,      -4.820756837,      -5.029560212
