,Points_0,Pressure_Coefficient,,,,,,x/c,Cp
1,0.95194,0.20455,,,,,,-0.04806,0.20455
1,0.93754,0.170649,,,,,,-0.06246,0.170649
1,0.9214,0.138813,,,,,,-0.0786,0.138813
1,0.90358,0.108614,,,,,,-0.09642,0.108614
1,0.88415,0.0797761,,,,,,-0.11585,0.0797761
1,0.86318,0.0520269,,,,,,-0.13682,0.0520269
1,0.84077,0.0250994,,,,,,-0.15923,0.0250994
1,0.81701,-0.00121788,,,,,,-0.18299,-0.00121788
1,0.79197,-0.0270574,,,,,,-0.20803,-0.0270574
1,0.76578,-0.0525271,,,,,,-0.23422,-0.0525271
1,0.73852,-0.0780534,,,,,,-0.26148,-0.0780534
1,0.71032,-0.103756,,,,,,-0.28968,-0.103756
1,0.68127,-0.129706,,,,,,-0.31873,-0.129706
1,0.6515,-0.156155,,,,,,-0.3485,-0.156155
1,0.62113,-0.183321,,,,,,-0.37887,-0.183321
1,0.59028,-0.211412,,,,,,-0.40972,-0.211412
1,0.55906,-0.240494,,,,,,-0.44094,-0.240494
1,0.52761,-0.270511,,,,,,-0.47239,-0.270511
1,0.49605,-0.301108,,,,,,-0.50395,-0.301108
1,0.46451,-0.333,,,,,,-0.53549,-0.333
1,0.43311,-0.369711,,,,,,-0.56689,-0.369711
1,0.40197,-0.382728,,,,,,-0.59803,-0.382728
1,0.37123,-0.392666,,,,,,-0.62877,-0.392666
1,0.34099,-0.549204,,,,,,-0.65901,-0.549204
1,0.3114,-0.650202,,,,,,-0.6886,-0.650202
1,0.28255,-0.638411,,,,,,-0.71745,-0.638411
1,0.25457,-0.619189,,,,,,-0.74543,-0.619189
1,0.22757,-0.597697,,,,,,-0.77243,-0.597697
1,0.20166,-0.571578,,,,,,-0.79834,-0.571578
1,0.17693,-0.541372,,,,,,-0.82307,-0.541372
1,0.15349,-0.502872,,,,,,-0.84651,-0.502872
1,0.13144,-0.457591,,,,,,-0.86856,-0.457591
1,0.11085,-0.406249,,,,,,-0.88915,-0.406249
1,0.09181,-0.346264,,,,,,-0.90819,-0.346264
1,0.0744,-0.276273,,,,,,-0.9256,-0.276273
1,0.05869,-0.193951,,,,,,-0.94131,-0.193951
1,0.04474,-0.0953707,,,,,,-0.95526,-0.0953707
1,0.0326,0.026285,,,,,,-0.9674,0.026285
1,0.02232,0.180231,,,,,,-0.97768,0.180231
1,0.01395,0.379065,,,,,,-0.98605,0.379065
1,0.00752,0.631754,,,,,,-0.99248,0.631754
1,0.00305,0.919769,,,,,,-0.99695,0.919769
1,0.00056,1.14686,,,,,,-0.99944,1.14686
1,0,1.12575,,,,,,-1,1.12575
1,0.00056,0.998612,,,,,,-0.99944,0.998612
1,0.00305,0.597543,,,,,,-0.99695,0.597543
1,0.00752,0.229957,,,,,,-0.99248,0.229957
1,0.01395,-0.0481752,,,,,,-0.98605,-0.0481752
1,0.02232,-0.246499,,,,,,-0.97768,-0.246499
1,0.0326,-0.390214,,,,,,-0.9674,-0.390214
1,0.04474,-0.498954,,,,,,-0.95526,-0.498954
1,0.05869,-0.584173,,,,,,-0.94131,-0.584173
