"Time_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    ,    "RefForce"    ,       "CD"       ,       "CL"       ,       "CSF"      ,       "CMx"      ,       "CMy"      ,       "CMz"      ,       "CFx"      ,       "CFy"      ,       "CFz"      ,      "CEff"      ,     "Buffet"     ,   "relrms[Rho]"  ,  "relrms[RhoU]"  ,  "relrms[RhoV]"  ,  "relrms[RhoE]"  ,   "relrms[nu]"   , "tavg[RefForce]" ,    "tavg[CD]"    ,    "tavg[CL]"    ,    "tavg[CSF]"   ,    "tavg[CMx]"   ,    "tavg[CMy]"   ,    "tavg[CMz]"   ,    "tavg[CFx]"   ,    "tavg[CFy]"   ,    "tavg[CFz]"   ,   "tavg[CEff]"   ,  "tavg[Buffet]"  ,"Cauchy[tavg[CD]]","Cauchy[tavg[CL]]"
         12,           9,      -7.395732938,      -4.465555829,      -4.600135347,      -1.907400782,      -3.659065975,      0.9329898399,      0.3220686709,       1.185525121,                 0,                 0,                 0,     0.04129439871,       0.196383226,       1.212696033,                 0,       3.680970016,      0.5764561492,     -0.6885836747,     -0.4612685261,     -0.4601037011,     -0.6761501297,       -1.26831301,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         13,           9,      -7.396490725,      -4.467291631,      -4.621499608,      -1.920508549,      -3.627835222,      0.9329898399,      0.3374302472,       1.255078819,                 0,                 0,                 0,     0.05260933214,      0.2043903088,       1.283474431,                 0,       3.719520787,      0.7503366228,     -0.6576113632,     -0.4356575711,     -0.4923163914,     -0.6516148911,       -1.25056122,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         14,           9,      -7.444323063,      -4.462339467,      -4.648340341,       -1.96955628,      -3.600690317,      0.9329898399,      0.3493383606,       1.312311428,                 0,                 0,                 0,     0.06090898204,      0.2102507516,       1.341638251,                 0,       3.756562622,      0.9686102676,     -0.6252567887,      -0.428931403,     -0.4933772459,      -0.623390545,       -1.23784627,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         15,           9,       -7.52901355,      -4.451387998,      -4.669658597,      -2.038306489,      -3.571263499,      0.9329898399,      0.3532303929,       1.344033702,                 0,                 0,                 0,     0.06533320507,      0.2108055824,       1.373593575,                 0,       3.804977513,      0.9815882579,     -0.6215297637,      -0.430160485,     -0.5009086339,     -0.6095700124,      -1.224414129,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         16,           9,      -7.592483418,      -4.434649438,       -4.68222195,      -2.068854581,      -3.540873722,      0.9329898399,      0.3507842022,       1.353248095,                 0,                 0,                 0,     0.06736548255,      0.2074096258,       1.382501794,                 0,       3.857779474,      0.9892241662,     -0.6700478687,     -0.4490534376,     -0.5137797111,     -0.6288073464,       -1.20891651,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         17,           9,      -7.648467971,      -4.414753396,      -4.684479862,      -2.098195541,      -3.584009712,      0.9329898399,      0.3464312531,       1.352303425,                 0,                 0,                 0,     0.07028647024,      0.2031792675,       1.381107292,                 0,       3.903526063,      0.9957122899,     -0.6890746255,      -0.480683815,     -0.4963282099,     -0.6434644134,       -1.26448302,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         18,           9,      -7.598507293,      -4.393203864,      -4.673896563,      -2.068221072,      -3.564452347,      0.9329898399,       0.343535644,       1.352861837,                 0,                 0,                 0,     0.07752659229,       0.200241151,       1.381359971,                 0,       3.938053766,       1.005152789,     -0.5415398346,     -0.5078471498,     -0.4641388439,     -0.5621370809,      -1.254910942,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         19,           9,      -7.567926319,       -4.37120542,      -4.655624924,      -2.065706574,      -3.526179608,      0.9329898399,       0.343107158,       1.359751495,                 0,                 0,                 0,     0.09051730919,      0.1990948469,       1.388167098,                 0,       3.963051959,       1.007694233,      -0.479679841,     -0.5367611928,     -0.4524027605,     -0.5681718654,       -1.22354144,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         20,           9,       -7.55516589,      -4.347643583,      -4.641636267,      -2.079497276,      -3.485376507,      0.9329898399,      0.3442627468,       1.371669546,                 0,                 0,                 0,      0.1086637959,      0.1989983298,       1.400140652,                 0,       3.984368213,       1.007756568,     -0.5299412068,     -0.5659318093,     -0.4681241297,     -0.6433119907,      -1.186148774,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         21,           9,      -7.515114038,       -4.32020702,      -4.623974872,      -2.052160075,      -3.434492104,      0.9329898399,      0.3446922399,       1.382078126,                 0,                 0,                 0,      0.1301233202,      0.1983374772,       1.410537107,                 0,        4.00960035,       1.007834522,     -0.5434088498,     -0.5901480678,     -0.4816368431,      -0.668459235,      -1.136455254,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
