"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoW]"   ,    "rms[RhoE]"   ,     "rms[nu]"    
          0,           0,          58,       -6.15948253,      -4.552368173,               -32,      -4.777152753,       -3.89625587,      -10.03514093
          0,           0,          59,        -6.2068557,      -4.544689783,               -32,      -4.777931669,      -3.914634073,      -10.02316948
          0,           0,          60,      -6.208545496,      -4.537418478,               -32,      -4.775988092,      -3.933478794,      -10.01123597
          0,           0,          61,      -6.140749992,      -4.530655292,               -32,      -4.772184143,      -3.952531405,       -9.99938187
          0,           0,          62,      -6.078032127,      -4.524591019,               -32,      -4.767930759,      -3.973988963,      -9.987698575
          0,           0,          63,      -6.059757541,      -4.519269817,               -32,      -4.763522371,      -3.999506114,      -9.976270843
          0,           0,          64,      -6.074911701,      -4.514640448,               -32,      -4.759867727,      -4.026785114,      -9.965133003
          0,           0,          65,       -6.12286311,      -4.510346028,               -32,      -4.756830916,      -4.059620258,      -9.954333125
          0,           0,          66,      -6.203116945,      -4.506034736,               -32,      -4.753953672,      -4.098436694,      -9.943860947
          0,           0,          67,      -6.288412661,      -4.501417356,               -32,      -4.751119259,      -4.141274032,       -9.93381892
          0,           0,          68,      -6.299706578,      -4.496473005,               -32,      -4.748253012,      -4.186350388,      -9.924115349
          0,           0,          69,      -6.190550084,      -4.491269381,               -32,      -4.745136051,      -4.213849311,      -9.914523484
          0,           0,          70,      -6.120424001,      -4.485803054,               -32,      -4.742172987,      -4.221817404,      -9.905084526
          0,           0,          71,      -6.100572515,      -4.480369712,               -32,      -4.739248287,      -4.221822849,      -9.895798688
          0,           0,          72,      -6.112402716,      -4.475025238,               -32,      -4.736038398,      -4.206659836,      -9.886577275
          0,           0,          73,      -6.160827268,      -4.469803262,               -32,      -4.732461421,      -4.188812462,      -9.877427581
          0,           0,          74,      -6.249460106,      -4.464779655,               -32,      -4.728536336,      -4.173185047,      -9.868396876
          0,           0,          75,       -6.32116597,      -4.459945645,               -32,      -4.724746977,      -4.166919106,       -9.85965061
          0,           0,          76,      -6.290750056,       -4.45546412,               -32,      -4.721051375,      -4.168901886,      -9.851161246
          0,           0,          77,      -6.158388026,      -4.451231497,               -32,      -4.717311636,      -4.170951238,      -9.842872818
          0,           0,          78,      -6.094898599,      -4.447292206,               -32,      -4.713786606,      -4.178646367,      -9.834844455
          0,           0,          79,       -6.08045536,       -4.44361959,               -32,      -4.710826066,      -4.195533743,      -9.827070435
          0,           0,          80,      -6.099802643,      -4.440210603,               -32,      -4.707945477,      -4.207739797,      -9.819475083
          0,           0,          81,      -6.149877844,      -4.436976002,               -32,      -4.705199727,      -4.217356548,      -9.812056034
          0,           0,          82,      -6.224325203,      -4.433851056,               -32,      -4.702595275,      -4.222211544,      -9.804774054
          0,           0,          83,      -6.291298357,      -4.430746336,               -32,      -4.700207093,      -4.223923613,      -9.797726774
          0,           0,          84,      -6.285762343,       -4.42766688,               -32,      -4.698218499,      -4.225840861,      -9.790856955
          0,           0,          85,      -6.185519259,       -4.42466614,               -32,       -4.69620252,      -4.218222943,      -9.784058203
          0,           0,          86,      -6.111965297,      -4.421794359,               -32,      -4.694091294,      -4.206396489,      -9.777400917
          0,           0,          87,      -6.111359501,      -4.419100269,               -32,      -4.692430977,      -4.202555149,      -9.770911229
          0,           0,          88,      -6.137270977,       -4.41666115,               -32,      -4.690797358,      -4.195741074,      -9.764554562
          0,           0,          89,      -6.187215989,       -4.41445231,               -32,      -4.689211614,      -4.189147277,      -9.758325752
          0,           0,          90,      -6.244905964,      -4.412430308,               -32,      -4.687764388,      -4.185073455,      -9.752272318
          0,           0,          91,      -6.279593449,      -4.410551213,               -32,      -4.686590472,      -4.187598767,      -9.746456786
          0,           0,          92,       -6.23658693,       -4.40879239,               -32,      -4.685691848,      -4.192039192,       -9.74079005
          0,           0,          93,      -6.136172325,      -4.407140477,               -32,      -4.684839908,      -4.191487483,      -9.735272862
          0,           0,          94,      -6.111920943,      -4.405707606,               -32,      -4.684199487,      -4.194303787,      -9.729981015
          0,           0,          95,      -6.126691709,      -4.404449486,               -32,      -4.683860155,      -4.198078736,      -9.724877962
          0,           0,          96,      -6.163280063,      -4.403365239,               -32,       -4.68359243,      -4.195839422,       -9.71992523
          0,           0,          97,      -6.210650413,       -4.40240404,               -32,      -4.683481015,      -4.191060422,      -9.715120696
          0,           0,          98,      -6.252497659,      -4.401557439,               -32,      -4.683540061,      -4.187242152,      -9.710535433
          0,           0,          99,      -6.260286544,      -4.400820826,               -32,      -4.683806076,      -4.187644799,      -9.706176134
          0,           0,         100,      -6.195307237,       -4.40015659,               -32,      -4.684199395,      -4.185144368,      -9.701950667
          0,           0,         101,      -6.115869099,      -4.399590576,               -32,      -4.684681953,      -4.179271034,      -9.697942251
          0,           0,         102,      -6.111427254,      -4.399273687,               -32,      -4.685364455,      -4.180465621,      -9.694177594
          0,           0,         103,      -6.136799681,      -4.399141169,               -32,       -4.68618128,      -4.180669993,      -9.690608912
          0,           0,         104,      -6.179188242,      -4.399159107,               -32,       -4.68709642,      -4.177679938,       -9.68723111
          0,           0,         105,      -6.224035351,      -4.399299242,               -32,      -4.688186875,      -4.174803963,      -9.684064683
          0,           0,         106,      -6.258733985,      -4.399563308,               -32,      -4.689483936,      -4.176494872,      -9.681169765
          0,           0,         107,      -6.247960581,      -4.399910978,               -32,      -4.690943966,      -4.180953985,      -9.678522046
          0,           0,         108,      -6.169248058,      -4.400285541,               -32,      -4.692486671,      -4.180444437,      -9.676081647
          0,           0,         109,      -6.108297794,      -4.400764818,               -32,      -4.694172963,      -4.178375937,      -9.673874667
          0,           0,         110,      -6.113790051,      -4.401459811,               -32,      -4.696019805,      -4.182813092,      -9.671924546
          0,           0,         111,      -6.144885958,       -4.40229154,               -32,      -4.697915183,      -4.182960932,      -9.670191048
          0,           0,         112,      -6.189791217,      -4.403234245,               -32,      -4.699890267,      -4.179493788,      -9.668664154
          0,           0,         113,       -6.23358084,      -4.404278581,               -32,      -4.702029191,      -4.176199302,      -9.667379043
          0,           0,         114,       -6.26772536,      -4.405426807,               -32,      -4.704392165,       -4.17823431,      -9.666372479
          0,           0,         115,       -6.25713329,      -4.406632669,               -32,      -4.706858651,       -4.18232406,      -9.665611828
          0,           0,         116,      -6.179962779,      -4.407850275,               -32,       -4.70934295,      -4.181595353,      -9.665063579
          0,           0,         117,      -6.113906909,      -4.409152953,               -32,      -4.711964574,      -4.179627542,      -9.664788924
          0,           0,         118,      -6.116441448,      -4.410656521,               -32,      -4.714743596,      -4.185448326,      -9.664757755
          0,           0,         119,      -6.146805352,      -4.412280579,               -32,      -4.717518461,      -4.187856756,       -9.66488312
          0,           0,         120,       -6.19196551,      -4.414002586,               -32,      -4.720313621,      -4.186388971,      -9.665181771
          0,           0,         121,      -6.236521277,      -4.415810979,               -32,      -4.723234161,      -4.184460553,      -9.665664389
          0,           0,         122,      -6.275005622,      -4.417695211,               -32,       -4.72641599,      -4.187387054,      -9.666375463
          0,           0,         123,      -6.278893761,      -4.419604929,               -32,      -4.729710321,      -4.193406274,      -9.667282529
          0,           0,         124,      -6.215328206,      -4.421500797,               -32,      -4.732938587,      -4.194717183,      -9.668326461
          0,           0,         125,       -6.13323291,      -4.423422751,               -32,      -4.736216278,      -4.192123881,      -9.669541886
          0,           0,         126,      -6.122933268,      -4.425508292,               -32,      -4.739714351,      -4.197280179,      -9.670931078
          0,           0,         127,      -6.148048415,      -4.427699929,               -32,      -4.743167388,       -4.20174493,       -9.67245221
          0,           0,         128,      -6.191978184,      -4.429976564,               -32,      -4.746537007,      -4.201191783,      -9.674051943
          0,           0,         129,      -6.239165216,      -4.432331855,               -32,      -4.749928714,      -4.198955324,      -9.675720238
          0,           0,         130,      -6.283249451,      -4.434750855,               -32,      -4.753585078,      -4.200536514,      -9.677464294
          0,           0,         131,      -6.304143022,      -4.437174376,               -32,      -4.757437662,      -4.207427892,       -9.67920767
          0,           0,         132,      -6.259625971,      -4.439562446,               -32,      -4.761159648,      -4.210907815,      -9.680912235
          0,           0,         133,       -6.16774315,      -4.441932839,               -32,      -4.764787444,      -4.208808247,      -9.682582265
          0,           0,         134,      -6.136056764,      -4.444422094,               -32,      -4.768673524,      -4.211522621,      -9.684248164
          0,           0,         135,      -6.153965135,      -4.447003625,               -32,      -4.772589804,      -4.218729633,      -9.685869114
          0,           0,         136,      -6.195153064,      -4.449647493,               -32,      -4.776307924,      -4.219674674,      -9.687378797
          0,           0,         137,      -6.245692873,      -4.452354857,               -32,      -4.779922376,      -4.217443745,      -9.688739607
          0,           0,         138,      -6.295473129,      -4.455112668,               -32,      -4.783741278,      -4.217128923,      -9.689979828
          0,           0,         139,      -6.330618773,      -4.457853484,               -32,      -4.787876313,      -4.223532035,       -9.69108233
          0,           0,         140,      -6.303103799,      -4.460526965,               -32,      -4.791854516,      -4.228064982,      -9.691980174
          0,           0,         141,      -6.211733651,      -4.463145212,               -32,      -4.795603332,      -4.226561387,      -9.692629118
          0,           0,         142,      -6.158586206,      -4.465837294,               -32,      -4.799518571,      -4.225999211,      -9.693071204
          0,           0,         143,      -6.170860052,      -4.468609472,               -32,      -4.803643707,      -4.234382636,       -9.69326966
          0,           0,         144,      -6.209624379,      -4.471418987,               -32,       -4.80745462,      -4.236303557,      -9.693130836
          0,           0,         145,      -6.262925738,      -4.474272129,               -32,      -4.811050067,      -4.234231387,       -9.69259166
          0,           0,         146,      -6.317959663,      -4.477159824,               -32,      -4.814780532,      -4.232954628,      -9.691652594
          0,           0,         147,      -6.361250418,      -4.480009912,               -32,      -4.818913052,      -4.238869666,      -9.690352107
