"PointID","x","y","Density","Momentum_x","Momentum_y","Energy"
0, 9.997500181200000e-01, -3.632992137441646e-05, 1.306918996616726e+00, 7.390454212086099e-01, 1.073951152496435e-01, 3.746554358205630e+00
1, 9.990000128750000e-01, -1.453141166369706e-04, 1.168418028078287e+00, 7.269783674183918e-01, 1.057370746311311e-01, 3.360993544546584e+00
2, 9.977599978450000e-01, -3.257730902026002e-04, 1.158291691017420e+00, 7.790058008939792e-01, 1.137813420922681e-01, 3.342894868486931e+00
3, 9.960200190539999e-01, -5.805710762012425e-04, 1.142956629133324e+00, 8.015200075672346e-01, 1.183282665396203e-01, 3.305254250720955e+00
4, 9.937800168990000e-01, -9.133370209275755e-04, 1.131909169650330e+00, 8.125300929799922e-01, 1.223555881318766e-01, 3.277265704696365e+00
5, 9.910500049590000e-01, -1.328985200024242e-03, 1.124349888099118e+00, 8.230850009490139e-01, 1.276383277622460e-01, 3.258882273877910e+00
6, 9.878399968150000e-01, -1.834474241897159e-03, 1.116469889886678e+00, 8.312744774742303e-01, 1.336388609873013e-01, 3.239216518654253e+00
7, 9.841300249100000e-01, -2.441467631354340e-03, 1.108059297344049e+00, 8.398613077654133e-01, 1.400231559105194e-01, 3.218261916294295e+00
8, 9.799500107769999e-01, -3.149906605450299e-03, 1.098450494554096e+00, 8.492674151063034e-01, 1.458003255073545e-01, 3.194263181857286e+00
9, 9.752799868580000e-01, -3.960822319621241e-03, 1.087712931923977e+00, 8.596039778496480e-01, 1.498322753155126e-01, 3.167412348852710e+00
10, 9.701499938960000e-01, -4.858087192380409e-03, 1.076397911280434e+00, 8.703906335429535e-01, 1.512857847591757e-01, 3.139089171779514e+00
11, 9.645400047300000e-01, -5.827577960040056e-03, 1.065440134293698e+00, 8.807517110620834e-01, 1.499337482459654e-01, 3.111631043653963e+00
12, 9.584699869160000e-01, -6.846419663445007e-03, 1.055863236700166e+00, 8.898261768883468e-01, 1.462999503138466e-01, 3.087622565689508e+00
13, 9.519400000570000e-01, -7.899196109171468e-03, 1.048259480349663e+00, 8.970364013035197e-01, 1.414589538675111e-01, 3.068543543469048e+00
14, 9.449599981310000e-01, -8.976889371821178e-03, 1.042642805560827e+00, 9.023399477466506e-01, 1.366067417804957e-01, 3.054432286775131e+00
15, 9.375399947170000e-01, -1.007923680894491e-02, 1.038514220070475e+00, 9.060978100740422e-01, 1.326382565251975e-01, 3.044030944108409e+00
16, 9.296900033950000e-01, -1.121217286595795e-02, 1.035152990553426e+00, 9.089135613989382e-01, 1.299383346472856e-01, 3.035534108504921e+00
17, 9.214000105860000e-01, -1.238660986209630e-02, 1.031905088340615e+00, 9.113620160272800e-01, 1.284281956648813e-01, 3.027303999334173e+00
18, 9.126999974250000e-01, -1.360638699019173e-02, 1.028360302233790e+00, 9.138436808418766e-01, 1.277462799002475e-01, 3.018316683643608e+00
19, 9.035800099370001e-01, -1.487766915205338e-02, 1.024350708977675e+00, 9.165327855007843e-01, 1.274723222517732e-01, 3.008149049401804e+00
20, 8.940600156780000e-01, -1.619885481852206e-02, 1.019906303875121e+00, 9.194615667375443e-01, 1.272666208035650e-01, 2.996881783460004e+00
21, 8.841500282290000e-01, -1.756705629308013e-02, 1.015137677292084e+00, 9.225461166231211e-01, 1.269221438036252e-01, 2.984788138611771e+00
22, 8.738499879840000e-01, -1.897931207158857e-02, 1.010156074923360e+00, 9.256791241652237e-01, 1.263547605295312e-01, 2.972140127993796e+00
23, 8.631799817090000e-01, -2.042945767727163e-02, 1.005070602639472e+00, 9.288152503864626e-01, 1.255649024704013e-01, 2.959221738811753e+00
24, 8.521599769590000e-01, -2.191154656903341e-02, 9.999086802120281e-01, 9.318837303712443e-01, 1.245769249930512e-01, 2.946089802380158e+00
25, 8.407700061800000e-01, -2.342528832608034e-02, 9.946861622546483e-01, 9.348860874349907e-01, 1.234264482940708e-01, 2.932789015939610e+00
26, 8.290500044819999e-01, -2.496259402962385e-02, 9.893898245217181e-01, 9.378131005925059e-01, 1.221266737992296e-01, 2.919282065165228e+00
27, 8.170099854470000e-01, -2.651943608290814e-02, 9.840040359069698e-01, 9.406809670837640e-01, 1.206790079534505e-01, 2.905531747868955e+00
