"PointID","x","y","Adjoint_Density","Adjoint_Momentum_x","Adjoint_Momentum_y","Adjoint_Energy","Sensitivity_x","Sensitivity_y","Surface_Sensitivity"
0, 9.997500181200000e-01, -3.632896519016437e-05, 7.907130777317612e+00, -1.794268068198265e+01, -1.919214690805176e+00, 3.957623948114904e+00, 0.000000000000000e+00, 0.000000000000000e+00, -1.489588705286998e+01
1, 9.990000128750000e-01, -1.452537504052920e-04, 3.051628023609037e+00, -7.096459238313021e+00, -1.027783409071663e+00, 1.104918426555044e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.175261642843911e+01
2, 9.977599978450000e-01, -3.251111630156300e-04, 2.548610873980824e+00, -5.284531771564331e+00, -1.050088631662047e+00, 8.512482942832327e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.093592796514999e+00
3, 9.960200190539999e-01, -5.769983605901485e-04, 2.158358977298755e+00, -4.296122347332783e+00, -7.836065597451329e-01, 6.924910698155470e-01, 0.000000000000000e+00, 0.000000000000000e+00, 9.060316657312006e-01
4, 9.937800168990000e-01, -9.004365425509819e-04, 1.793306818347079e+00, -3.540328879190981e+00, -6.676370151342509e-01, 5.468639730119704e-01, 0.000000000000000e+00, 0.000000000000000e+00, 7.022337198435737e-01
5, 9.910500049590000e-01, -1.293363843462116e-03, 1.581572297613527e+00, -3.102877992774011e+00, -5.964698242146097e-01, 4.708226261940810e-01, 0.000000000000000e+00, 0.000000000000000e+00, 4.222757539603529e-01
6, 9.878399968150000e-01, -1.753609743384430e-03, 1.424686124901480e+00, -2.788050539361183e+00, -5.418004290013280e-01, 4.167701161084850e-01, 0.000000000000000e+00, 0.000000000000000e+00, 3.156339932078256e-01
7, 9.841300249100000e-01, -2.283176811071472e-03, 1.304600318854214e+00, -2.551444607135987e+00, -5.018527365706653e-01, 3.764733223464812e-01, 0.000000000000000e+00, 0.000000000000000e+00, 2.419848849210544e-01
8, 9.799500107769999e-01, -2.876826092032643e-03, 1.212024974165472e+00, -2.368110210178950e+00, -4.701923778785803e-01, 3.460192596720277e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.896893497430287e-01
9, 9.752799868580000e-01, -3.536324145770189e-03, 1.138307868098772e+00, -2.222017306949902e+00, -4.447569020243137e-01, 3.221309879064114e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.537931264777879e-01
10, 9.701499938960000e-01, -4.256268552403566e-03, 1.078934556869438e+00, -2.103341128402225e+00, -4.234057601955069e-01, 3.030284543423977e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.268109919098207e-01
11, 9.645400047300000e-01, -5.038225493362627e-03, 1.030231733063198e+00, -2.004767770674863e+00, -4.054342552231842e-01, 2.874313516036206e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.066941767763774e-01
12, 9.584699869160000e-01, -5.878077433056352e-03, 9.895177882476612e-01, -1.921472641980770e+00, -3.896944277637499e-01, 2.745169194943413e-01, 0.000000000000000e+00, 0.000000000000000e+00, 9.103338311675986e-02
13, 9.519400000570000e-01, -6.774428848839826e-03, 9.555147403366980e-01, -1.850631976663644e+00, -3.758856218419199e-01, 2.637051683182909e-01, 0.000000000000000e+00, 0.000000000000000e+00, 7.847697572550480e-02
14, 9.449599981310000e-01, -7.724467125531491e-03, 9.266385801605416e-01, -1.789544576669704e+00, -3.634884449221784e-01, 2.545946848078935e-01, 0.000000000000000e+00, 0.000000000000000e+00, 6.841137215111411e-02
15, 9.375399947170000e-01, -8.725349486403867e-03, 9.020974989092736e-01, -1.736619659484438e+00, -3.522198734425365e-01, 2.468521144271868e-01, 0.000000000000000e+00, 0.000000000000000e+00, 6.013226379979487e-02
16, 9.296900033950000e-01, -9.774221272349531e-03, 8.812847081694318e-01, -1.690361957281068e+00, -3.421504471479607e-01, 2.402152574475841e-01, 0.000000000000000e+00, 0.000000000000000e+00, 5.325158216443746e-02
17, 9.214000105860000e-01, -1.087086069705918e-02, 8.629807169904800e-01, -1.649272568826669e+00, -3.324597840086352e-01, 2.345214464583111e-01, 0.000000000000000e+00, 0.000000000000000e+00, 4.769816540874846e-02
18, 9.126999974250000e-01, -1.200973104171110e-02, 8.479198449453118e-01, -1.613758715751231e+00, -3.238115285788779e-01, 2.296210291800073e-01, 0.000000000000000e+00, 0.000000000000000e+00, 4.258926397470366e-02
19, 9.035800099370001e-01, -1.319055953446835e-02, 8.345627915983795e-01, -1.581771201786164e+00, -3.154425549775141e-01, 2.254308732928025e-01, 0.000000000000000e+00, 0.000000000000000e+00, 3.863817420780775e-02
20, 8.940600156780000e-01, -1.440916392228702e-02, 8.234494808136404e-01, -1.553777909084112e+00, -3.077168806367235e-01, 2.217788634597385e-01, 0.000000000000000e+00, 0.000000000000000e+00, 3.496681214118372e-02
21, 8.841500282290000e-01, -1.566269158090452e-02, 8.139047039213461e-01, -1.528757448958435e+00, -3.003767344110688e-01, 2.186829625935633e-01, 0.000000000000000e+00, 0.000000000000000e+00, 3.185186658703565e-02
22, 8.738499879840000e-01, -1.694956337677533e-02, 8.057927231482078e-01, -1.506471536213988e+00, -2.933069289973273e-01, 2.159992106733178e-01, 0.000000000000000e+00, 0.000000000000000e+00, 2.920712068985022e-02
23, 8.631799817090000e-01, -1.826569132102762e-02, 7.991925788396876e-01, -1.486866314305841e+00, -2.866656302150568e-01, 2.137429742596229e-01, 0.000000000000000e+00, 0.000000000000000e+00, 2.669691442290854e-02
