"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    
          0,           0,           0,      -4.273964067,      -16.32700403,      -16.23793721,      -2.822518789,       -10.6654264
          0,           0,           1,       -5.09799842,      -4.207756693,      -4.120953536,      -3.640810942,      -10.86662852
          0,           0,           2,       -5.01106246,      -4.296922914,      -4.489036086,      -3.553545542,      -11.00907668
          0,           0,           3,      -5.037963711,      -4.376619091,      -4.715576858,      -3.583683951,      -10.98125043
          0,           0,           4,      -5.139006604,      -4.432492894,      -4.685922183,      -3.689734725,      -10.98635593
          0,           0,           5,      -5.230955603,      -4.470529942,      -4.690135754,      -3.789658602,      -10.99304827
          0,           0,           6,      -5.281974543,      -4.501298448,      -4.718549476,      -3.848231331,      -10.98812079
          0,           0,           7,      -5.300407496,      -4.531022252,      -4.748567624,      -3.870614423,      -10.97399253
          0,           0,           8,       -5.30271603,      -4.562675675,      -4.774627861,      -3.873700528,      -10.95302501
          0,           0,           9,      -5.297990868,      -4.597965131,      -4.799806518,      -3.866875183,      -10.93674749
          0,           0,          10,      -5.291504535,       -4.63602095,      -4.828179893,      -3.856602913,      -10.92964018
          0,           0,          11,      -5.289247903,      -4.672599842,      -4.858981253,      -3.850386662,       -10.9174702
          0,           0,          12,      -5.295790488,      -4.700352261,      -4.880614052,      -3.854995475,      -10.89711059
          0,           0,          13,      -5.310910108,       -4.71331738,      -4.877525763,      -3.872281308,      -10.87339647
          0,           0,          14,      -5.329363358,      -4.714491746,      -4.852703582,      -3.896355495,      -10.85307774
          0,           0,          15,      -5.344385854,      -4.714214555,      -4.825741754,      -3.915721688,      -10.84014281
          0,           0,          16,      -5.353151125,      -4.721094991,      -4.811120595,       -3.92234259,      -10.83603736
          0,           0,          17,      -5.358825766,      -4.737391472,      -4.812356047,      -3.919506981,      -10.83508342
          0,           0,          18,      -5.367591223,      -4.759737785,      -4.826348648,      -3.917606813,       -10.8326074
          0,           0,          19,      -5.384556954,      -4.781771535,      -4.847642889,      -3.925414821,      -10.82801485
          0,           0,          20,      -5.411298379,      -4.798326728,      -4.871404499,      -3.946460874,      -10.82270097
          0,           0,          21,      -5.444594329,      -4.809192434,      -4.894987122,       -3.97864483,      -10.81769132
          0,           0,          22,      -5.476872628,       -4.81881742,      -4.917706271,      -4.014521756,       -10.8131672
          0,           0,          23,      -5.498791723,      -4.831883809,      -4.939311855,      -4.043187536,      -10.80855554
          0,           0,          24,      -5.505641475,      -4.849316389,       -4.95857229,      -4.056503236,      -10.80306469
          0,           0,          25,      -5.501577383,      -4.867275861,      -4.973221006,      -4.055890652,      -10.79706975
          0,           0,          26,      -5.495732288,      -4.878650271,      -4.981518301,      -4.050400411,      -10.79111483
          0,           0,          27,      -5.495957143,      -4.877922696,      -4.984390213,      -4.049138845,       -10.7860173
          0,           0,          28,      -5.506302784,      -4.866435459,      -4.985631259,       -4.05714252,      -10.78216118
          0,           0,          29,       -5.52736259,       -4.85153223,       -4.98964399,      -4.075360526,      -10.77925528
          0,           0,          30,      -5.557379259,      -4.841042201,      -4.999338414,      -4.101997246,      -10.77725281
          0,           0,          31,      -5.593148863,      -4.839757567,      -5.015448708,      -4.133801059,      -10.77516935
          0,           0,          32,       -5.63076307,      -4.849035998,      -5.036705028,      -4.167187323,      -10.77139698
          0,           0,          33,      -5.666360559,      -4.867420508,      -5.060390608,      -4.199149062,       -10.7649648
          0,           0,          34,       -5.69678237,      -4.891063025,      -5.083317944,      -4.227643681,      -10.75578259
          0,           0,          35,      -5.720114128,      -4.914161767,      -5.103114614,      -4.251555382,      -10.74434068
          0,           0,          36,        -5.7362009,      -4.930633771,      -5.119263889,      -4.270705208,      -10.73135288
          0,           0,          37,      -5.746799579,      -4.937343583,      -5.133063866,      -4.285889262,      -10.71744235
          0,           0,          38,      -5.755026357,      -4.936052251,      -5.146500347,      -4.298770415,      -10.70314257
          0,           0,          39,      -5.764346109,      -4.931529841,      -5.160937761,      -4.311631028,       -10.6888196
          0,           0,          40,      -5.777861119,      -4.928235452,      -5.176393265,      -4.327112077,      -10.67444897
          0,           0,          41,      -5.798033427,      -4.928668281,      -5.191725209,      -4.347859703,      -10.66029087
          0,           0,          42,      -5.826398799,      -4.933437374,      -5.205523902,      -4.375931779,      -10.64639202
          0,           0,          43,      -5.862956679,      -4.941922334,      -5.217122586,      -4.411898603,      -10.63286013
          0,           0,          44,      -5.905228471,      -4.952884399,      -5.227072987,      -4.453744944,      -10.61990935
          0,           0,          45,      -5.947342506,      -4.964855219,      -5.236879719,       -4.49594335,      -10.60754353
          0,           0,          46,      -5.980591104,      -4.976366271,      -5.248345547,      -4.529991631,      -10.59578063
          0,           0,          47,      -5.997530439,      -4.986180668,      -5.262902658,      -4.548357544,      -10.58486519
          0,           0,          48,      -5.997701052,      -4.993561052,      -5.281003598,       -4.55014933,      -10.57480007
          0,           0,          49,      -5.988089149,      -4.998386117,      -5.301745097,      -4.541918344,      -10.56539511
          0,           0,          50,      -5.977702184,      -5.001057494,        -5.3230646,      -4.532493496,       -10.5565211
          0,           0,          51,      -5.973167662,      -5.002301322,       -5.34251174,      -4.528465185,      -10.54814631
          0,           0,          52,      -5.978041304,      -5.002946303,      -5.358234716,       -4.53330683,      -10.54019736
          0,           0,          53,      -5.993755276,      -5.003740661,      -5.369721258,      -4.548237944,      -10.53264278
          0,           0,          54,      -6.020468982,      -5.005229085,      -5.377874252,      -4.573055317,      -10.52550392
          0,           0,          55,      -6.057362847,      -5.007690194,      -5.384425457,      -4.606427933,      -10.51872319
          0,           0,          56,      -6.102366443,      -5.011130897,      -5.391148585,       -4.64568666,      -10.51217821
          0,           0,          57,       -6.15142859,      -5.015323311,      -5.399341065,      -4.686373583,        -10.505664
          0,           0,          58,      -6.197815486,      -5.019866373,      -5.409714572,      -4.722247171,      -10.49902793
          0,           0,          59,      -6.232810305,      -5.024260688,      -5.422520828,      -4.746834923,      -10.49213927
          0,           0,          60,      -6.249396143,      -5.028004365,      -5.437551202,       -4.75653562,      -10.48498247
          0,           0,          61,      -6.247384972,      -5.030719076,      -5.453896524,       -4.75291583,      -10.47762031
          0,           0,          62,      -6.234336052,       -5.03225264,      -5.469946878,      -4.742010778,      -10.47013533
          0,           0,          63,      -6.220430472,      -5.032713247,      -5.483941344,      -4.731131068,       -10.4626113
          0,           0,          64,      -6.213273555,       -5.03241645,      -5.494672651,      -4.725868668,      -10.45502274
          0,           0,          65,       -6.21681923,      -5.031789493,      -5.501909123,      -4.729254068,      -10.44736923
          0,           0,          66,      -6.232442916,      -5.031277588,      -5.506408265,      -4.742244527,       -10.4396258
          0,           0,          67,      -6.259751473,         -5.031262,      -5.509546832,      -4.764180678,      -10.43182119
          0,           0,          68,      -6.296548428,      -5.032001498,      -5.512788113,      -4.792801475,       -10.4239529
          0,           0,          69,      -6.338102614,      -5.033605622,       -5.51726569,      -4.824006161,      -10.41600401
          0,           0,          70,      -6.376520857,      -5.036038957,      -5.523621241,      -4.852025971,      -10.40798352
          0,           0,          71,      -6.402413935,      -5.039153084,      -5.532062344,      -4.871094272,      -10.39989711
          0,           0,          72,      -6.410196244,      -5.042730061,      -5.542440956,      -4.878448108,      -10.39177191
          0,           0,          73,      -6.402327608,      -5.046524719,      -5.554174864,      -4.875861956,      -10.38362051
          0,           0,          74,       -6.38714286,      -5.050315354,      -5.566244992,      -4.868267137,      -10.37543231
          0,           0,          75,       -6.37336842,      -5.053959518,      -5.577508031,       -4.86118732,      -10.36722349
          0,           0,          76,      -6.366905388,      -5.057427721,      -5.587114987,      -4.858823439,      -10.35898548
          0,           0,          77,      -6.370673743,       -5.06079861,      -5.594776102,      -4.863453283,      -10.35072984
          0,           0,          78,      -6.385477525,      -5.064221018,      -5.600788467,      -4.875617056,      -10.34246902
          0,           0,          79,      -6.410557167,      -5.067860213,      -5.605858443,      -4.894379542,      -10.33417629
          0,           0,          80,      -6.443531732,      -5.071847068,      -5.610824832,      -4.917417132,      -10.32585804
          0,           0,          81,      -6.479871744,       -5.07624463,      -5.616408519,      -4.941074536,      -10.31751897
          0,           0,          82,      -6.512632519,      -5.081038176,      -5.623087672,      -4.960851158,      -10.30915309
          0,           0,          83,      -6.534229983,      -5.086144611,      -5.631164433,      -4.972899764,       -10.3007823
          0,           0,          84,      -6.540770394,      -5.091435395,      -5.640911262,      -4.976046826,      -10.29240871
          0,           0,          85,      -6.534472261,      -5.096773544,      -5.652468743,      -4.972180961,      -10.28403171
          0,           0,          86,      -6.521515774,      -5.102052469,       -5.66557246,      -4.964830129,       -10.2756782
          0,           0,          87,      -6.508657855,      -5.107220211,      -5.679552877,      -4.957771126,      -10.26735124
          0,           0,          88,      -6.501073155,      -5.112287826,      -5.693590205,       -4.95409803,      -10.25904274
          0,           0,          89,      -6.501780249,      -5.117324052,      -5.706972406,      -4.955743505,      -10.25077252
          0,           0,          90,      -6.511997103,      -5.122436934,      -5.719268519,      -4.963438737,      -10.24254132
          0,           0,          91,      -6.531589176,       -5.12774566,      -5.730404802,      -4.976859649,       -10.2343312
          0,           0,          92,       -6.55922469,      -5.133351448,      -5.740633692,      -4.994767471,      -10.22614572
          0,           0,          93,      -6.592218463,      -5.139314685,      -5.750412912,      -5.015133364,      -10.21798534
          0,           0,          94,      -6.626315857,       -5.14564407,      -5.760252153,      -5.035375881,       -10.2098412
          0,           0,          95,      -6.656139776,      -5.152299719,      -5.770599455,      -5.052930233,       -10.2017073
          0,           0,          96,      -6.677183794,      -5.159206477,      -5.781815933,      -5.066202053,      -10.19358481
          0,           0,          97,      -6.688224242,      -5.166270375,      -5.794152717,      -5.075187171,      -10.18547918
          0,           0,          98,      -6.691439105,       -5.17339472,      -5.807600857,      -5.081045623,      -10.17739266
          0,           0,          99,      -6.690848651,      -5.180497387,       -5.82178096,      -5.085447449,      -10.16932702
          0,           0,         100,      -6.690807568,      -5.187526044,      -5.836059315,      -5.090208571,      -10.16129845
          0,           0,         101,      -6.694838785,      -5.194465119,      -5.849781188,      -5.096895886,      -10.15331437
          0,           0,         102,      -6.705080252,      -5.201333018,      -5.862477773,      -5.106467236,      -10.14537815
          0,           0,         103,      -6.722273153,      -5.208171857,      -5.873991321,      -5.119112863,       -10.1374926
          0,           0,         104,      -6.745892755,      -5.215033109,      -5.884498895,      -5.134272785,      -10.12967116
          0,           0,         105,      -6.774171857,      -5.221963194,      -5.894437542,      -5.150760611,      -10.12192077
          0,           0,         106,      -6.804039262,      -5.228992756,       -5.90436725,      -5.166976673,      -10.11423281
          0,           0,         107,      -6.831314881,      -5.236131396,      -5.914833778,      -5.181237779,      -10.10660305
          0,           0,         108,      -6.851781227,      -5.243368614,      -5.926291876,      -5.192244503,      -10.09903166
          0,           0,         109,      -6.863121054,      -5.250678663,      -5.939074333,       -5.19955948,      -10.09151726
          0,           0,         110,      -6.866115682,      -5.258025846,      -5.953298224,        -5.2037597,      -10.08404641
          0,           0,         111,      -6.864063756,      -5.265370162,      -5.968740935,      -5.206183373,       -10.0766169
          0,           0,         112,       -6.86131072,      -5.272674608,      -5.984861369,       -5.20851982,      -10.06922481
          0,           0,         113,      -6.861825946,      -5.279912636,      -6.000965688,      -5.212363086,      -10.06186561
          0,           0,         114,      -6.868389609,      -5.287072667,      -6.016405963,      -5.218845537,      -10.05453066
          0,           0,         115,       -6.88242125,      -5.294158158,      -6.030744873,      -5.228447752,      -10.04722609
          0,           0,         116,      -6.904047339,      -5.301183341,      -6.043848259,      -5.240958371,      -10.03995061
          0,           0,         117,      -6.932066012,       -5.30816592,      -6.055881685,      -5.255525726,      -10.03270429
          0,           0,         118,      -6.963704139,      -5.315119004,        -6.0672179,      -5.270784565,      -10.02548771
          0,           0,         119,      -6.994368983,      -5.322044776,      -6.078301032,      -5.285079663,      -10.01830227
          0,           0,         120,      -7.018162618,      -5.328932006,      -6.089544171,      -5.296830263,      -10.01114171
          0,           0,         121,      -7.030265936,      -5.335758571,      -6.101337273,      -5.305059185,      -10.00401428
          0,           0,         122,      -7.029987804,      -5.342496352,      -6.114059839,      -5.309789688,      -9.996916598
          0,           0,         123,      -7.020830284,      -5.349114744,      -6.127905751,      -5.311876105,      -9.989863123
