,Points_1,Pressure_Coefficient,,,,,,x/c,Cp
2,0.122784,0.285608,,,0.123784,0.165067,,-0.006058146,0.285608
2,0.121572,0.146438,,,-0.041283,,,-0.013400619,0.146438
2,0.120108,0.0227612,,,,,,-0.022269745,0.0227612
2,0.118344,0.128652,,,-0.006058146,,,-0.032956315,0.128652
2,0.11623,0.0220804,,,,,,-0.045763236,0.0220804
2,0.113707,0.0249573,,,,,,-0.061047938,0.0249573
2,0.110713,0.0358351,,,,,,-0.079186027,0.0358351
2,0.107186,0.00914623,,,,,,-0.100553109,0.00914623
2,0.103065,0.012819,,,,,,-0.125518729,0.012819
2,0.0982966,0.00357987,,,,,,-0.154406393,0.00357987
2,0.0928386,-0.0034638,,,,,,-0.187471754,-0.0034638
2,0.0866709,-0.00521517,,,,,,-0.224836582,-0.00521517
2,0.0798004,-0.0111488,,,,,,-0.266459074,-0.0111488
2,0.0722684,-0.0145812,,,,,,-0.312089031,-0.0145812
2,0.0641548,-0.0194955,,,,,,-0.361242405,-0.0194955
2,0.0555782,-0.0233057,,,,,,-0.4132007,-0.0233057
2,0.0466918,-0.0275807,,,,,,-0.46703581,-0.0275807
2,0.0376738,-0.0311325,,,,,,-0.521668171,-0.0311325
2,0.028714,-0.0336752,,,,,,-0.575947948,-0.0336752
2,0.0199985,-0.0386151,,,,,,-0.628747721,-0.0386151
2,0.0116947,-0.0388383,,,,,,-0.679053354,-0.0388383
2,0.00393963,-0.0427864,,,,,,-0.726034701,-0.0427864
2,-0.0031673,-0.0392963,,,,,,-0.769089521,-0.0392963
2,-0.00956629,-0.0428085,,,,,,-0.807855537,-0.0428085
2,-0.0152348,-0.0356217,,,,,,-0.842196199,-0.0356217
2,-0.0201819,-0.0360007,,,,,,-0.872166454,-0.0360007
2,-0.0244406,-0.0205774,,,,,,-0.89796628,-0.0205774
2,-0.0280606,-0.0227101,,,,,,-0.919896769,-0.0227101
2,-0.0311008,-0.00741201,,,,,,-0.938314745,-0.00741201
2,-0.0336234,0.00707356,,,,,,-0.953597024,0.00707356
2,-0.0356896,0.0290233,,,,,,-0.966114366,0.0290233
2,-0.0373563,0.0405324,,,,,,-0.976211478,0.0405324
2,-0.0386735,0.0559114,,,,,,-0.984191268,0.0559114
2,-0.0396835,0.124019,,,,,,-0.990309995,0.124019
2,-0.0404199,0.0840296,,,,,,-0.994771214,0.0840296
2,-0.0408845,0.0623701,,,,,,-0.997585829,0.0623701
2,-0.0411447,0.0367398,,,,,,-0.999162158,0.0367398
2,-0.0412612,0.0936233,,,,,,-0.999867932,0.0936233
2,-0.041283,0.113293,,,,,,-1,0.113293
,,,,,,,,,
1,0.123784,-0.0596933,,,,,,0,-0.0596933
1,0.122822,0.280285,,,,,,-0.005827937,0.280285
1,0.121658,0.110069,,,,,,-0.012879619,0.110069
1,0.120249,0.0188851,,,,,,-0.021415546,0.0188851
1,0.118553,0.0973621,,,,,,-0.031690162,0.0973621
1,0.116517,0.0109931,,,,,,-0.044024548,0.0109931
1,0.114087,0.0279395,,,,,,-0.058745843,0.0279395
1,0.111201,0.0219959,,,,,,-0.076229652,0.0219959
1,0.107798,-0.00414373,,,,,,-0.096845523,-0.00414373
1,0.103819,-0.000464173,,,,,,-0.120950887,-0.000464173
1,0.0992083,-0.0110209,,,,,,-0.148883181,-0.0110209
1,0.0939256,-0.0168211,,,,,,-0.180886549,-0.0168211
1,0.0879479,-0.0227582,,,,,,-0.217100329,-0.0227582
1,0.0812793,-0.0309275,,,,,,-0.257499682,-0.0309275
1,0.0739568,-0.037653,,,,,,-0.301860457,-0.037653
1,0.066054,-0.0463316,,,,,,-0.349736774,-0.0463316
1,0.0576824,-0.0534998,,,,,,-0.400453149,-0.0534998
1,0.0489868,-0.0616627,,,,,,-0.453132364,-0.0616627
1,0.0401364,-0.0697574,,,,,,-0.506749381,-0.0697574
1,0.0313126,-0.0805476,,,,,,-0.56020525,-0.0805476
1,0.0226942,-0.0897941,,,,,,-0.612416776,-0.0897941
1,0.014444,-0.098093,,,,,,-0.662397693,-0.098093
1,0.00669683,-0.108641,,,,,,-0.709331181,-0.108641
1,-0.000446744,-0.117935,,,,,,-0.752607996,-0.117935
1,-0.00692334,-0.12463,,,,,,-0.79184416,-0.12463
1,-0.0127049,-0.13371,,,,,,-0.826869695,-0.13371
1,-0.0177937,-0.140895,,,,,,-0.857698389,-0.140895
1,-0.0222164,-0.14716,,,,,,-0.884491752,-0.14716
1,-0.026016,-0.155534,,,,,,-0.907510284,-0.155534
1,-0.0292461,-0.169001,,,,,,-0.927078701,-0.169001
1,-0.0319647,-0.161658,,,,,,-0.943548377,-0.161658
1,-0.0342298,-0.177812,,,,,,-0.957270684,-0.177812
1,-0.0360961,-0.162167,,,,,,-0.968577002,-0.162167
1,-0.0376124,-0.137534,,,,,,-0.977762969,-0.137534
1,-0.0388198,-0.107605,,,,,,-0.985077575,-0.107605
1,-0.039751,-0.0537335,,,,,,-0.99071892,-0.0537335
1,-0.0404312,-0.0286156,,,,,,-0.994839671,-0.0286156
1,-0.0409106,0.200883,,,,,,-0.997743946,0.200883
1,-0.0411845,0.091226,,,,,,-0.999403273,0.091226
