Point ID,Density,Energy,Grid_Velocity_0,Grid_Velocity_1,Grid_Velocity_2,Grid_Velocity_Magnitude,Mach,Momentum_0,Momentum_1,Momentum_2,Momentum_Magnitude,Points_0,Points_1,Points_2,Points_Magnitude,Pressure,Pressure_Coefficient,Temperature,Velocity_0,Velocity_1,Velocity_2,Velocity_Magnitude
64,1.24308,262675,0,-251.327,28.0613,252.889,0.127462,4.01887,-53.4821,8.98923,54.381,0.00890684,0.107186,0.96,0.966006,104594,0.0599311,293.116,3.233,-43.0238,7.23143,43.747
65,1.14234,230831,0,-251.327,7.51732,251.44,0.0739356,27.2126,6.16778,5.23021,28.3888,0.00508549,0.028714,0.96,0.960443,92191.3,-0.167429,281.141,23.8218,5.39922,4.57831,24.8514
66,1.13198,228030,0,-251.327,5.23561,251.382,0.0891558,31.9554,10.1655,4.67823,33.8581,0.00421315,0.0199985,0.96,0.960217,91009.4,-0.189095,280.077,28.2296,8.98021,4.13262,29.9104
67,1.12322,225804,0,-251.327,3.06167,251.346,0.105256,37.3315,12.523,4.25558,39.6053,0.00324042,0.0116947,0.96,0.960077,90042.2,-0.206824,279.263,33.2363,11.1491,3.78856,35.2606
68,1.11725,224373,0,-251.327,1.03139,251.33,0.122669,43.4977,14.1312,3.42849,45.8639,0.00217928,0.00393963,0.96,0.960011,89372.5,-0.219102,278.665,38.9328,12.648,3.06855,41.0506
69,1.11691,224678,0,-251.327,-0.829196,251.329,0.1391,50.2768,13.069,2.41695,52.0038,0.00104747,-0.0031673,0.96,0.960006,89386.9,-0.218837,278.796,45.0144,11.7009,2.16391,46.5606
70,1.39077,299427,0,-251.327,30.9825,253.23,0.189252,1.39089,-90.0733,12.4237,90.9367,0.00901157,0.118344,0.96,0.967309,118582,0.316332,297.025,1.00009,-64.7651,8.93313,65.386
71,1.24485,261021,0,-251.327,26.9825,252.772,0.103791,5.1214,-42.9697,9.03843,44.2077,0.00884018,0.103065,0.96,0.965557,104094,0.0507627,291.299,4.11407,-34.5179,7.26064,35.5124
72,1.22962,256466,0,-251.327,25.734,252.641,0.0882586,6.25781,-35.5395,8.39205,37.0492,0.00874521,0.0982966,0.96,0.965059,102363,0.0190305,290.003,5.08922,-28.9028,6.82491,30.1306
73,1.22113,253843,0,-251.327,24.3051,252.5,0.0781876,7.52245,-30.5591,8.30175,32.5479,0.00861377,0.0928386,0.96,0.964517,101364,0.000707861,289.169,6.16026,-25.0253,6.79844,26.654
74,1.01339,205322,0,-251.327,-9.44994,251.505,0.236436,-78.1457,17.364,-2.07719,80.0785,-0.0180229,-0.0360961,0.96,0.960847,80863.1,-0.375087,277.974,-77.1133,17.1362,-2.05041,79.021
75,1.06739,220141,0,-251.327,-9.8469,251.52,0.287772,-103.076,-2.46872,-3.42782,103.162,-0.017514,-0.0376124,0.96,0.960896,86061,-0.279805,280.87,-96.5692,-2.30489,-3.21437,96.6501
76,1.26038,282370,0,-251.327,-10.4068,251.543,0.427876,-146.42,-114.804,-8.95234,186.276,-0.0163916,-0.039751,0.96,0.960962,107440,0.112099,296.953,-116.173,-91.0774,-7.11354,147.79
77,1.12377,237164,0,-251.327,-10.163,251.533,0.356417,-131.39,-32.2488,-1.72573,135.301,-0.0169673,-0.0388198,0.96,0.960934,91607.3,-0.178135,283.978,-116.925,-28.6937,-1.53147,120.404
