,Points_1,Pressure_Coefficient,,,,,,x/c,Cp
2,0.122784,0.548556,,,0.123784,0.165067,,-0.006058146,0.548556
2,0.121572,0.284961,,,-0.041283,,,-0.013400619,0.284961
2,0.120108,0.0912989,,,,,,-0.022269745,0.0912989
2,0.118344,0.229262,,,,,,-0.032956315,0.229262
2,0.11623,0.044232,,,,,,-0.045763236,0.044232
2,0.113707,0.0910782,,,,,,-0.061047938,0.0910782
2,0.110713,0.0697062,,,,,,-0.079186027,0.0697062
2,0.107186,0.0299662,,,,,,-0.100553109,0.0299662
2,0.103065,0.0294223,,,,,,-0.125518729,0.0294223
2,0.0982966,0.00950486,,,,,,-0.154406393,0.00950486
2,0.0928386,-0.00777209,,,,,,-0.187471754,-0.00777209
2,0.0866709,-0.0163304,,,,,,-0.224836582,-0.0163304
2,0.0798004,-0.0330588,,,,,,-0.266459074,-0.0330588
2,0.0722684,-0.0430912,,,,,,-0.312089031,-0.0430912
2,0.0641548,-0.0575689,,,,,,-0.361242405,-0.0575689
2,0.0555782,-0.0712691,,,,,,-0.4132007,-0.0712691
2,0.0466918,-0.085955,,,,,,-0.46703581,-0.085955
2,0.0376738,-0.0986998,,,,,,-0.521668171,-0.0986998
2,0.028714,-0.113508,,,,,,-0.575947948,-0.113508
2,0.0199985,-0.127253,,,,,,-0.628747721,-0.127253
2,0.0116947,-0.136547,,,,,,-0.679053354,-0.136547
2,0.00393963,-0.142733,,,,,,-0.726034701,-0.142733
2,-0.0031673,-0.155129,,,,,,-0.769089521,-0.155129
2,-0.00956629,-0.150038,,,,,,-0.807855537,-0.150038
2,-0.0152348,-0.151186,,,,,,-0.842196199,-0.151186
2,-0.0201819,-0.149194,,,,,,-0.872166454,-0.149194
2,-0.0244406,-0.120686,,,,,,-0.89796628,-0.120686
2,-0.0280606,-0.131855,,,,,,-0.919896769,-0.131855
2,-0.0311008,-0.108737,,,,,,-0.938314745,-0.108737
2,-0.0336234,-0.0256176,,,,,,-0.953597024,-0.0256176
2,-0.0356896,-0.0983384,,,,,,-0.966114366,-0.0983384
2,-0.0373563,0.105236,,,,,,-0.976211478,0.105236
2,-0.0386735,0.136619,,,,,,-0.984191268,0.136619
2,-0.0396835,0.271282,,,,,,-0.990309995,0.271282
2,-0.0404199,0.239829,,,,,,-0.994771214,0.239829
2,-0.0408845,0.274129,,,,,,-0.997585829,0.274129
2,-0.0411447,0.262123,,,,,,-0.999162158,0.262123
2,-0.0412612,0.371049,,,,,,-0.999867932,0.371049
2,-0.041283,0.378634,,,,,,-1,0.378634
,,,,,,,,,
1,0.123784,-0.0290409,,,,,,0,-0.0290409
1,0.122822,0.546188,,,,,,-0.005827937,0.546188
1,0.121658,0.303669,,,,,,-0.012879619,0.303669
1,0.120249,0.133904,,,,,,-0.021415546,0.133904
1,0.118553,0.255324,,,,,,-0.031690162,0.255324
1,0.116517,0.0719291,,,,,,-0.044024548,0.0719291
1,0.114087,0.0939796,,,,,,-0.058745843,0.0939796
1,0.111201,0.0733602,,,,,,-0.076229652,0.0733602
1,0.107798,0.0377321,,,,,,-0.096845523,0.0377321
1,0.103819,0.0234736,,,,,,-0.120950887,0.0234736
1,0.0992083,0.000361019,,,,,,-0.148883181,0.000361019
1,0.0939256,-0.0179135,,,,,,-0.180886549,-0.0179135
1,0.0879479,-0.0341962,,,,,,-0.217100329,-0.0341962
1,0.0812793,-0.0545763,,,,,,-0.257499682,-0.0545763
1,0.0739568,-0.0715507,,,,,,-0.301860457,-0.0715507
1,0.066054,-0.0951846,,,,,,-0.349736774,-0.0951846
1,0.0576824,-0.116856,,,,,,-0.400453149,-0.116856
1,0.0489868,-0.139125,,,,,,-0.453132364,-0.139125
1,0.0401364,-0.160792,,,,,,-0.506749381,-0.160792
1,0.0313126,-0.188131,,,,,,-0.56020525,-0.188131
1,0.0226942,-0.20986,,,,,,-0.612416776,-0.20986
1,0.014444,-0.235987,,,,,,-0.662397693,-0.235987
1,0.00669683,-0.262275,,,,,,-0.709331181,-0.262275
1,-0.000446744,-0.281496,,,,,,-0.752607996,-0.281496
1,-0.00692334,-0.306334,,,,,,-0.79184416,-0.306334
1,-0.0127049,-0.32369,,,,,,-0.826869695,-0.32369
1,-0.0177937,-0.327192,,,,,,-0.857698389,-0.327192
1,-0.0222164,-0.365319,,,,,,-0.884491752,-0.365319
1,-0.026016,-0.357254,,,,,,-0.907510284,-0.357254
1,-0.0292461,-0.356026,,,,,,-0.927078701,-0.356026
1,-0.0319647,-0.365821,,,,,,-0.943548377,-0.365821
1,-0.0342298,-0.322018,,,,,,-0.957270684,-0.322018
1,-0.0360961,-0.330052,,,,,,-0.968577002,-0.330052
1,-0.0376124,-0.171793,,,,,,-0.977762969,-0.171793
1,-0.0388198,-0.0860877,,,,,,-0.985077575,-0.0860877
1,-0.039751,0.0685899,,,,,,-0.99071892,0.0685899
1,-0.0404312,0.0448295,,,,,,-0.994839671,0.0448295
1,-0.0409106,0.467826,,,,,,-0.997743946,0.467826
1,-0.0411845,0.361423,,,,,,-0.999403273,0.361423
