+------------------------------------------------------------------------------------------+
|  Inner_Iter|   Time(sec)|    rms[Rho]|     rms[nu]|          CL|          CD|         CMz|
+------------------------------------------------------------------------------------------+
|           0|  2.2476e-01|   -4.336633|  -10.660146|    0.398677|    0.467760|    0.282519|
|           1|  2.2023e-01|   -5.137663|  -10.922347|    0.242480|    0.510035|    0.227494|
|           2|  2.1872e-01|   -5.137373|  -10.997205|    0.182807|    0.395641|    0.173279|
|           3|  2.1700e-01|   -5.179174|  -10.967805|    0.173343|    0.303738|    0.136046|
|           4|  2.1645e-01|   -5.278879|  -10.984860|    0.184091|    0.229711|    0.103205|
|           5|  2.1550e-01|   -5.356398|  -11.002194|    0.204392|    0.162107|    0.071718|
|           6|  2.1524e-01|   -5.387409|  -11.011519|    0.227807|    0.099650|    0.043848|
|           7|  2.1500e-01|   -5.390298|  -11.011258|    0.248141|    0.044273|    0.022339|
|           8|  2.1471e-01|   -5.382908|  -10.978248|    0.259498|   -0.001629|    0.008436|
|           9|  2.1441e-01|   -5.371959|  -10.961502|    0.257244|   -0.036021|    0.001501|
|          10|  2.1491e-01|   -5.362034|  -10.971307|    0.239236|   -0.057971|   -0.000632|
|          11|  2.1583e-01|   -5.359678|  -10.973049|    0.206341|   -0.067935|   -0.000699|
|          12|  2.1575e-01|   -5.369403|  -10.960806|    0.162085|   -0.067464|   -0.000950|
|          13|  2.1508e-01|   -5.389632|  -10.935941|    0.111823|   -0.058823|   -0.002541|
|          14|  2.1492e-01|   -5.412022|  -10.908280|    0.061728|   -0.044688|   -0.005466|
|          15|  2.1466e-01|   -5.425598|  -10.898325|    0.017572|   -0.027776|   -0.008938|
|          16|  2.1440e-01|   -5.426336|  -10.901423|   -0.016104|   -0.010499|   -0.011879|
|          17|  2.1437e-01|   -5.421195|  -10.905581|   -0.036401|    0.005196|   -0.013308|
|          18|  2.1450e-01|   -5.420929|  -10.902256|   -0.042394|    0.017933|   -0.012622|
|          19|  2.1429e-01|   -5.432751|  -10.890009|   -0.035000|    0.026970|   -0.009705|
|          20|  2.1423e-01|   -5.458673|  -10.874936|   -0.016492|    0.032182|   -0.004863|
|          21|  2.1448e-01|   -5.496323|  -10.864083|    0.010061|    0.033956|    0.001334|
|          22|  2.1455e-01|   -5.539310|  -10.860241|    0.041348|    0.033019|    0.008227|
|          23|  2.1445e-01|   -5.577848|  -10.861781|    0.074317|    0.030229|    0.015211|
|          24|  2.1436e-01|   -5.602758|  -10.862740|    0.106462|    0.026400|    0.021819|
|          25|  2.1457e-01|   -5.612124|  -10.858961|    0.135871|    0.022211|    0.027736|
|          26|  2.1508e-01|   -5.612569|  -10.849582|    0.161155|    0.018173|    0.032774|
|          27|  2.1525e-01|   -5.613121|  -10.837337|    0.181387|    0.014620|    0.036829|
|          28|  2.1524e-01|   -5.619935|  -10.827031|    0.196037|    0.011725|    0.039808|
|          29|  2.1530e-01|   -5.635406|  -10.822157|    0.204973|    0.009529|    0.041615|
|          30|  2.1531e-01|   -5.659216|  -10.823157|    0.208443|    0.007992|    0.042162|
|          31|  2.1528e-01|   -5.689435|  -10.827548|    0.206985|    0.007032|    0.041404|
|          32|  2.1522e-01|   -5.723445|  -10.831080|    0.201334|    0.006558|    0.039368|
|          33|  2.1515e-01|   -5.758606|  -10.829237|    0.192322|    0.006484|    0.036161|
|          34|  2.1504e-01|   -5.792331|  -10.821265|    0.180815|    0.006730|    0.031975|
|          35|  2.1503e-01|   -5.822092|  -10.809583|    0.167680|    0.007218|    0.027072|
|          36|  2.1501e-01|   -5.846110|  -10.797310|    0.153788|    0.007870|    0.021781|
