"PointID","x","y","Density","Momentum_x","Momentum_y","Energy"
0, 9.997500181200000e-01, -3.632817663925927e-05, 1.286276453823888e+00, 7.582028986349378e-01, 1.100955027432426e-01, 3.692624921708254e+00
1, 9.990000128750000e-01, -1.452039888819337e-04, 1.145258946676344e+00, 7.380880052892866e-01, 1.069058690276918e-01, 3.299127672333537e+00
2, 9.977599978450000e-01, -3.245659550031078e-04, 1.133145330338713e+00, 7.905073003684127e-01, 1.137631113783978e-01, 3.276000310738006e+00
3, 9.960200190539999e-01, -5.740594451280254e-04, 1.115226977358092e+00, 8.156512878580668e-01, 1.158475438294995e-01, 3.231995251666240e+00
4, 9.937800168990000e-01, -8.898455345806908e-04, 1.101053786991373e+00, 8.293606882620518e-01, 1.151663719124990e-01, 3.196050153544350e+00
5, 9.910500049590000e-01, -1.264203672815699e-03, 1.091249955027473e+00, 8.424023348819656e-01, 1.131478679532580e-01, 3.172013444384053e+00
6, 9.878399968150000e-01, -1.687683551255126e-03, 1.083109102848573e+00, 8.513674397192189e-01, 1.095789600342962e-01, 3.151664222220638e+00
7, 9.841300249100000e-01, -2.154869890304076e-03, 1.077483662737521e+00, 8.580354038253242e-01, 1.054383952721765e-01, 3.137700481560670e+00
8, 9.799500107769999e-01, -2.657232666428868e-03, 1.074101461946617e+00, 8.621691405354356e-01, 1.016912175645215e-01, 3.129316862079180e+00
9, 9.752799868580000e-01, -3.198715120535018e-03, 1.072476680259579e+00, 8.642600664515310e-01, 9.944053632646083e-02, 3.125307214616314e+00
10, 9.701499938960000e-01, -3.784808696472897e-03, 1.071716891132676e+00, 8.650934855061179e-01, 9.938229111175943e-02, 3.123426576524177e+00
11, 9.645400047300000e-01, -4.432528631170276e-03, 1.070800517142532e+00, 8.656465499937431e-01, 1.016008233091032e-01, 3.121115995098522e+00
12, 9.584699869160000e-01, -5.155689600962904e-03, 1.068913430937689e+00, 8.668109047655460e-01, 1.055423431232705e-01, 3.116351850075423e+00
13, 9.519400000570000e-01, -5.966697166939052e-03, 1.065650011621863e+00, 8.691077057441425e-01, 1.102516907117395e-01, 3.108131471027976e+00
