"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoW]"   ,    "rms[RhoE]"   
          0,           0,          63,      -8.984931205,      -8.899851845,      -9.222652187,      -8.897454452,      -8.408654792
          0,           0,          64,      -9.027173085,       -8.94101043,      -9.291394838,      -8.942204205,      -8.451283953
          0,           0,          65,      -9.063796395,      -8.981466623,      -9.369168373,      -8.985116582,      -8.487838398
          0,           0,          66,      -9.101991441,      -9.026434615,      -9.451658217,      -9.030723884,      -8.525499526
          0,           0,          67,      -9.147325258,      -9.079478795,      -9.532601188,      -9.082906323,      -8.569979151
          0,           0,          68,      -9.216682456,      -9.150740506,      -9.586412182,       -9.15146121,      -8.641595062
          0,           0,          69,      -9.285686183,      -9.224039896,      -9.645576921,      -9.223029556,      -8.710725546
          0,           0,          70,      -9.357826848,      -9.299417078,      -9.704525136,      -9.299751453,      -8.781788837
          0,           0,          71,        -9.4335123,      -9.375316544,      -9.760133261,      -9.381216098,      -8.856298777
          0,           0,          72,      -9.521574024,      -9.455364292,      -9.799172849,      -9.470571858,      -8.948371619
          0,           0,          73,      -9.597360344,      -9.522523622,      -9.855229959,      -9.551271869,      -9.025591309
          0,           0,          74,      -9.656956657,      -9.573454144,      -9.920815904,       -9.61647072,      -9.084626976
          0,           0,          75,      -9.699905532,      -9.612547136,      -9.987982561,      -9.661142733,      -9.126647965
          0,           0,          76,      -9.747700032,      -9.656988475,      -10.04778942,      -9.707703183,      -9.178096059
          0,           0,          77,      -9.784234802,      -9.697318721,      -10.11630147,      -9.742786098,      -9.214046833
          0,           0,          78,      -9.818576949,      -9.738924139,      -10.18064295,      -9.773258009,      -9.246119381
          0,           0,          79,      -9.858024787,      -9.787377028,       -10.2329056,      -9.806229495,      -9.283076545
          0,           0,          80,      -9.923158933,      -9.855665267,      -10.27008104,      -9.862186796,      -9.349904091
          0,           0,          81,      -9.989492961,      -9.927477562,      -10.31276545,      -9.921075386,      -9.415280165
          0,           0,          82,      -10.06086176,      -10.00383322,      -10.35950661,      -9.986570972,      -9.484448293
          0,           0,          83,      -10.13796829,      -10.08425959,      -10.41263586,      -10.06088411,      -9.559278034
          0,           0,          84,      -10.22963001,      -10.17214262,      -10.45522645,      -10.14605647,       -9.65482881
          0,           0,          85,      -10.31359956,      -10.25105651,      -10.51818993,      -10.23147492,       -9.73890813
          0,           0,          86,      -10.38463413,      -10.31474416,      -10.59523895,      -10.31286163,      -9.808199842
          0,           0,          87,      -10.44430447,      -10.36852499,      -10.66153416,      -10.38496905,      -9.873903055
          0,           0,          88,      -10.48450857,      -10.40981643,      -10.73565148,      -10.43983589,      -9.913448465
          0,           0,          89,      -10.51463423,      -10.44459812,      -10.79546036,      -10.47204756,      -9.940038464
          0,           0,          90,      -10.55324819,        -10.489329,      -10.83572436,      -10.50586178,        -9.9829141
          0,           0,          91,      -10.58981773,      -10.53481531,      -10.85507743,      -10.52822291,      -10.01766845
          0,           0,          92,      -10.63184054,      -10.58483087,      -10.84409587,       -10.5386352,      -10.05542476
          0,           0,          93,      -10.68342122,      -10.64407162,      -10.82704666,      -10.54826623,       -10.1046031
          0,           0,          94,      -10.74585578,      -10.71236891,      -10.82070444,      -10.56366563,      -10.16558088
          0,           0,          95,      -10.81589511,      -10.78505601,      -10.81849262,      -10.57933776,      -10.23252885
          0,           0,          96,      -10.89751313,        -10.866972,      -10.83835654,      -10.61398242,      -10.31916166
          0,           0,          97,      -10.97717641,      -10.94332116,      -10.87038979,      -10.65455632,      -10.39828491
          0,           0,          98,      -11.04947089,      -11.00647679,      -10.91000523,      -10.69707236,      -10.46718862
          0,           0,          99,      -11.10545567,      -11.05689716,      -10.95734143,      -10.73997488,      -10.52066991
          0,           0,         100,      -11.14952628,       -11.1045703,      -11.00726164,      -10.78529367,      -10.57411966
          0,           0,         101,      -11.18702726,      -11.14876262,      -11.07247239,      -10.84113386,      -10.61110059
          0,           0,         102,      -11.22065021,      -11.19035939,      -11.14857847,      -10.90473133,      -10.64062623
          0,           0,         103,      -11.25425425,      -11.23780954,      -11.23156881,      -10.97453106,      -10.67297611
          0,           0,         104,      -11.29351981,      -11.29341231,      -11.32093377,      -11.05133463,      -10.71124658
          0,           0,         105,      -11.34103784,      -11.35769802,      -11.41443488,      -11.13523396,      -10.75750687
          0,           0,         106,      -11.39691681,      -11.43024508,      -11.50754633,       -11.2251839,      -10.81200159
          0,           0,         107,      -11.46018977,       -11.5091358,      -11.59307225,      -11.31802209,       -10.8738801
          0,           0,         108,      -11.52909012,      -11.59065716,       -11.6627768,      -11.40755444,      -10.94150043
          0,           0,         109,      -11.60099656,      -11.66923309,      -11.71175584,      -11.48491884,      -11.01241515
          0,           0,         110,        -11.672645,      -11.73874839,      -11.74192137,      -11.54250608,      -11.08357136
          0,           0,         111,      -11.74069778,      -11.79530606,      -11.75959379,      -11.57978136,      -11.15180325
          0,           0,         112,      -11.80244476,      -11.83887478,      -11.76965523,      -11.60375892,      -11.21443268
          0,           0,         113,      -11.85532193,      -11.87011678,      -11.77029792,      -11.62339779,      -11.26882068
          0,           0,         114,      -11.89108885,       -11.8775983,      -11.74475045,      -11.63935951,      -11.30500634
          0,           0,         115,       -11.8864709,      -11.83312204,      -11.65314321,      -11.66368633,      -11.31193812
          0,           0,         116,      -11.83368295,      -11.73749994,      -11.51857962,      -11.68956754,      -11.26074691
          0,           0,         117,      -11.82327477,      -11.72378929,      -11.42262628,      -11.72267618,      -11.25062155
          0,           0,         118,      -11.78732427,      -11.69801958,      -11.40145353,      -11.77028617,      -11.21830264
          0,           0,         119,      -11.76736706,      -11.69240317,      -11.38654608,      -11.81898242,       -11.2023038
          0,           0,         120,      -11.74682702,      -11.69172909,      -11.40762799,      -11.89109856,      -11.17932516
          0,           0,         121,      -11.72416797,      -11.67733386,      -11.42171058,      -11.96355565,        -11.154416
          0,           0,         122,       -11.7070363,      -11.66367107,      -11.42771785,      -12.01933871,      -11.13651256
          0,           0,         123,      -11.70290592,      -11.65917845,      -11.40815488,      -11.99168537,      -11.13442444
          0,           0,         124,      -11.70265656,      -11.65568898,       -11.4191243,      -11.94116861,      -11.13250708
          0,           0,         125,      -11.69319418,      -11.64813079,      -11.42773242,      -12.02514614,      -11.12214612
          0,           0,         126,      -11.70840996,       -11.6675834,       -11.4108828,       -12.0579754,      -11.13908889
          0,           0,         127,      -11.71298817,      -11.67450369,      -11.42322228,      -12.07101078,      -11.14213592
