"PointID","x","y","Adjoint_Density","Adjoint_Momentum_x","Adjoint_Momentum_y","Adjoint_Energy","Sensitivity_x","Sensitivity_y","Surface_Sensitivity"
0, 9.997500181200000e-01, -3.633242182329663e-05, 5.837108654168355e-01, -1.345588800255625e+00, -1.313354482491875e-01, 3.644640182049708e-01, 0.000000000000000e+00, 0.000000000000000e+00, -2.348364049557552e+00
1, 9.990000128750000e-01, -1.454719496723663e-04, 4.038744714700380e-02, -2.126654946928011e-01, -9.625923629929592e-02, 3.327731139755456e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.372089918777177e+00
2, 9.977599978450000e-01, -3.275032266977679e-04, 1.351283912540373e-02, -1.237250475282841e-01, -1.347372867363739e-01, 2.008136614505111e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.112775405653301e-01
3, 9.960200190539999e-01, -5.899047378042644e-04, -2.123181452749913e-02, -5.569413498674164e-02, -1.308747093270152e-01, 6.581371711149331e-03, 0.000000000000000e+00, 0.000000000000000e+00, 1.072911808999146e-01
4, 9.937800168990000e-01, -9.470137788333998e-04, -5.526256322730595e-02, 6.098951542251716e-03, -1.398520870750744e-01, -6.818516896491656e-03, 0.000000000000000e+00, 0.000000000000000e+00, 8.035664860805512e-02
5, 9.910500049590000e-01, -1.421872194865545e-03, -7.178962931011174e-02, 3.760391893557880e-02, -1.537979882460535e-01, -1.268632210002943e-02, 0.000000000000000e+00, 0.000000000000000e+00, 4.996090405852595e-02
6, 9.878399968150000e-01, -2.045007867898248e-03, -7.839887364987901e-02, 5.358282674906661e-02, -1.726704430694180e-01, -1.556195351036074e-02, 0.000000000000000e+00, 0.000000000000000e+00, 4.013970004036669e-02
7, 9.841300249100000e-01, -2.852677354365887e-03, -7.388462086665053e-02, 5.284046586563373e-02, -1.952388458397360e-01, -1.524470958855074e-02, 0.000000000000000e+00, 0.000000000000000e+00, 3.298105333782726e-02
8, 9.799500107769999e-01, -3.857170760129004e-03, -5.733121609647431e-02, 3.450173235770686e-02, -2.185457430737663e-01, -1.166510012731825e-02, 0.000000000000000e+00, 0.000000000000000e+00, 2.681597601333844e-02
9, 9.752799868580000e-01, -5.055678822231328e-03, -2.927134802544349e-02, -4.529954350353772e-04, -2.384570309490754e-01, -4.997886369820554e-03, 0.000000000000000e+00, 0.000000000000000e+00, 2.053737832810141e-02
10, 9.701499938960000e-01, -6.401524295614628e-03, 7.669362583763801e-03, -4.808062587114159e-02, -2.505750542080200e-01, 4.078249614954105e-03, 0.000000000000000e+00, 0.000000000000000e+00, 1.445582548310118e-02
11, 9.645400047300000e-01, -7.836487202077851e-03, 4.839391516514422e-02, -1.012854617894565e-01, -2.515024446440467e-01, 1.425551707145974e-02, 0.000000000000000e+00, 0.000000000000000e+00, 8.426207195854962e-03
12, 9.584699869160000e-01, -9.285627211522790e-03, 8.533209100529013e-02, -1.501838302376567e-01, -2.403768661722655e-01, 2.361614039032284e-02, 0.000000000000000e+00, 0.000000000000000e+00, 3.278872598267378e-03
13, 9.519400000570000e-01, -1.069412056937943e-02, 1.110639083546003e-01, -1.852838437623626e-01, -2.202744390205112e-01, 3.016093788086841e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.342453388263485e-03
14, 9.449599981310000e-01, -1.203468418752675e-02, 1.218362296083322e-01, -2.016465263640979e-01, -1.970868422752709e-01, 3.285373734210224e-02, 0.000000000000000e+00, 0.000000000000000e+00, 2.937974348376195e-03
15, 9.375399947170000e-01, -1.331250303944104e-02, 1.199365713296878e-01, -2.016457639663640e-01, -1.766963652451110e-01, 3.223604630920451e-02, 0.000000000000000e+00, 0.000000000000000e+00, 5.614102200949704e-03
16, 9.296900033950000e-01, -1.455578026390255e-02, 1.117993398308641e-01, -1.928434856490050e-01, -1.624489158754226e-01, 2.995924513346926e-02, 0.000000000000000e+00, 0.000000000000000e+00, 6.982309763529395e-03
