"PointID","x","y","Adjoint_Density","Adjoint_Momentum_x","Adjoint_Momentum_y","Adjoint_Energy","Sensitivity_x","Sensitivity_y","Surface_Sensitivity"
0, 9.997500181200000e-01, -3.633214858529130e-05, 5.724052297299634e-01, -1.321474595282135e+00, -1.345063583597905e-01, 3.564288254831834e-01, 0.000000000000000e+00, 0.000000000000000e+00, -2.300657895521943e+00
1, 9.990000128750000e-01, -1.454547003937476e-04, 4.051998607149210e-02, -2.138336866927560e-01, -9.886948432999813e-02, 3.305997796003823e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.346523619287105e+00
2, 9.977599978450000e-01, -3.273141032555298e-04, 1.436813021622562e-02, -1.256045370497823e-01, -1.359020166854016e-01, 1.997468464555619e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.104347935559473e-01
3, 9.960200190539999e-01, -5.888841132114306e-04, -1.868853226362001e-02, -6.005020119400478e-02, -1.313922202446753e-01, 7.025059843644826e-03, 0.000000000000000e+00, 0.000000000000000e+00, 1.053832665665983e-01
4, 9.937800168990000e-01, -9.433293452198236e-04, -5.140241111884691e-02, -3.993327986812407e-04, -1.394867483543249e-01, -5.948561815809244e-03, 0.000000000000000e+00, 0.000000000000000e+00, 7.923862559264533e-02
5, 9.910500049590000e-01, -1.411702083170284e-03, -6.706742536617349e-02, 2.970179146181844e-02, -1.523337139754829e-01, -1.157819443761508e-02, 0.000000000000000e+00, 0.000000000000000e+00, 4.909253134699941e-02
6, 9.878399968150000e-01, -2.021931843244685e-03, -7.324056428910998e-02, 4.488226601790472e-02, -1.697924958665598e-01, -1.432024941071214e-02, 0.000000000000000e+00, 0.000000000000000e+00, 3.924806787155132e-02
7, 9.841300249100000e-01, -2.807537394514302e-03, -6.883673473699263e-02, 4.416049247065121e-02, -1.907008517933098e-01, -1.401751753106277e-02, 0.000000000000000e+00, 0.000000000000000e+00, 3.208049499218067e-02
8, 9.799500107769999e-01, -3.779369506179586e-03, -5.303016881918984e-02, 2.679947002861890e-02, -2.122043207006805e-01, -1.061379749580450e-02, 0.000000000000000e+00, 0.000000000000000e+00, 2.598370848608155e-02
9, 9.752799868580000e-01, -4.934894718877017e-03, -2.644483632555380e-02, -6.114934616374579e-03, -2.303897145472024e-01, -4.308601307046539e-03, 0.000000000000000e+00, 0.000000000000000e+00, 1.995119555425473e-02
10, 9.701499938960000e-01, -6.230586483396788e-03, 8.291863966933394e-03, -5.068108140220168e-02, -2.411656973916070e-01, 4.217658165349253e-03, 0.000000000000000e+00, 0.000000000000000e+00, 1.418698490464153e-02
11, 9.645400047300000e-01, -7.612813731910913e-03, 4.627662529302912e-02, -1.001051196977091e-01, -2.414916073282908e-01, 1.370288912894370e-02, 0.000000000000000e+00, 0.000000000000000e+00, 8.539726709145075e-03
12, 9.584699869160000e-01, -9.012100155016526e-03, 8.047100879773898e-02, -1.451934453473477e-01, -2.307555856333594e-01, 2.235938070962477e-02, 0.000000000000000e+00, 0.000000000000000e+00, 3.853134005391524e-03
13, 9.519400000570000e-01, -1.037772314374445e-02, 1.042254053766806e-01, -1.773982521926604e-01, -2.119503789798390e-01, 2.838890113936873e-02, 0.000000000000000e+00, 0.000000000000000e+00, 2.122628462772461e-03
14, 9.449599981310000e-01, -1.168424258880262e-02, 1.143673520815393e-01, -1.925051083990426e-01, -1.905026241611668e-01, 3.091305483219427e-02, 0.000000000000000e+00, 0.000000000000000e+00, 3.443133708119039e-03
15, 9.375399947170000e-01, -1.293614878231569e-02, 1.131076700718333e-01, -1.928585937556559e-01, -1.717043253849195e-01, 3.046091118286413e-02, 0.000000000000000e+00, 0.000000000000000e+00, 5.672517331839243e-03
16, 9.296900033950000e-01, -1.415915258928913e-02, 1.062465641243677e-01, -1.853090220900257e-01, -1.585422807042667e-01, 2.851835631409633e-02, 0.000000000000000e+00, 0.000000000000000e+00, 6.797552185812011e-03
17, 9.214000105860000e-01, -1.538937788678033e-02, 9.922061557129540e-02, -1.766757382822905e-01, -1.510884944394611e-01, 2.656118440478684e-02, 0.000000000000000e+00, 0.000000000000000e+00, 6.690353926665467e-03
18, 9.126999974250000e-01, -1.665238262114517e-02, 9.547397892556465e-02, -1.714129967554219e-01, -1.480321455023376e-01, 2.543996087030570e-02, 0.000000000000000e+00, 0.000000000000000e+00, 5.930901629579007e-03
19, 9.035800099370001e-01, -1.796843657940975e-02, 9.572101536633899e-02, -1.707059603050487e-01, -1.474142094907150e-01, 2.539754164232854e-02, 0.000000000000000e+00, 0.000000000000000e+00, 5.095243390537373e-03
20, 8.940600156780000e-01, -1.934138748329485e-02, 9.961809749879678e-02, -1.743243844285279e-01, -1.477198950649438e-01, 2.629716895455319e-02, 0.000000000000000e+00, 0.000000000000000e+00, 4.243797492385599e-03
21, 8.841500282290000e-01, -2.076748733540242e-02, 1.061003094723153e-01, -1.810696692235992e-01, -1.479413760611968e-01, 2.788081826935541e-02, 0.000000000000000e+00, 0.000000000000000e+00, 3.522649656299163e-03
22, 8.738499879840000e-01, -2.223968333238217e-02, 1.140375217136778e-01, -1.896292353090167e-01, -1.475595835163971e-01, 2.985551256455115e-02, 0.000000000000000e+00, 0.000000000000000e+00, 3.009974424091279e-03
23, 8.631799817090000e-01, -2.374692849825209e-02, 1.226984414869332e-01, -1.990854027545544e-01, -1.465736910234342e-01, 3.200179243286135e-02, 0.000000000000000e+00, 0.000000000000000e+00, 2.609849605818425e-03
24, 8.521599769590000e-01, -2.527933799364535e-02, 1.314456606966096e-01, -2.086867299610027e-01, -1.450154381369876e-01, 3.419083342401945e-02, 0.000000000000000e+00, 0.000000000000000e+00, 2.388460439834161e-03
25, 8.407700061800000e-01, -2.683435832443470e-02, 1.401932133712907e-01, -2.182777101451290e-01, -1.431494678611857e-01, 3.635919324429740e-02, 0.000000000000000e+00, 0.000000000000000e+00, 2.212566931759014e-03
26, 8.290500044819999e-01, -2.840281215952042e-02, 1.488162974257338e-01, -2.277178811500515e-01, -1.410553650584513e-01, 3.851729581624463e-02, 0.000000000000000e+00, 0.000000000000000e+00, 2.101889942256959e-03
27, 8.170099854470000e-01, -2.998076154672658e-02, 1.574751736366312e-01, -2.371674112929677e-01, -1.388535134461900e-01, 4.067842271301278e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.973963728788975e-03
28, 8.046399950980000e-01, -3.156721394905698e-02, 1.662873147559624e-01, -2.467506118718751e-01, -1.365692900524915e-01, 4.287922778031904e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.778766016069696e-03
29, 7.919700145720000e-01, -3.315595197176334e-02, 1.753286511357062e-01, -2.565784559421488e-01, -1.341629527514908e-01, 4.514785607620547e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.532625764213698e-03
30, 7.790099978450000e-01, -3.474312073342996e-02, 1.847285597532224e-01, -2.667675709904155e-01, -1.316595578715854e-01, 4.749186863228052e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.277399390999345e-03
31, 7.657799720760000e-01, -3.632331987410602e-02, 1.944069675779132e-01, -2.772504163024791e-01, -1.289696027893365e-01, 4.991946325356976e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.171459084574367e-03
32, 7.522799968720000e-01, -3.789325609920709e-02, 2.043857313924897e-01, -2.880363242478802e-01, -1.261021976054367e-01, 5.241646399913141e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.173320846530731e-03
33, 7.385200262070000e-01, -3.944819946344093e-02, 2.145101458192620e-01, -2.989630056430474e-01, -1.229844900862191e-01, 5.496954019929678e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.208200845584550e-03
34, 7.245299816130000e-01, -4.098117441070184e-02, 2.247597991938493e-01, -3.099943205361915e-01, -1.196324939811458e-01, 5.754656245202196e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.164385268665925e-03
35, 7.103199958800001e-01, -4.248757709125491e-02, 2.350054436297534e-01, -3.209911978721534e-01, -1.160069670395073e-01, 6.013149088878193e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.074871437234326e-03
36, 6.958900094030001e-01, -4.396396276002526e-02, 2.452684465089958e-01, -3.319699792132463e-01, -1.121501070074037e-01, 6.271287564288029e-02, 0.000000000000000e+00, 0.000000000000000e+00, 9.011108977295313e-04
37, 6.812700033190000e-01, -4.540404280176728e-02, 2.554925436290624e-01, -3.428761317566261e-01, -1.080412023634935e-01, 6.528967451699576e-02, 0.000000000000000e+00, 0.000000000000000e+00, 7.178368170774942e-04
38, 6.664699912070000e-01, -4.680396376050825e-02, 2.656474884817954e-01, -3.536713161305816e-01, -1.037270599099328e-01, 6.784259507969906e-02, 0.000000000000000e+00, 0.000000000000000e+00, 5.880207304665445e-04
39, 6.514999866490000e-01, -4.816020106744934e-02, 2.755785902825851e-01, -3.641911790346034e-01, -9.919472813684628e-02, 7.034536364816683e-02, 0.000000000000000e+00, 0.000000000000000e+00, 5.447617043489627e-04
40, 6.363800168040000e-01, -4.946874624145214e-02, 2.852326594284922e-01, -3.743814188429243e-01, -9.449380017598863e-02, 7.277255618483693e-02, 0.000000000000000e+00, 0.000000000000000e+00, 5.218188817017096e-04
41, 6.211299896240000e-01, -5.072614817929161e-02, 2.944900006351239e-01, -3.841185781270628e-01, -8.962020424150431e-02, 7.510665174066464e-02, 0.000000000000000e+00, 0.000000000000000e+00, 4.995040782022728e-04
42, 6.057599782940000e-01, -5.193026191651022e-02, 3.033393520700948e-01, -3.933891329830542e-01, -8.463137733834004e-02, 7.733100288779085e-02, 0.000000000000000e+00, 0.000000000000000e+00, 4.572151368194085e-04
