"Time_Iter","Outer_Iter","Inner_Iter",   "rms[A_Rho]"   ,   "rms[A_RhoU]"  ,   "rms[A_RhoV]"  ,    "rms[A_E]"    
          0,           0,         196,      -8.683453137,      -8.413319009,      -9.086974681,      -9.210653839
          0,           0,         197,      -8.690936334,      -8.416672641,      -9.101555917,      -9.216300369
          0,           0,         198,      -8.700550831,      -8.423311718,      -9.111170442,      -9.223477822
          0,           0,         199,      -8.712837397,      -8.433688169,      -9.118133321,      -9.233044799
          0,           0,         200,      -8.728063081,      -8.447894503,      -9.124741306,      -9.245457958
          0,           0,         201,      -8.746319862,      -8.465812082,      -9.132580376,       -9.26089853
          0,           0,         202,      -8.767546565,      -8.487164194,      -9.142561184,      -9.279300867
          0,           0,         203,      -8.791540682,      -8.511543257,      -9.155135624,      -9.300406493
          0,           0,         204,      -8.817982135,      -8.538437736,      -9.170434643,      -9.323833863
          0,           0,         205,      -8.846468453,      -8.567265448,       -9.18836026,      -9.349146673
          0,           0,         206,      -8.876553102,       -8.59741262,      -9.208674559,      -9.375904186
          0,           0,         207,      -8.907786221,      -8.628281685,      -9.231079267,       -9.40370001
          0,           0,         208,      -8.939758263,      -8.659349231,      -9.255271996,      -9.432197022
          0,           0,         209,      -8.972143859,      -8.690228834,      -9.280977773,      -9.461161404
          0,           0,         210,      -9.004738717,      -8.720725751,      -9.307967879,      -9.490494125
          0,           0,         211,      -9.037479758,      -8.750866828,      -9.336078913,      -9.520254653
          0,           0,         212,      -9.070439995,      -8.780893462,      -9.365238289,      -9.550673368
          0,           0,         213,      -9.103791435,      -8.811214284,      -9.395495019,      -9.582153599
          0,           0,         214,      -9.137718511,      -8.842313587,      -9.427037497,      -9.615252027
          0,           0,         215,      -9.172206592,      -8.874572546,      -9.460060837,      -9.650488541
          0,           0,         216,      -9.206549388,      -8.907901873,      -9.493799756,      -9.687204088
          0,           0,         217,      -9.239429337,      -8.941810848,      -9.525018335,      -9.721752643
          0,           0,         218,       -9.27183884,       -8.97728752,      -9.552950336,      -9.754105576
          0,           0,         219,      -9.306839373,      -9.016277639,      -9.581732313,       -9.79026896
          0,           0,         220,      -9.345904783,      -9.059992609,      -9.614217226,      -9.832040592
          0,           0,         221,      -9.388904987,      -9.108752934,      -9.649611408,      -9.878238195
          0,           0,         222,      -9.433945456,      -9.161331897,       -9.68898103,      -9.926935105
          0,           0,         223,      -9.478909159,      -9.216189327,      -9.731714229,      -9.976583075
          0,           0,         224,      -9.522442731,      -9.271922423,      -9.775289769,       -10.0261568
          0,           0,         225,       -9.56332437,      -9.326429871,      -9.818367904,      -10.07372814
          0,           0,         226,      -9.600458414,      -9.376864102,      -9.860354209,      -10.11684762
          0,           0,         227,      -9.633193222,       -9.42030091,      -9.900179521,      -10.15349942
          0,           0,         228,      -9.661346507,      -9.454520963,      -9.936615061,      -10.18249535
          0,           0,         229,      -9.685159807,      -9.478787247,      -9.968871341,      -10.20380461
          0,           0,         230,      -9.705192916,      -9.494111136,      -9.996773726,      -10.21861683
          0,           0,         231,      -9.722122869,      -9.502683921,      -10.02069331,      -10.22882584
          0,           0,         232,      -9.736571352,      -9.506970794,      -10.04137841,      -10.23635522
          0,           0,         233,      -9.749038214,      -9.509080799,       -10.0597223,      -10.24275868
          0,           0,         234,       -9.75991522,      -9.510553112,      -10.07655963,      -10.24912263
          0,           0,         235,      -9.769526764,       -9.51239807,      -10.09255562,      -10.25612381
          0,           0,         236,       -9.77816454,      -9.515224201,      -10.10816541,      -10.26412893
          0,           0,         237,      -9.786106136,      -9.519364179,      -10.12362861,      -10.27328811
          0,           0,         238,      -9.793620245,      -9.524971355,      -10.13899033,      -10.28360818
          0,           0,         239,      -9.800964775,      -9.532084879,      -10.15414603,      -10.29500356
          0,           0,         240,      -9.808382266,      -9.540669737,      -10.16889914,      -10.30732799
          0,           0,         241,      -9.816094157,      -9.550638885,      -10.18301878,      -10.32039222
          0,           0,         242,      -9.824293918,        -9.5618633,      -10.19628879,      -10.33397316
          0,           0,         243,      -9.833139186,      -9.574174554,        -10.208544,      -10.34781941
          0,           0,         244,      -9.842743781,       -9.58736394,      -10.21969306,      -10.36165717
          0,           0,         245,      -9.853170868,      -9.601181993,      -10.22972807,      -10.37520062
          0,           0,         246,      -9.864428705,      -9.615342078,      -10.23872293,      -10.38816906
          0,           0,         247,      -9.876470265,      -9.629531193,      -10.24682295,      -10.40031149
          0,           0,         248,      -9.889197708,      -9.643429859,      -10.25422859,      -10.41143552
          0,           0,         249,      -9.902472127,      -9.656740772,      -10.26117674,       -10.4214354
          0,           0,         250,        -9.9161282,      -9.669222923,       -10.2679224,      -10.43031217
          0,           0,         251,      -9.929992431,      -9.680724961,       -10.2747226,      -10.43818077
          0,           0,         252,      -9.943902816,      -9.691210133,      -10.28182384,      -10.44526193
          0,           0,         253,      -9.957727194,      -9.700766214,      -10.28945306,      -10.45186101
          0,           0,         254,      -9.971377602,      -9.709597606,      -10.29781211,      -10.45833881
          0,           0,         255,      -9.984818607,      -9.718001613,      -10.30707542,       -10.4650807
          0,           0,         256,      -9.998068651,      -9.726334761,      -10.31739033,      -10.47246892
          0,           0,         257,       -10.0111947,      -9.734976332,      -10.32887944,      -10.48086105
          0,           0,         258,      -10.02430142,      -9.744295084,      -10.34164413,      -10.49057504
          0,           0,         259,      -10.03751674,      -9.754622484,       -10.3557682,       -10.5018799
          0,           0,         260,      -10.05097591,      -9.766233145,      -10.37132052,      -10.51498995
          0,           0,         261,      -10.06480578,      -9.779331313,      -10.38835582,      -10.53006063
          0,           0,         262,      -10.07911086,      -9.794041346,       -10.4069126,      -10.54718371
          0,           0,         263,      -10.09396176,      -9.810400089,      -10.42700636,       -10.5663799
          0,           0,         264,      -10.10938568,       -9.82834928,      -10.44861593,      -10.58758715
          0,           0,         265,      -10.12535861,      -9.847726858,      -10.47165905,      -10.61064343
          0,           0,         266,      -10.14180034,      -9.868257723,      -10.49595663,       -10.6352637
          0,           0,         267,      -10.15857734,      -9.889548586,      -10.52119826,      -10.66101537
          0,           0,         268,      -10.17551784,      -9.911096173,      -10.54693796,      -10.68730489
          0,           0,         269,      -10.19243436,      -9.932316602,      -10.57263033,      -10.71339271
          0,           0,         270,      -10.20914532,      -9.952596352,      -10.59767468,      -10.73844371
          0,           0,         271,      -10.22549522,      -9.971362221,      -10.62144946,      -10.76161667
          0,           0,         272,      -10.24137974,      -9.988167319,      -10.64337168,      -10.78221644
          0,           0,         273,      -10.25679121,      -10.00279209,      -10.66303383,      -10.79994648
          0,           0,         274,      -10.27191836,      -10.01537432,      -10.68042156,      -10.81528068
          0,           0,         275,      -10.28727714,      -10.02654608,       -10.6959156,      -10.82961402
          0,           0,         276,      -10.30342379,      -10.03716606,      -10.70925542,      -10.84352119
          0,           0,         277,      -10.32026996,      -10.04756855,      -10.71932904,      -10.85484799
          0,           0,         278,      -10.33754298,      -10.05789269,      -10.72631406,      -10.86242479
          0,           0,         279,      -10.35470966,      -10.06807164,      -10.73067991,      -10.86659631
          0,           0,         280,      -10.37100303,       -10.0778211,      -10.73387858,      -10.86913839
          0,           0,         281,       -10.3858116,      -10.08692224,      -10.73814389,      -10.87212266
          0,           0,         282,      -10.39905071,      -10.09545941,      -10.74408595,      -10.87640967
          0,           0,         283,      -10.41111855,      -10.10386135,      -10.75078619,       -10.8820859
          0,           0,         284,      -10.42263871,      -10.11274115,      -10.75755752,      -10.88932388
          0,           0,         285,      -10.43426929,      -10.12267672,      -10.76445877,      -10.89831459
          0,           0,         286,      -10.44656014,      -10.13409592,      -10.77213048,      -10.90915203
          0,           0,         287,      -10.45989971,      -10.14728188,      -10.78136185,      -10.92190697
          0,           0,         288,      -10.47456003,      -10.16242589,       -10.7926422,      -10.93666521
          0,           0,         289,      -10.49072353,      -10.17965786,      -10.80613828,      -10.95350738
          0,           0,         290,      -10.50847889,      -10.19905315,      -10.82190148,      -10.97249013
          0,           0,         291,      -10.52783923,      -10.22064503,      -10.83996919,      -10.99365861
          0,           0,         292,      -10.54878361,      -10.24444688,      -10.86035722,      -11.01707118
          0,           0,         293,      -10.57129326,      -10.27046986,      -10.88305795,       -11.0428027
          0,           0,         294,      -10.59536968,      -10.29872976,      -10.90806615,      -11.07092402
          0,           0,         295,      -10.62103614,      -10.32924566,      -10.93539668,      -11.10147871
          0,           0,         296,       -10.6483261,      -10.36203297,      -10.96507546,      -11.13446767
          0,           0,         297,      -10.67726152,      -10.39708944,      -10.99711151,      -11.16983715
          0,           0,         298,      -10.70782419,       -10.4343706,        -11.031461,      -11.20745975
          0,           0,         299,      -10.73992248,      -10.47375005,      -11.06798594,      -11.24709985
          0,           0,         300,      -10.77335388,      -10.51495784,      -11.10640403,      -11.28835554
          0,           0,         301,      -10.80776129,      -10.55748875,      -11.14622621,      -11.33056875
          0,           0,         302,      -10.84258331,      -10.60047993,      -11.18668858,      -11.37270642
          0,           0,         303,       -10.8770027,      -10.64257776,      -11.22669162,      -11.41324417
          0,           0,         304,      -10.90988806,      -10.68183248,      -11.26474046,      -11.45012148
          0,           0,         305,      -10.93972502,      -10.71567564,      -11.29904367,      -11.48110846
          0,           0,         306,      -10.96555708,      -10.74202846,      -11.33059601,      -11.50938967
          0,           0,         307,      -10.99105621,      -10.76455888,      -11.36638126,      -11.54629172
          0,           0,         308,      -11.01123101,      -10.77839333,      -11.39023474,      -11.55902707
          0,           0,         309,      -11.02864517,      -10.78631236,      -11.40453114,      -11.55786767
          0,           0,         310,      -11.04354158,      -10.79033934,      -11.40912173,      -11.55647328
          0,           0,         311,      -11.05403198,      -10.79002703,      -11.41410079,      -11.55569695
          0,           0,         312,      -11.05963788,      -10.78560638,      -11.41957222,      -11.55114966
          0,           0,         313,      -11.06221338,      -10.77957099,      -11.42248686,       -11.5453312
          0,           0,         314,      -11.06378093,       -10.7743617,      -11.42311033,      -11.54192689
          0,           0,         315,      -11.06572606,      -10.77118559,      -11.42268325,      -11.54134263
          0,           0,         316,      -11.06890002,       -10.7705428,      -11.42294829,      -11.54296481
          0,           0,         317,      -11.07391348,      -10.77279003,      -11.42524169,      -11.54690011
          0,           0,         318,      -11.08124296,      -10.77821981,      -11.43001663,      -11.55360612
          0,           0,         319,      -11.09116856,      -10.78697044,       -11.4373174,      -11.56330032
          0,           0,         320,      -11.10378875,      -10.79904093,      -11.44719353,       -11.5759631
          0,           0,         321,      -11.11910699,      -10.81437408,      -11.45970608,      -11.59154777
          0,           0,         322,      -11.13709383,      -10.83290735,      -11.47484924,      -11.61004668
          0,           0,         323,      -11.15770994,      -10.85458456,      -11.49256524,      -11.63145749
          0,           0,         324,      -11.18091227,      -10.87935637,      -11.51279282,      -11.65576075
          0,           0,         325,      -11.20665765,      -10.90718302,      -11.53548784,      -11.68292718
          0,           0,         326,      -11.23490479,        -10.938038,      -11.56061972,         -11.71293
          0,           0,         327,      -11.26561256,      -10.97190909,      -11.58816263,      -11.74574824
          0,           0,         328,      -11.29873393,      -11.00879606,      -11.61808857,      -11.78136244
          0,           0,         329,      -11.33420684,      -11.04870532,      -11.65036189,      -11.81974822
          0,           0,         330,      -11.37194197,      -11.09164074,      -11.68493416,       -11.8608677
          0,           0,         331,      -11.41180645,       -11.1375881,      -11.72173658,      -11.90465522
          0,           0,         332,      -11.45360235,      -11.18648905,      -11.76067049,      -11.95099532
          0,           0,         333,      -11.49703775,      -11.23819752,       -11.8015959,      -11.99968886
          0,           0,         334,      -11.54169204,       -11.2924107,      -11.84433201,      -12.05041454
          0,           0,         335,      -11.58698842,      -11.34857236,      -11.88875454,      -12.10274334
          0,           0,         336,      -11.63222971,      -11.40578713,      -11.93559831,      -12.15661062
