"VARIABLE"      , "GRADIENT"      , "FINDIFF_STEP"  
0               , -0.404309       , 0.001           
1               , -0.262178       , 0.001           
2               , -0.141951       , 0.001           
3               , -0.0621419      , 0.001           
4               , -0.023073       , 0.001           
5               , -0.017741       , 0.001           
6               , -0.0345495      , 0.001           
7               , -0.0595858      , 0.001           
8               , -0.0797048      , 0.001           
9               , -0.0861127      , 0.001           
10              , -0.0771684      , 0.001           
11              , -0.0586653      , 0.001           
12              , -0.0404858      , 0.001           
13              , -0.0306863      , 0.001           
14              , -0.030907       , 0.001           
15              , -0.0373818      , 0.001           
16              , -0.0466093      , 0.001           
17              , -0.0581276      , 0.001           
18              , -0.0777003      , 0.001           
19              , -0.341656       , 0.001           
20              , -0.00295798     , 0.001           
21              , 0.162098        , 0.001           
22              , 0.209793        , 0.001           
23              , 0.184243        , 0.001           
24              , 0.118742        , 0.001           
25              , 0.0380405       , 0.001           
26              , -0.0395947      , 0.001           
27              , -0.100592       , 0.001           
28              , -0.135021       , 0.001           
29              , -0.136909       , 0.001           
30              , -0.10632        , 0.001           
31              , -0.0523795      , 0.001           
32              , 0.00592168      , 0.001           
33              , 0.0463999       , 0.001           
34              , 0.0589685       , 0.001           
35              , 0.0554685       , 0.001           
36              , 0.0548139       , 0.001           
37              , 0.0710519       , 0.001           
