Point ID,Density,Energy,Mach,Momentum_0,Momentum_1,Momentum_2,Momentum_Magnitude,Points_0,Points_1,Points_2,Points_Magnitude,Pressure,Pressure_Coefficient,Temperature,Velocity_0,Velocity_1,Velocity_2,Velocity_Magnitude
31,0.943004,2.80097,0.876527,0.960155,0.115482,0,0.967075,0.76578,-0.0371491,0,0.766681,0.922036,-0.174027,0.977764,1.01819,0.122462,0,1.02553
32,0.93709,2.7857,0.884771,0.962278,0.112482,0,0.968829,0.75228,-0.0387508,0,0.753277,0.913953,-0.19207,0.975309,1.02688,0.120033,0,1.03387
33,0.931083,2.77018,0.893146,0.964309,0.109291,0,0.970483,0.73852,-0.0403356,0,0.739621,0.905762,-0.210353,0.972804,1.03569,0.11738,0,1.04232
34,0.925055,2.75458,0.90155,0.966222,0.105906,0,0.972008,0.72453,-0.0418959,0,0.72574,0.897562,-0.228655,0.97028,1.0445,0.114486,0,1.05076
35,0.919067,2.73906,0.90989,0.967992,0.102334,0,0.973386,0.71032,-0.0434265,0,0.711646,0.889441,-0.246783,0.967765,1.05323,0.111345,0,1.0591
36,0.913179,2.72379,0.918115,0.969637,0.0985919,0,0.974636,0.69589,-0.0449236,0,0.697339,0.881468,-0.264579,0.965275,1.06183,0.107966,0,1.0673
37,0.907402,2.70877,0.926159,0.971111,0.0946942,0,0.975717,0.68127,-0.0463803,0,0.682847,0.873673,-0.281979,0.96283,1.07021,0.104358,0,1.07529
38,0.901788,2.69417,0.933986,0.972445,0.090669,0,0.976662,0.66647,-0.0477924,0,0.668181,0.866116,-0.298848,0.960443,1.07835,0.100544,0,1.08303
39,0.89637,2.68005,0.941543,0.973631,0.086542,0,0.97747,0.6515,-0.049156,0,0.653352,0.858839,-0.315092,0.95813,1.08619,0.0965473,0,1.09048
40,0.891182,2.66652,0.948769,0.974665,0.0823403,0,0.978137,0.63638,-0.050467,0,0.638378,0.851892,-0.330599,0.955912,1.09368,0.0923945,0,1.09757
41,0.88628,2.65372,0.955608,0.975569,0.0780937,0,0.978689,0.62113,-0.0517217,0,0.62328,0.84534,-0.345223,0.953807,1.10075,0.088114,0,1.10427
42,0.881708,2.64176,0.961974,0.976329,0.0738282,0,0.979117,0.60576,-0.0529181,0,0.608067,0.839247,-0.358825,0.951842,1.10732,0.0837332,0,1.11048
43,0.877527,2.63082,0.967812,0.976982,0.0695724,0,0.979456,0.59028,-0.0540545,0,0.59275,0.833681,-0.371247,0.950036,1.11334,0.0792824,0,1.11616
44,0.873734,2.62088,0.973092,0.977517,0.0653474,0,0.979699,0.57471,-0.0551292,0,0.577348,0.828648,-0.382482,0.948398,1.11878,0.0747909,0,1.12128
45,0.870308,2.61189,0.977874,0.977973,0.0611791,0,0.979885,0.55906,-0.0561416,0,0.561872,0.824106,-0.392621,0.946913,1.12371,0.0702959,0,1.12591
46,0.867197,2.60372,0.982195,0.978336,0.0570807,0,0.98,0.54336,-0.0570904,0,0.546351,0.819994,-0.4018,0.945568,1.12816,0.0658221,0,1.13008
47,0.864453,2.59651,0.986016,0.978644,0.0530714,0,0.980081,0.52761,-0.0579765,0,0.530786,0.81637,-0.409888,0.944377,1.1321,0.061393,0,1.13376
48,0.8622,2.59059,0.989138,0.978883,0.0491552,0,0.980117,0.51184,-0.0587997,0,0.515206,0.813403,-0.416512,0.943403,1.13533,0.0570113,0,1.13676
49,0.860592,2.58636,0.991392,0.979102,0.0453424,0,0.980152,0.49605,-0.0595613,0,0.499613,0.811279,-0.421252,0.942699,1.13771,0.0526875,0,1.13893
50,0.859622,2.58381,0.992753,0.979286,0.0416291,0,0.98017,0.48027,-0.0602617,0,0.484036,0.81,-0.424108,0.942274,1.1392,0.0484272,0,1.14023
51,0.8591,2.58244,0.993481,0.979437,0.0380116,0,0.980175,0.46451,-0.0609021,0,0.468485,0.809312,-0.425643,0.942046,1.14007,0.0442458,0,1.14093
52,0.85888,2.58184,0.993721,0.979514,0.0344796,0,0.980121,0.44878,-0.0614838,0,0.452972,0.80904,-0.426249,0.941972,1.14046,0.0401448,0,1.14116
53,0.859513,2.58347,0.99271,0.979519,0.0310173,0,0.98001,0.43311,-0.0620074,0,0.437526,0.809908,-0.424312,0.942288,1.13962,0.0360871,0,1.14019
54,0.862644,2.59168,0.988239,0.979486,0.0276099,0,0.979875,0.4175,-0.0624743,0,0.422148,0.814063,-0.415038,0.943684,1.13545,0.0320062,0,1.1359
