Point ID,Density,Eddy_Viscosity,Energy,Heat_Flux,Laminar_Viscosity,Mach,Momentum_0,Momentum_1,Momentum_2,Momentum_Magnitude,Nu_Tilde,Points_0,Points_1,Points_2,Points_Magnitude,Pressure,Pressure_Coefficient,Skin_Friction_Coefficient_0,Skin_Friction_Coefficient_1,Skin_Friction_Coefficient_2,Skin_Friction_Coefficient_Magnitude,Temperature,Velocity_0,Velocity_1,Velocity_2,Velocity_Magnitude,Y_Plus
0,0.902884,0,2.60122,-0,6.06126e-08,0,0,0,0,0,0,1.07616,0.99,-0.00097647,1.46227,1.04049,0.0427911,0.000960368,0.000247909,0.000119875,0.000999067,1.13081,0,0,0,0,8.43577
1,0.897648,0,2.58575,-0,6.06057e-08,0,0,0,0,0,0,1.0688,0.99,-0.0019556,1.45686,1.0343,0.0304114,0.000878111,0.000198518,0.00010845,0.00090678,1.13064,0,0,0,0,8.00008
2,0.891582,0,2.56823,-0,6.06049e-08,0,0,0,0,0,0,1.0611,0.99,-0.00296241,1.45122,1.02729,0.0163962,0.000880695,0.000180613,0.00010769,0.000905451,1.13062,0,0,0,0,7.96853
3,0.88532,0,2.54987,-0,6.05992e-08,0,0,0,0,0,0,1.05292,0.99,-0.00401595,1.44525,1.01995,0.00170965,0.000902297,0.000168124,0.000109103,0.000924289,1.13048,0,0,0,0,8.03089
4,0.878927,0,2.53108,-0,6.05924e-08,0,0,0,0,0,0,1.04416,0.99,-0.00512409,1.43888,1.01243,-0.0133194,0.000928591,0.000157025,0.000110237,0.000948204,1.13032,0,0,0,0,8.12519
5,0.872604,0,2.51248,-0,6.05852e-08,0,0,0,0,0,0,1.03472,0.99,-0.00628437,1.43205,1.00499,-0.0282041,0.000955608,0.000146402,0.000110388,0.000973039,1.13014,0,0,0,0,8.22674
6,0.770286,0,2.22678,-0,6.07684e-08,0,0,0,0,0,0,0.898283,0.99,0.019412,1.33693,0.890714,-0.256757,-0.000193667,0.000408363,2.2369e-05,0.000452512,1.13468,0,0,0,0,5.42368
7,0.783934,0,2.26648,-0,6.07732e-08,0,0,0,0,0,0,0.915018,0.99,0.0180824,1.34822,0.906591,-0.225002,-0.00015312,0.000417526,2.10199e-05,0.000445214,1.1348,0,0,0,0,5.41933
8,0.796351,0,2.30255,-0,6.07767e-08,0,0,0,0,0,0,0.93121,0.99,0.0167229,1.35924,0.921021,-0.196142,-0.000118874,0.000426054,1.95548e-05,0.000442759,1.13488,0,0,0,0,5.4391
9,0.807643,0,2.33533,-0,6.07792e-08,0,0,0,0,0,0,0.946785,0.99,0.0153556,1.36994,0.934132,-0.16992,-9.03741e-05,0.000434399,1.82085e-05,0.000444074,1.13495,0,0,0,0,5.47343
10,0.817913,0,2.36511,-0,6.07809e-08,0,0,0,0,0,0,0.961679,0.99,0.0139948,1.38026,0.946046,-0.146093,-6.70445e-05,0.000442694,1.71264e-05,0.000448069,1.13499,0,0,0,0,5.51884
11,0.827285,0,2.39227,-0,6.0782e-08,0,0,0,0,0,0,0.975839,0.99,0.0126486,1.39015,0.956909,-0.124367,-4.84067e-05,0.000451117,1.63915e-05,0.000454003,1.13502,0,0,0,0,5.56924
12,0.835785,0,2.41688,-0,6.07826e-08,0,0,0,0,0,0,0.989223,0.99,0.0113214,1.39957,0.966751,-0.104682,-3.41476e-05,0.000459879,1.6052e-05,0.000461425,1.13503,0,0,0,0,5.623
13,0.862599,0,2.49431,-0,6.07806e-08,0,0,0,0,0,0,1.03472,0.99,0.00628437,1.43205,0.997725,-0.0427347,-1.16267e-05,0.000499209,1.81568e-05,0.000499675,1.13498,0,0,0,0,5.8499
14,0.868156,0,2.51029,-0,6.0779e-08,0,0,0,0,0,0,1.04416,0.99,0.00512409,1.43888,1.00412,-0.0299508,-1.01929e-05,0.000508704,1.89542e-05,0.000509159,1.13494,0,0,0,0,5.90496
15,0.872422,0,2.52247,-0,6.07761e-08,0,0,0,0,0,0,1.05292,0.99,0.00401595,1.44525,1.00899,-0.0202103,-8.71691e-06,0.000515711,1.94997e-05,0.000516153,1.13487,0,0,0,0,5.94461
