Point ID,Density,Eddy_Viscosity,Energy,Heat_Flux,Laminar_Viscosity,Mach,Momentum_0,Momentum_1,Momentum_2,Momentum_Magnitude,Nu_Tilde,Points_0,Points_1,Points_2,Points_Magnitude,Pressure,Pressure_Coefficient,Skin_Friction_Coefficient_0,Skin_Friction_Coefficient_1,Skin_Friction_Coefficient_2,Skin_Friction_Coefficient_Magnitude,Temperature,Velocity_0,Velocity_1,Velocity_2,Velocity_Magnitude,Y_Plus
0,0.889428,0,2.56176,-0,6.06003e-08,0,0,0,0,0,0,0.976143,0.8,-0.00696858,1.2621,1.0247,0.0112249,0.000894478,0.000111384,0.000104185,0.000907387,1.13051,0,0,0,0,8.03163
1,0.880785,0,2.5363,-0,6.05901e-08,0,0,0,0,0,0,0.964856,0.8,-0.00830692,1.2534,1.01452,-0.00914591,0.000931725,0.000100361,0.000104894,0.000942967,1.13026,0,0,0,0,8.17791
2,0.872876,0,2.51301,-0,6.05807e-08,0,0,0,0,0,0,0.952701,0.8,-0.00968895,1.24408,1.0052,-0.0277783,0.000964212,9.01517e-05,0.000104348,0.000974023,1.13002,0,0,0,0,8.30864
3,0.865691,0,2.49187,-0,6.05724e-08,0,0,0,0,0,0,0.93965,0.8,-0.0111068,1.23413,0.996747,-0.0446902,0.000991614,8.10675e-05,0.000102863,0.00100023,1.12982,0,0,0,0,8.42602
4,0.85928,0,2.47302,-0,6.0565e-08,0,0,0,0,0,0,0.925698,0.8,-0.012554,1.22355,0.989206,-0.059772,0.00101461,7.31874e-05,0.000100848,0.00102224,1.12964,0,0,0,0,8.51809
5,0.853335,0,2.45555,-0,6.05583e-08,0,0,0,0,0,0,0.910856,0.8,-0.0140257,1.21238,0.982218,-0.0737483,0.00103372,6.63043e-05,9.86114e-05,0.00104053,1.12947,0,0,0,0,8.59637
6,0.847613,0,2.43873,-0,6.05519e-08,0,0,0,0,0,0,0.895155,0.8,-0.0155185,1.20064,0.975494,-0.0871974,0.00105068,5.99616e-05,9.64171e-05,0.0010568,1.12931,0,0,0,0,8.66214
7,0.841697,0,2.42135,-0,6.05451e-08,0,0,0,0,0,0,0.878639,0.8,-0.0170274,1.1884,0.968541,-0.101102,0.00106777,5.3581e-05,9.4355e-05,0.00107327,1.12914,0,0,0,0,8.72559
8,0.835376,0,2.40278,-0,6.05377e-08,0,0,0,0,0,0,0.861368,0.8,-0.0185436,1.17571,0.961112,-0.115961,0.00108724,4.64806e-05,9.23073e-05,0.00109214,1.12896,0,0,0,0,8.79051
9,0.828497,0,2.38256,-0,6.05295e-08,0,0,0,0,0,0,0.843413,0.8,-0.0200512,1.16265,0.953025,-0.132134,0.00111072,3.80697e-05,8.99352e-05,0.00111501,1.12876,0,0,0,0,8.86461
10,0.821242,0,2.36125,-0,6.05208e-08,0,0,0,0,0,0,0.824857,0.8,-0.0215254,1.14928,0.9445,-0.149184,0.00113899,2.79426e-05,8.67217e-05,0.00114263,1.12854,0,0,0,0,8.94511
11,0.93588,0,2.69813,-0,6.06438e-08,0,0,0,0,0,0,1.0221,0.8,-0.00108278,1.29796,1.07925,0.120317,0.00077953,0.00020877,9.70095e-05,0.000812811,1.13159,0,0,0,0,7.76541
12,0.926917,0,2.67184,-0,6.06362e-08,0,0,0,0,0,0,1.01394,0.8,-0.00216852,1.29154,1.06874,0.0992868,0.000748545,0.0001657,9.25719e-05,0.000772234,1.1314,0,0,0,0,7.52624
13,0.917299,0,2.64383,-0,6.06313e-08,0,0,0,0,0,0,1.0054,0.8,-0.00328494,1.28485,1.05753,0.07688,0.000775149,0.000148147,9.51717e-05,0.000794897,1.13128,0,0,0,0,7.5875
