Point ID,Density,Eddy_Viscosity,Energy,Heat_Flux,Laminar_Viscosity,Mach,Momentum_0,Momentum_1,Momentum_2,Momentum_Magnitude,Nu_Tilde,Points_0,Points_1,Points_2,Points_Magnitude,Pressure,Pressure_Coefficient,Skin_Friction_Coefficient_0,Skin_Friction_Coefficient_1,Skin_Friction_Coefficient_2,Skin_Friction_Coefficient_Magnitude,Temperature,Velocity_0,Velocity_1,Velocity_2,Velocity_Magnitude,Y_Plus
0,0.893164,0,2.57277,-0,6.06047e-08,0,0,0,0,0,0,0.929921,0.65,-0.00750901,1.1346,1.02911,0.0200308,0.000878494,8.37685e-05,0.000103188,0.000888491,1.13062,0,0,0,0,7.98929
1,0.884241,0,2.54648,-0,6.05942e-08,0,0,0,0,0,0,0.917759,0.65,-0.00895114,1.12466,1.01859,-0.000998434,0.000916156,7.35239e-05,0.000103954,0.000924962,1.13036,0,0,0,0,8.14357
2,0.876132,0,2.5226,-0,6.05846e-08,0,0,0,0,0,0,0.904661,0.65,-0.0104404,1.11401,1.00904,-0.0201035,0.000949431,6.40383e-05,0.000103508,0.000957201,1.13012,0,0,0,0,8.27887
3,0.868817,0,2.50107,-0,6.05762e-08,0,0,0,0,0,0,0.890598,0.65,-0.0119682,1.10264,1.00043,-0.0373253,0.000977509,5.55685e-05,0.000102108,0.000984397,1.12991,0,0,0,0,8.39977
4,0.862374,0,2.48212,-0,6.05688e-08,0,0,0,0,0,0,0.875564,0.65,-0.0135276,1.09055,0.992849,-0.0524865,0.0010003,4.81498e-05,0.000100085,0.00100644,1.12973,0,0,0,0,8.50049
5,0.856483,0,2.46481,-0,6.05621e-08,0,0,0,0,0,0,0.859571,0.65,-0.0151135,1.07777,0.985923,-0.0663392,0.0010197,4.16706e-05,9.78916e-05,0.00102524,1.12956,0,0,0,0,8.57924
6,0.850912,0,2.44844,-0,6.05558e-08,0,0,0,0,0,0,0.842652,0.65,-0.016722,1.06435,0.979375,-0.0794342,0.00103642,3.56579e-05,9.5688e-05,0.00104144,1.12941,0,0,0,0,8.6496
7,0.845239,0,2.43176,-0,6.05492e-08,0,0,0,0,0,0,0.824856,0.65,-0.0183479,1.05034,0.972705,-0.0927743,0.00105338,2.95905e-05,9.36264e-05,0.00105794,1.12925,0,0,0,0,8.71395
8,0.839255,0,2.41417,-0,6.05421e-08,0,0,0,0,0,0,0.806246,0.65,-0.0199817,1.03582,0.965667,-0.106851,0.0010724,2.28262e-05,9.15541e-05,0.00107654,1.12907,0,0,0,0,8.77865
9,0.832799,0,2.39517,-0,6.0534e-08,0,0,0,0,0,0,0.786898,0.65,-0.0216062,1.02087,0.95807,-0.122045,0.00109498,1.48371e-05,8.91241e-05,0.0010987,1.12887,0,0,0,0,8.8554
10,0.826045,0,2.37531,-0,6.05255e-08,0,0,0,0,0,0,0.766903,0.65,-0.0231948,1.00557,0.950123,-0.137939,0.00112225,5.29718e-06,8.58573e-05,0.00112554,1.12866,0,0,0,0,8.94004
11,0.941614,0,2.71504,-0,6.06503e-08,0,0,0,0,0,0,0.979446,0.65,-0.00116675,1.17551,1.08602,0.13385,0.000758139,0.000169071,9.5639e-05,0.000782628,1.13175,0,0,0,0,7.65893
12,0.932182,0,2.68736,-0,6.0642e-08,0,0,0,0,0,0,0.970653,0.65,-0.00233669,1.16819,1.07494,0.111701,0.000729608,0.00013286,9.12965e-05,0.000747205,1.13154,0,0,0,0,7.43375
13,0.922115,0,2.65802,-0,6.06365e-08,0,0,0,0,0,0,0.961449,0.65,-0.0035397,1.16056,1.06321,0.0882296,0.000757259,0.000117405,9.39743e-05,0.000772047,1.13141,0,0,0,0,7.51141
14,0.912296,0,2.62914,-0,6.06266e-08,0,0,0,0,0,0,0.951675,0.65,-0.00479854,1.15248,1.05166,0.0651271,0.000796533,0.000105465,9.78476e-05,0.000809421,1.13116,0,0,0,0,7.66122
15,0.902582,0,2.60053,-0,6.06157e-08,0,0,0,0,0,0,0.941201,0.65,-0.00612263,1.14385,1.04021,0.0422371,0.000837968,9.44914e-05,0.000101122,0.00084932,1.13089,0,0,0,0,7.82605
16,0.948694,0,2.73728,-0,6.06808e-08,0,0,0,0,0,0,0.988019,0.65,0,1.18266,1.09491,0.151642,8.44365e-06,3.01469e-05,-0.000306174,0.00030777,1.1325,0,0,0,0,4.84021
17,0.819365,0,2.35568,-0,6.05173e-08,0,0,0,0,0,0,0.746357,0.65,-0.0247114,0.99003,0.94227,-0.153644,0.00115289,-5.75133e-06,8.10803e-05,0.00115575,1.12846,0,0,0,0,9.03549
