Point ID,Density,Eddy_Viscosity,Energy,Heat_Flux,Laminar_Viscosity,Mach,Momentum_0,Momentum_1,Momentum_2,Momentum_Magnitude,Nu_Tilde,Points_0,Points_1,Points_2,Points_Magnitude,Pressure,Pressure_Coefficient,Skin_Friction_Coefficient_0,Skin_Friction_Coefficient_1,Skin_Friction_Coefficient_2,Skin_Friction_Coefficient_Magnitude,Temperature,Velocity_0,Velocity_1,Velocity_2,Velocity_Magnitude,Y_Plus
0,0.898078,0,2.58818,-0,6.06269e-08,0,0,0,0,0,0,0.804977,0.2,-0.00744465,0.829484,1.03527,0.0323609,0.000724628,3.85409e-05,8.89442e-05,0.000731083,1.13117,0,0,0,0,7.35675
1,0.888765,0,2.56078,-0,6.06168e-08,0,0,0,0,0,0,0.791262,0.2,-0.00913039,0.816198,1.02431,0.0104379,0.000759629,3.05413e-05,9.06307e-05,0.000765626,1.13092,0,0,0,0,7.5298
2,0.879901,0,2.53471,-0,6.06073e-08,0,0,0,0,0,0,0.776474,0.2,-0.0108839,0.801891,1.01388,-0.0104162,0.000792927,2.3078e-05,9.1273e-05,0.000798497,1.13068,0,0,0,0,7.6871
3,0.848535,0,2.44252,-0,6.05731e-08,0,0,0,0,0,0,0.68515,0.2,-0.0203327,0.714033,0.977009,-0.0841676,0.000902764,-2.2384e-07,8.41163e-05,0.000906674,1.12984,0,0,0,0,8.21423
4,0.843701,0,2.42832,-0,6.05677e-08,0,0,0,0,0,0,0.663511,0.2,-0.0223097,0.693357,0.971329,-0.0955274,0.000918764,-3.07027e-06,8.23335e-05,0.000922451,1.1297,0,0,0,0,8.27986
5,0.838743,0,2.41376,-0,6.05621e-08,0,0,0,0,0,0,0.640882,0.2,-0.0242962,0.671803,0.965502,-0.10718,0.000935444,-6.33067e-06,8.0437e-05,0.000938917,1.12956,0,0,0,0,8.34891
6,0.833519,0,2.39842,-0,6.05564e-08,0,0,0,0,0,0,0.617357,0.2,-0.0262715,0.649477,0.959368,-0.119448,0.000954732,-1.04305e-05,7.81845e-05,0.000957984,1.12942,0,0,0,0,8.41533
7,0.539553,0,1.54488,-0,6.03316e-08,0,0,0,0,0,0,0.51662,0.2,0.0332586,0.55498,0.617954,-0.802277,0.00126002,-2.12599e-06,-6.69573e-05,0.0012618,1.12386,0,0,0,0,7.81284
8,0.550761,0,1.57935,-0,6.03988e-08,0,0,0,0,0,0,0.54254,0.2,0.0317509,0.579101,0.631739,-0.774706,0.00104519,1.92068e-05,-6.50037e-05,0.00104739,1.12553,0,0,0,0,7.16995
9,0.590595,0,1.69653,-0,6.04759e-08,0,0,0,0,0,0,0.568062,0.2,0.0300472,0.60299,0.678611,-0.680964,0.000729839,5.48569e-05,-5.03932e-05,0.000733631,1.12743,0,0,0,0,6.14623
10,0.654384,0,1.88305,-0,6.0554e-08,0,0,0,0,0,0,0.593044,0.2,0.0282031,0.626495,0.75322,-0.531744,0.000429602,8.51667e-05,-3.13316e-05,0.000439082,1.12936,0,0,0,0,4.93269
11,0.720075,0,2.0749,-0,6.06177e-08,0,0,0,0,0,0,0.617357,0.2,0.0262715,0.649477,0.829962,-0.378261,0.00021927,0.000102876,-1.58091e-05,0.000242719,1.13094,0,0,0,0,3.94471
