Point ID,Density,Eddy_Viscosity,Energy,Heat_Flux,Laminar_Viscosity,Mach,Momentum_0,Momentum_1,Momentum_2,Momentum_Magnitude,Nu_Tilde,Points_0,Points_1,Points_2,Points_Magnitude,Pressure,Pressure_Coefficient,Skin_Friction_Coefficient_0,Skin_Friction_Coefficient_1,Skin_Friction_Coefficient_2,Skin_Friction_Coefficient_Magnitude,Temperature,Velocity_0,Velocity_1,Velocity_2,Velocity_Magnitude,Y_Plus
26,1.03189,0,2.98326,-0,6.07716e-08,0,0,0,0,0,0,0.528785,0.9,-0.012452,1.04392,1.1933,0.348423,0.00151185,0.000193384,-0.000549134,0.00162007,1.13476,0,0,0,0,10.0339
27,1.10388,0,3.19451,-0,6.08166e-08,0,0,0,0,0,0,0.524574,0.9,-0.0103584,1.04177,1.27781,0.517427,0.00134892,0.000391635,-0.000688686,0.00156437,1.13587,0,0,0,0,10.0047
28,1.17884,0,3.41527,-0,6.08679e-08,0,0,0,0,0,0,0.521428,0.9,-0.00793456,1.04017,1.36611,0.694034,0.000964452,0.000630014,-0.00056447,0.00128285,1.13715,0,0,0,0,9.40256
29,1.22679,0,3.55648,-0,6.08974e-08,0,0,0,0,0,0,0.519246,0.9,-0.00535074,1.03906,1.42259,0.807,0.000578132,0.000808342,-0.000169135,0.0010081,1.13788,0,0,0,0,8.66934
30,1.21929,0,3.53459,-0,6.08953e-08,0,0,0,0,0,0,0.517941,0.9,-0.00269519,1.0384,1.41384,0.78949,0.000376942,0.000898029,0.000428114,0.00106387,1.13783,0,0,0,0,9.13691
31,1.13612,0,3.29083,-0,6.08586e-08,0,0,0,0,0,0,0.5175,0.9,0,1.03817,1.31633,0.59448,0.000610146,0.00106112,0.00143985,0.00188982,1.13692,0,0,0,0,7.64018
32,0.994597,0,2.87324,-0,6.07367e-08,0,0,0,0,0,0,0.517941,0.9,0.00269519,1.0384,1.1493,0.260411,0.000876238,0.000572189,0.00167731,0.00197701,1.13389,0,0,0,0,11.279
33,0.825585,0,2.37678,-0,6.05792e-08,0,0,0,0,0,0,0.519246,0.9,0.00535074,1.03906,0.950712,-0.136761,0.00145932,0.000207898,0.00201331,0.00249525,1.12999,0,0,0,0,11.2475
34,0.657921,0,1.88755,-0,6.04215e-08,0,0,0,0,0,0,0.521428,0.9,0.00793456,1.04017,0.75502,-0.528144,0.00213894,-0.000192395,0.00211453,0.00301385,1.12609,0,0,0,0,10.8279
35,0.504785,0,1.44328,-0,6.02665e-08,0,0,0,0,0,0,0.524574,0.9,0.0103584,1.04177,0.577313,-0.883558,0.00276997,-0.000583064,0.00190852,0.00341396,1.12226,0,0,0,0,10.0856
36,0.383547,0,1.09347,-0,6.0135e-08,0,0,0,0,0,0,0.528785,0.9,0.012452,1.04392,0.43739,-1.16341,0.00298804,-0.000810482,0.00135981,0.00338147,1.11901,0,0,0,0,8.93141
37,0.32151,0,0.91467,-0,6.0036e-08,0,0,0,0,0,0,0.533361,0.9,0.0138687,1.04626,0.365868,-1.30645,0.00285333,-0.000820284,0.000905421,0.00310389,1.11657,0,0,0,0,8.04137
38,0.311687,0,0.886358,-0,6.00202e-08,0,0,0,0,0,0,0.534086,0.9,0.0140932,1.04664,0.354543,-1.3291,0.00283189,-0.000821798,0.000833409,0.00306423,1.11619,0,0,0,0,7.90055
39,0.288746,0,0.81875,-0,5.98893e-08,0,0,0,0,0,0,0.540444,0.9,0.0153766,1.04991,0.3275,-1.38318,0.00269978,-0.00075541,0.000566617,0.00286016,1.11297,0,0,0,0,7.5791
40,0.296014,0,0.837002,-0,5.9762e-08,0,0,0,0,0,0,0.547837,0.9,0.0165588,1.05376,0.334801,-1.36858,0.00267862,-0.00069078,0.000467202,0.00280543,1.10984,0,0,0,0,7.77186
41,0.310686,0,0.877658,-0,5.97192e-08,0,0,0,0,0,0,0.556285,0.9,0.0177595,1.05819,0.351063,-1.33606,0.00261512,-0.000623289,0.000400176,0.00271799,1.10879,0,0,0,0,7.95254
42,0.32309,0,0.912921,-0,5.97303e-08,0,0,0,0,0,0,0.565813,0.9,0.0189521,1.06325,0.365168,-1.30785,0.00253223,-0.000566329,0.000337578,0.00261665,1.10906,0,0,0,0,8.04861
43,0.333208,0,0.941997,-0,5.97537e-08,0,0,0,0,0,0,0.576427,0.9,0.0201097,1.06896,0.376799,-1.28459,0.00245712,-0.000522046,0.000283171,0.00252788,1.10964,0,0,0,0,8.12031
44,0.813564,0,2.33848,-0,6.05073e-08,0,0,0,0,0,0,0.713933,0.9,-0.0264368,1.14909,0.935393,-0.167398,0.00135457,-2.46132e-05,-5.91046e-06,0.00135481,1.12821,0,0,0,0,9.63752
45,0.824675,0,2.37114,-0,6.05212e-08,0,0,0,0,0,0,0.695794,0.9,-0.0262616,1.1379,0.948456,-0.141273,0.00134982,-2.29653e-05,-2.039e-05,0.00135017,1.12855,0,0,0,0,9.65812
46,0.836703,0,2.4065,-0,6.05359e-08,0,0,0,0,0,0,0.678156,0.9,-0.0259094,1.12719,0.962601,-0.112983,0.00134275,-1.93605e-05,-3.36574e-05,0.00134331,1.12891,0,0,0,0,9.67249
47,0.849037,0,2.44274,-0,6.05502e-08,0,0,0,0,0,0,0.661122,0.9,-0.0254056,1.11702,0.977097,-0.0839906,0.00133705,-1.45417e-05,-4.60284e-05,0.00133793,1.12927,0,0,0,0,9.68708
48,0.86135,0,2.47889,-0,6.05635e-08,0,0,0,0,0,0,0.644789,0.9,-0.0247719,1.10741,0.991557,-0.0550699,0.00133511,-9.01368e-06,-5.81353e-05,0.00133641,1.1296,0,0,0,0,9.70737
49,0.87464,0,2.51825,-0,6.05836e-08,0,0,0,0,0,0,0.996274,0.9,-0.00787777,1.34262,1.0073,-0.0235854,0.000955144,0.000120471,0.000106965,0.000968636,1.1301,0,0,0,0,8.24982
50,0.867598,0,2.49753,-0,6.05756e-08,0,0,0,0,0,0,0.984747,0.9,-0.0091884,1.3341,0.999012,-0.0401596,0.000983295,0.000110162,0.000105855,0.000995093,1.1299,0,0,0,0,8.36686
51,0.861131,0,2.47852,-0,6.05683e-08,0,0,0,0,0,0,0.972371,0.9,-0.010533,1.325,0.991408,-0.0553679,0.00100756,0.000101175,0.000103973,0.00101795,1.12972,0,0,0,0,8.46281
52,0.855286,0,2.46134,-0,6.05617e-08,0,0,0,0,0,0,0.959139,0.9,-0.0119054,1.31533,0.984536,-0.0691132,0.001028,9.35093e-05,0.000101648,0.00103724,1.12955,0,0,0,0,8.54182
53,0.341217,0,0.965275,-0,5.97835e-08,0,0,0,0,0,0,0.588114,0.9,0.0212098,1.07533,0.38611,-1.26596,0.00239056,-0.000486614,0.000236517,0.00245102,1.11037,0,0,0,0,8.16103
54,0.348493,0,0.986626,-0,5.98186e-08,0,0,0,0,0,0,0.600845,0.9,0.022236,1.08236,0.39465,-1.24888,0.00231973,-0.000454853,0.000195888,0.00237201,1.11123,0,0,0,0,8.17996
55,0.354752,0,1.00529,-0,5.98612e-08,0,0,0,0,0,0,0.614575,0.9,0.0231772,1.09006,0.402115,-1.23395,0.00222996,-0.000423312,0.000159758,0.0022754,1.11227,0,0,0,0,8.13494
56,0.360305,0,1.02244,-0,5.99238e-08,0,0,0,0,0,0,0.629247,0.9,0.0240253,1.09842,0.408974,-1.22024,0.00210385,-0.00038805,0.000126659,0.00214308,1.11381,0,0,0,0,7.99381
57,0.365341,0,1.0393,-0,6.00364e-08,0,0,0,0,0,0,0.644789,0.9,0.0247719,1.10741,0.415721,-1.20674,0.00189551,-0.000344754,9.42862e-05,0.00192891,1.11658,0,0,0,0,7.66167
58,0.374075,0,1.06777,-0,6.01907e-08,0,0,0,0,0,0,0.661122,0.9,0.0254056,1.11702,0.427109,-1.18397,0.00159818,-0.000290775,6.34321e-05,0.00162566,1.12039,0,0,0,0,7.12656
59,0.39659,0,1.13652,-0,6.03687e-08,0,0,0,0,0,0,0.678156,0.9,0.0259094,1.12719,0.454606,-1.12897,0.00112696,-0.000214044,3.34212e-05,0.00114759,1.12478,0,0,0,0,6.1458
60,0.457382,0,1.31484,-0,6.05089e-08,0,0,0,0,0,0,0.695794,0.9,0.0262616,1.1379,0.525938,-0.986309,0.000598586,-0.000120592,1.13997e-05,0.000610719,1.12825,0,0,0,0,4.7381
61,0.957464,0,2.76162,-0,6.06648e-08,0,0,0,0,0,0,0.556285,0.9,-0.0177595,1.05819,1.10465,0.171113,0.00138093,6.92802e-05,-0.00017808,0.00139408,1.13211,0,0,0,0,9.84247
62,0.9715,0,2.8032,-0,6.06827e-08,0,0,0,0,0,0,0.547837,0.9,-0.0165588,1.05376,1.12128,0.204376,0.00139331,8.82658e-05,-0.000201381,0.00141055,1.13255,0,0,0,0,9.83211
63,0.978623,0,2.82473,-0,6.06984e-08,0,0,0,0,0,0,0.540444,0.9,-0.0153766,1.04991,1.12989,0.221596,0.00145077,9.87711e-05,-0.000249347,0.00147535,1.13294,0,0,0,0,9.88762
64,0.99042,0,2.8609,-0,6.07323e-08,0,0,0,0,0,0,0.534086,0.9,-0.0140932,1.04664,1.14436,0.250534,0.00150483,0.000112831,-0.000360621,0.00155154,1.13378,0,0,0,0,9.90391
65,0.801736,0,2.30421,-0,6.05019e-08,0,0,0,0,0,0,0.826953,0.9,-0.0229813,1.22245,0.921686,-0.194813,0.00121286,2.64794e-05,7.53792e-05,0.00121549,1.12807,0,0,0,0,9.11344
66,0.796111,0,2.28771,-0,6.04952e-08,0,0,0,0,0,0,0.808192,0.9,-0.0240726,1.20986,0.915084,-0.208016,0.00124951,1.28691e-05,6.62655e-05,0.00125133,1.12791,0,0,0,0,9.2163
67,0.793111,0,2.27885,-0,6.04905e-08,0,0,0,0,0,0,0.789249,0.9,-0.0249843,1.1973,0.911542,-0.215101,0.0012848,-6.39805e-08,5.46606e-05,0.00128596,1.12779,0,0,0,0,9.32329
68,0.793408,0,2.27962,-0,6.04887e-08,0,0,0,0,0,0,0.770236,0.9,-0.0256873,1.18487,0.911847,-0.214491,0.00131593,-1.10197e-05,4.0868e-05,0.00131661,1.12775,0,0,0,0,9.42626
69,0.797203,0,2.29061,-0,6.04904e-08,0,0,0,0,0,0,0.751268,0.9,-0.026164,1.17264,0.916243,-0.205698,0.00133948,-1.8993e-05,2.5543e-05,0.00133986,1.12779,0,0,0,0,9.52183
70,0.804144,0,2.31086,-0,6.04965e-08,0,0,0,0,0,0,0.732462,0.9,-0.0264107,1.16069,0.924344,-0.189496,0.00135286,-2.34957e-05,9.62577e-06,0.0013531,1.12794,0,0,0,0,9.59469
71,0.873572,0,2.51475,-0,6.0576e-08,0,0,0,0,0,0,0.629247,0.9,-0.0240253,1.09842,1.0059,-0.026381,0.00133769,-2.95343e-06,-7.07271e-05,0.00133956,1.12991,0,0,0,0,9.7348
72,0.885868,0,2.55083,-0,6.05882e-08,0,0,0,0,0,0,0.614575,0.9,-0.0231772,1.09006,1.02033,0.00247823,0.001344,3.79838e-06,-8.44989e-05,0.00134665,1.13021,0,0,0,0,9.77089
73,0.898533,0,2.588,-0,6.06006e-08,0,0,0,0,0,0,0.600845,0.9,-0.022236,1.08236,1.0352,0.0322188,0.00135304,1.17132e-05,-9.99933e-05,0.00135678,1.13052,0,0,0,0,9.80571
74,0.911904,0,2.6273,-0,6.06142e-08,0,0,0,0,0,0,0.588114,0.9,-0.0212098,1.07533,1.05092,0.0636525,0.00136318,2.15184e-05,-0.000117446,0.0013684,1.13085,0,0,0,0,9.8321
75,0.926227,0,2.66945,-0,6.06293e-08,0,0,0,0,0,0,0.576427,0.9,-0.0201097,1.06896,1.06778,0.0973735,0.0013713,3.40429e-05,-0.000136585,0.0013785,1.13123,0,0,0,0,9.85332
76,0.94143,0,2.71426,-0,6.06461e-08,0,0,0,0,0,0,0.565813,0.9,-0.0189521,1.06325,1.0857,0.133222,0.00137844,4.99509e-05,-0.00015713,0.00138827,1.13164,0,0,0,0,9.85622
