"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoW]"   ,    "rms[RhoE]"   ,     "rms[nu]"    
          0,           0,          54,      -6.014856008,      -5.977166815,      -6.264245862,      -6.343005008,      -5.404033614,      -9.522965729
          0,           0,          55,      -5.994652403,      -5.980208418,      -6.284442907,      -6.346719677,      -5.382549968,      -9.510671444
          0,           0,          56,      -5.973211493,      -5.983863478,      -6.300484509,      -6.347918473,      -5.359772949,      -9.500133582
          0,           0,          57,      -5.951188955,      -5.988318695,      -6.312365282,      -6.345949114,      -5.336369772,      -9.491295273
          0,           0,          58,      -5.931748044,      -5.993127596,      -6.319909773,      -6.340985037,      -5.315528789,      -9.484030403
          0,           0,          59,      -5.916457561,      -5.998045996,       -6.32349161,      -6.333833661,      -5.298898461,      -9.478222124
          0,           0,          60,      -5.904825768,      -6.003398202,      -6.323734261,      -6.325866659,      -5.286027056,      -9.473737013
          0,           0,          61,      -5.897979262,      -6.009218492,      -6.320897801,      -6.316752669,      -5.278061004,      -9.470517379
          0,           0,          62,      -5.896434437,      -6.015519499,      -6.315690457,      -6.306663933,       -5.27548717,      -9.468284067
          0,           0,          63,      -5.901184695,      -6.021970277,      -6.308880052,      -6.296812923,      -5.279339431,       -9.46692253
          0,           0,          64,      -5.911653827,      -6.029976095,      -6.301278486,      -6.287992633,      -5.289117927,       -9.46620918
          0,           0,          65,      -5.924964334,      -6.038844865,      -6.293746113,       -6.28004523,      -5.301942395,       -9.46602744
          0,           0,          66,       -5.94121227,      -6.046940669,      -6.286367848,      -6.273097885,      -5.317818392,      -9.466222929
          0,           0,          67,      -5.961380939,      -6.053625456,      -6.279577311,       -6.26676401,      -5.337639286,      -9.466635252
          0,           0,          68,      -5.982254851,      -6.060503087,      -6.273866943,      -6.261657845,      -5.358308977,      -9.467206456
          0,           0,          69,      -6.004536017,      -6.065724775,      -6.269250153,       -6.25757836,      -5.380431928,       -9.46785151
          0,           0,          70,      -6.027164735,      -6.069973139,      -6.265789954,      -6.254317488,      -5.402950831,      -9.468454027
          0,           0,          71,      -6.049706165,      -6.073549162,      -6.263557135,      -6.251649165,       -5.42537615,      -9.468981538
          0,           0,          72,      -6.071494861,      -6.076528322,      -6.262560755,      -6.249847067,       -5.44703992,      -9.469479766
          0,           0,          73,      -6.092354475,      -6.079178256,      -6.262791667,      -6.249278144,      -5.467735225,      -9.469872565
          0,           0,          74,      -6.111556506,      -6.081666128,      -6.264172398,      -6.249647482,      -5.486798507,      -9.470221392
          0,           0,          75,      -6.128691128,      -6.084135503,      -6.266605148,      -6.250711035,      -5.503803754,      -9.470453204
          0,           0,          76,      -6.143314523,      -6.086518404,      -6.270005435,       -6.25232438,      -5.518292946,      -9.470616672
          0,           0,          77,      -6.157500395,      -6.089203587,      -6.274231998,      -6.254385206,      -5.532288633,      -9.470735377
          0,           0,          78,       -6.16852058,      -6.092659572,      -6.279275872,      -6.257138709,      -5.543307056,      -9.470846504
          0,           0,          79,      -6.175245143,      -6.096490917,      -6.284981212,      -6.260591117,      -5.550174973,      -9.470941078
