Point ID,Density,Eddy_Viscosity,Energy,Heat_Flux,Laminar_Viscosity,Mach,Momentum_0,Momentum_1,Momentum_2,Momentum_Magnitude,Nu_Tilde,Points_0,Points_1,Points_2,Points_Magnitude,Pressure,Pressure_Coefficient,Skin_Friction_Coefficient_0,Skin_Friction_Coefficient_1,Skin_Friction_Coefficient_2,Skin_Friction_Coefficient_Magnitude,Temperature,Velocity_0,Velocity_1,Velocity_2,Velocity_Magnitude,Y_Plus
0,0.892735,0,2.5717,-0,6.06077e-08,0,0,0,0,0,0,0.865238,0.44,-0.00826599,0.970724,1.02868,0.0191792,0.000861311,5.66851e-05,0.000102021,0.000869183,1.13069,0,0,0,0,7.94865
1,0.884075,0,2.54621,-0,6.0598e-08,0,0,0,0,0,0,0.851849,0.44,-0.00985349,0.958824,1.01848,-0.00121482,0.000895965,4.72594e-05,0.000102452,0.000903041,1.13045,0,0,0,0,8.09698
2,0.876261,0,2.52321,-0,6.05891e-08,0,0,0,0,0,0,0.837431,0.44,-0.0114928,0.946056,1.00929,-0.0196133,0.000926425,3.86186e-05,0.000101727,0.000932793,1.13023,0,0,0,0,8.23362
3,0.869243,0,2.50257,-0,6.05811e-08,0,0,0,0,0,0,0.821951,0.44,-0.0131746,0.932404,1.00103,-0.0361272,0.000952635,3.105e-05,0.000100177,0.000958391,1.13004,0,0,0,0,8.34722
4,0.863127,0,2.48459,-0,6.05742e-08,0,0,0,0,0,0,0.805401,0.44,-0.0148913,0.917874,0.993836,-0.0505131,0.000973805,2.45595e-05,9.80436e-05,0.000979036,1.12986,0,0,0,0,8.44814
5,0.857575,0,2.46827,-0,6.05681e-08,0,0,0,0,0,0,0.787796,0.44,-0.016637,0.902496,0.98731,-0.0635648,0.000991872,1.90327e-05,9.57758e-05,0.000996667,1.12971,0,0,0,0,8.52669
6,0.852377,0,2.453,-0,6.05623e-08,0,0,0,0,0,0,0.769171,0.44,-0.0184077,0.88632,0.9812,-0.0757841,0.00100733,1.40325e-05,9.35085e-05,0.00101176,1.12957,0,0,0,0,8.59765
7,0.847094,0,2.43747,-0,6.05562e-08,0,0,0,0,0,0,0.74958,0.44,-0.0201975,0.869413,0.974989,-0.0882059,0.0010236,9.06335e-06,9.14375e-05,0.00102772,1.12942,0,0,0,0,8.65874
8,0.841527,0,2.4211,-0,6.05496e-08,0,0,0,0,0,0,0.729094,0.44,-0.021996,0.851858,0.968442,-0.101301,0.00104141,3.51354e-06,8.93166e-05,0.00104524,1.12925,0,0,0,0,8.72611
9,0.83551,0,2.4034,-0,6.05421e-08,0,0,0,0,0,0,0.707797,0.44,-0.0237842,0.833751,0.96136,-0.115464,0.0010629,-3.0913e-06,8.68693e-05,0.00106645,1.12907,0,0,0,0,8.79966
10,0.829228,0,2.38491,-0,6.05341e-08,0,0,0,0,0,0,0.685785,0.44,-0.025533,0.815201,0.953963,-0.130259,0.00108864,-1.1046e-05,8.35845e-05,0.0010919,1.12887,0,0,0,0,8.88243
11,0.879,0,2.53101,-0,6.05875e-08,0,0,0,0,0,0,0.412212,0.44,-0.0309846,0.603721,1.01241,-0.0133735,0.00123946,-3.35895e-05,-5.48617e-05,0.00124112,1.13019,0,0,0,0,9.54726
